a_coeffs,b_coeffs,value,constant,c0,c1,c2
"(-5,-6,-5)","(6,4,-5,-6,-6)",2,sqrt(2),2,1,-999
"(6,6,5)","(0,-4,-4,-6,-6)",2,sqrt(2),2,1,-999
"(4,6,5)","(0,0,-4,-6,-6)",4.0000000000000027,sqrt(2),4,1,-999
