P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(4,-20,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(4,-21,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-18,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-18,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,4,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,4,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-5,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-5,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,5,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,5,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,6,-32)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,6,-32)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-4,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(2,26,-32)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,26,-32)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-17,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-17,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,7,-32)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,7,-32)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,2,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,2,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,25,-32)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,25,-32)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-14,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-14,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-21,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(2,23,-32)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,23,-32)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-15,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-15,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,1,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,1,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(4,11,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-34,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-34,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,11,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(2,29,-32)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,29,-32)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-37,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-37,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,32,-32)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,32,-32)","(39,1,-40)",4,sqrt(2),4,1,-999
"(4,-36,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-36,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,28,-32)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,14,-31)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,14,-31)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,2,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,2,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,0,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,0,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,4,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,4,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,7,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(2,6,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,6,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-14,-25)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-14,-25)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,40,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,40,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,24,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(2,30,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,30,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
