P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(1,-2,-2)","(2,-2,-2)",2,sqrt(2),2,1,-999
"(3,-3,3)","(-2,3,-3)",2,sqrt(2),2,1,-999
"(2,-1,-3)","(1,0,-1)",2,sqrt(2),2,1,-999
"(2,0,-3)","(1,0,-1)",2,sqrt(2),2,1,-999
"(2,1,-3)","(1,0,-1)",2,sqrt(2),2,1,-999
"(2,2,-3)","(1,0,-1)",2,sqrt(2),2,1,-999
"(2,3,-3)","(1,0,-1)",2,sqrt(2),2,1,-999
"(2,1,1)","(3,-3,0)",2,sqrt(2),2,1,-999
"(2,2,1)","(3,-3,0)",2,sqrt(2),2,1,-999
"(2,3,1)","(3,-3,0)",2,sqrt(2),2,1,-999
"(2,-3,2)","(3,-3,0)",2,sqrt(2),2,1,-999
"(-3,2,1)","(0,3,-1)",2,sqrt(2),2,1,-999
"(1,-3,2)","(0,3,-1)",4,sqrt(2),4,1,-999
"(0,-2,2)","(0,3,-1)",4,sqrt(2),4,1,-999
"(-1,-1,2)","(0,3,-1)",4,sqrt(2),4,1,-999
"(2,-3,-1)","(1,-2,1)",2,sqrt(2),2,1,-999
"(2,-2,-1)","(1,-2,1)",2,sqrt(2),2,1,-999
"(2,-1,-1)","(1,-2,1)",2,sqrt(2),2,1,-999
"(2,0,-1)","(1,-2,1)",2,sqrt(2),2,1,-999
"(2,1,-1)","(1,-2,1)",2,sqrt(2),2,1,-999
"(2,-3,-1)","(-3,3,0)",2,sqrt(2),2,1,-999
"(2,-2,-1)","(-3,3,0)",2,sqrt(2),2,1,-999
"(2,-1,-1)","(-3,3,0)",2,sqrt(2),2,1,-999
"(2,0,-1)","(-3,3,0)",2,sqrt(2),2,1,-999
"(2,1,-1)","(-3,3,0)",2,sqrt(2),2,1,-999
"(2,1,1)","(-1,2,-1)",2,sqrt(2),2,1,-999
"(2,2,1)","(-1,2,-1)",2,sqrt(2),2,1,-999
"(2,3,1)","(-1,2,-1)",2,sqrt(2),2,1,-999
"(2,-3,2)","(-1,2,-1)",2,sqrt(2),2,1,-999
"(2,2,1)","(0,1,-1)",2,sqrt(2),2,1,-999
"(2,3,1)","(0,1,-1)",2,sqrt(2),2,1,-999
"(2,-3,2)","(0,1,-1)",2,sqrt(2),2,1,-999
"(2,-2,2)","(0,1,-1)",2,sqrt(2),2,1,-999
"(2,-1,2)","(0,1,-1)",2,sqrt(2),2,1,-999
"(2,-2,-3)","(0,1,-1)",2,sqrt(2),2,1,-999
"(2,-1,-3)","(0,1,-1)",2,sqrt(2),2,1,-999
"(2,0,-3)","(0,1,-1)",2,sqrt(2),2,1,-999
