P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(5,2,2,2,2)","(-6,-6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(4,3,3,3,3)","(-4,-6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,6,6,6,6)","(-4,-6,-6,-6,-6)",4,sqrt(2),4,1,-999
"(3,6,6,6,6)","(-2,-6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,5,2,2,0)","(0,-6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(1,-6,-6,-6,-6)","(2,-6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,-6,-6,-6,-6)","(4,-6,-6,-6,-6)",4,sqrt(2),4,1,-999
"(0,-3,-3,-3,-3)","(4,-6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(-1,-2,-2,-2,-2)","(6,-6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,5,6,6,6)","(-4,-5,-6,-6,-6)",4,sqrt(2),4,1,-999
"(3,5,6,6,6)","(-2,-5,-6,-6,-6)",2,sqrt(2),2,1,-999
"(1,-5,-6,-6,-6)","(2,-5,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,-5,-6,-6,-6)","(4,-5,-6,-6,-6)",4,sqrt(2),4,1,-999
"(4,2,3,3,3)","(-4,-4,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,4,6,6,6)","(-4,-4,-6,-6,-6)",4,sqrt(2),4,1,-999
"(-6,-5,-3,6,-3)","(-2,-4,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,4,6,6,6)","(-2,-4,-6,-6,-6)",2,sqrt(2),2,1,-999
"(4,5,3,3,0)","(0,-4,-6,-6,-6)",2,sqrt(2),2,1,-999
"(1,-4,-6,-6,-6)","(2,-4,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,-4,-6,-6,-6)","(4,-4,-6,-6,-6)",4,sqrt(2),4,1,-999
"(0,-2,-3,-3,-3)","(4,-4,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,1,2,2,2)","(-6,-3,-6,-6,-6)",2,sqrt(2),2,1,-999
"(1,-3,2,5,-6)","(-5,-3,-6,-6,-6)",-9.3280851225763453,1/ln(2),-5,1,-3
"(-1,3,-2,-5,6)","(-5,-3,-6,-6,-6)",9.3280851225763453,1/ln(2),5,1,3
"(5,3,6,6,6)","(-4,-3,-6,-6,-6)",4,sqrt(2),4,1,-999
"(3,3,6,6,6)","(-2,-3,-6,-6,-6)",2,sqrt(2),2,1,-999
"(1,-3,-6,-6,-6)","(2,-3,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,-3,-6,-6,-6)","(4,-3,-6,-6,-6)",4,sqrt(2),4,1,-999
"(-1,-1,-2,-2,-2)","(6,-3,-6,-6,-6)",2,sqrt(2),2,1,-999
"(4,1,3,3,3)","(-4,-2,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,2,6,6,6)","(-4,-2,-6,-6,-6)",4,sqrt(2),4,1,-999
"(3,2,6,6,6)","(-2,-2,-6,-6,-6)",2,sqrt(2),2,1,-999
"(1,-2,-6,-6,-6)","(2,-2,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,-2,-6,-6,-6)","(4,-2,-6,-6,-6)",4,sqrt(2),4,1,-999
"(0,-1,-3,-3,-3)","(4,-2,-6,-6,-6)",2,sqrt(2),2,1,-999
"(-2,-5,0,-3,0)","(4,-2,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,1,6,6,6)","(-4,-1,-6,-6,-6)",4,sqrt(2),4,1,-999
"(3,1,6,6,6)","(-2,-1,-6,-6,-6)",2,sqrt(2),2,1,-999
"(1,-1,-6,-6,-6)","(2,-1,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,-1,-6,-6,-6)","(4,-1,-6,-6,-6)",4,sqrt(2),4,1,-999
"(5,0,2,2,2)","(-6,0,-6,-6,-6)",2,sqrt(2),2,1,-999
"(4,0,3,3,3)","(-4,0,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,0,6,6,6)","(-4,0,-6,-6,-6)",4,sqrt(2),4,1,-999
"(3,0,6,6,6)","(-2,0,-6,-6,-6)",2,sqrt(2),2,1,-999
"(1,0,-6,-6,-6)","(2,0,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,0,-6,-6,-6)","(4,0,-6,-6,-6)",4,sqrt(2),4,1,-999
"(0,0,-3,-3,-3)","(4,0,-6,-6,-6)",2,sqrt(2),2,1,-999
"(-1,0,-2,-2,-2)","(6,0,-6,-6,-6)",2,sqrt(2),2,1,-999
"(-4,-5,0,-2,0)","(6,0,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,-1,6,6,6)","(-4,1,-6,-6,-6)",4,sqrt(2),4,1,-999
"(3,-1,6,6,6)","(-2,1,-6,-6,-6)",2,sqrt(2),2,1,-999
"(-4,4,-2,-2,-2)","(1,1,-6,-6,-6)",2.0984134205954739,1/sqrt(2pi),3,2,3
"(4,-4,2,2,2)","(1,1,-6,-6,-6)",-2.0984134205954739,1/sqrt(2pi),-3,2,-3
"(1,1,-6,-6,-6)","(2,1,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,1,-6,-6,-6)","(4,1,-6,-6,-6)",4,sqrt(2),4,1,-999
"(4,-1,3,3,3)","(-4,2,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,-2,6,6,6)","(-4,2,-6,-6,-6)",4,sqrt(2),4,1,-999
"(3,-2,6,6,6)","(-2,2,-6,-6,-6)",2,sqrt(2),2,1,-999
"(1,2,-6,-6,-6)","(2,2,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,2,-6,-6,-6)","(4,2,-6,-6,-6)",4,sqrt(2),4,1,-999
"(0,1,-3,-3,-3)","(4,2,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,-1,2,2,2)","(-6,3,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,-3,6,6,6)","(-4,3,-6,-6,-6)",4,sqrt(2),4,1,-999
"(3,-3,6,6,6)","(-2,3,-6,-6,-6)",2,sqrt(2),2,1,-999
"(-5,4,0,1,-4)","(-1,3,-6,-6,-6)",15.566223704336608,e*pi,4,3,5
"(5,-4,0,-1,4)","(-1,3,-6,-6,-6)",-15.566223704336608,e*pi,-4,3,-5
"(1,3,-6,-6,-6)","(2,3,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,3,-6,-6,-6)","(4,3,-6,-6,-6)",4,sqrt(2),4,1,-999
"(-1,1,-2,-2,-2)","(6,3,-6,-6,-6)",2,sqrt(2),2,1,-999
"(4,-2,3,3,3)","(-4,4,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,-4,6,6,6)","(-4,4,-6,-6,-6)",4,sqrt(2),4,1,-999
"(3,-4,6,6,6)","(-2,4,-6,-6,-6)",2,sqrt(2),2,1,-999
"(0,-5,-3,-3,0)","(0,4,-6,-6,-6)",2,sqrt(2),2,1,-999
"(1,4,-6,-6,-6)","(2,4,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,4,-6,-6,-6)","(4,4,-6,-6,-6)",4,sqrt(2),4,1,-999
"(0,2,-3,-3,-3)","(4,4,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,-5,6,6,6)","(-4,5,-6,-6,-6)",4,sqrt(2),4,1,-999
"(3,-5,6,6,6)","(-2,5,-6,-6,-6)",2,sqrt(2),2,1,-999
"(1,5,-6,-6,-6)","(2,5,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,5,-6,-6,-6)","(4,5,-6,-6,-6)",4,sqrt(2),4,1,-999
"(5,-2,2,2,2)","(-6,6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(4,-3,3,3,3)","(-4,6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,-6,6,6,6)","(-4,6,-6,-6,-6)",4,sqrt(2),4,1,-999
"(3,-6,6,6,6)","(-2,6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(-1,-5,-2,-2,0)","(0,6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(1,6,-6,-6,-6)","(2,6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(3,6,-6,-6,-6)","(4,6,-6,-6,-6)",4,sqrt(2),4,1,-999
"(0,3,-3,-3,-3)","(4,6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(-1,2,-2,-2,-2)","(6,6,-6,-6,-6)",2,sqrt(2),2,1,-999
"(5,6,5,6,6)","(-4,-6,-5,-6,-6)",4,sqrt(2),4,1,-999
"(3,6,5,6,6)","(-2,-6,-5,-6,-6)",2,sqrt(2),2,1,-999
"(1,-6,-5,-6,-6)","(2,-6,-5,-6,-6)",2,sqrt(2),2,1,-999
"(3,-6,-5,-6,-6)","(4,-6,-5,-6,-6)",4,sqrt(2),4,1,-999
"(5,5,5,6,6)","(-4,-5,-5,-6,-6)",4,sqrt(2),4,1,-999
"(3,5,5,6,6)","(-2,-5,-5,-6,-6)",2,sqrt(2),2,1,-999
"(1,-5,-5,-6,-6)","(2,-5,-5,-6,-6)",2,sqrt(2),2,1,-999
"(3,-5,-5,-6,-6)","(4,-5,-5,-6,-6)",4,sqrt(2),4,1,-999
"(5,4,5,6,6)","(-4,-4,-5,-6,-6)",4,sqrt(2),4,1,-999
