a_coeffs,b_coeffs,value,constant,c0,c1,c2
"(-2,-6)","(0,6,-8)",-1.6692536833481464,Gauss,0,1,-2
"(2,8)","(2,6,-8)",2,sqrt(2),2,1,-999
"(4,8)","(2,6,-8)",4,sqrt(2),4,1,-999
"(2,9)","(2,6,-8)",2,sqrt(2),2,1,-999
"(4,9)","(2,6,-8)",4,sqrt(2),4,1,-999
"(2,-10)","(-2,10,-8)",2,sqrt(2),2,1,-999
"(4,-10)","(-2,10,-8)",4,sqrt(2),4,1,-999
"(0,-8)","(2,-5,-7)",2,sqrt(2),2,1,-999
"(2,-9)","(-2,10,-8)",2,sqrt(2),2,1,-999
"(4,-9)","(-2,10,-8)",4,sqrt(2),4,1,-999
"(2,-9)","(10,-3,-7)",2,sqrt(2),2,1,-999
"(4,-9)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(2,-8)","(10,-3,-7)",2,sqrt(2),2,1,-999
"(4,-8)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(1,-8)","(0,-4,-7)",3.9999999999999996,sqrt(2),4,1,-999
"(2,-6)","(3,5,-8)",2,sqrt(2),2,1,-999
"(4,-6)","(3,5,-8)",4,sqrt(2),4,1,-999
"(2,-5)","(3,5,-8)",2,sqrt(2),2,1,-999
"(2,3)","(3,5,-8)",2,sqrt(2),2,1,-999
"(4,3)","(3,5,-8)",4,sqrt(2),4,1,-999
"(2,4)","(3,5,-8)",2,sqrt(2),2,1,-999
"(4,4)","(3,5,-8)",4,sqrt(2),4,1,-999
"(10,10)","(0,-7,-7)",9.2426406871192857,sqrt(2),5,1,3
"(2,-3)","(3,5,-8)",2,sqrt(2),2,1,-999
"(4,-3)","(3,5,-8)",4,sqrt(2),4,1,-999
"(2,-2)","(3,5,-8)",2,sqrt(2),2,1,-999
"(2,-8)","(-2,10,-8)",2,sqrt(2),2,1,-999
"(4,-8)","(-2,10,-8)",4,sqrt(2),4,1,-999
"(2,-7)","(-2,10,-8)",2,sqrt(2),2,1,-999
"(4,-7)","(-2,10,-8)",4,sqrt(2),4,1,-999
"(2,9)","(4,4,-8)",2,sqrt(2),2,1,-999
"(4,9)","(4,4,-8)",4,sqrt(2),4,1,-999
"(6,6)","(0,-7,-7)",4.4142135623730949,sqrt(2),3,1,1
"(4,2)","(4,4,-8)",4,sqrt(2),4,1,-999
"(2,3)","(4,4,-8)",2,sqrt(2),2,1,-999
"(4,3)","(4,4,-8)",4,sqrt(2),4,1,-999
"(2,-10)","(2,6,-8)",2,sqrt(2),2,1,-999
"(4,-10)","(2,6,-8)",4,sqrt(2),4,1,-999
"(2,-9)","(2,6,-8)",2,sqrt(2),2,1,-999
"(2,2)","(5,3,-8)",2,sqrt(2),2,1,-999
"(4,2)","(5,3,-8)",4,sqrt(2),4,1,-999
"(2,3)","(5,3,-8)",2,sqrt(2),2,1,-999
"(2,-4)","(5,3,-8)",2,sqrt(2),2,1,-999
"(4,-4)","(5,3,-8)",4,sqrt(2),4,1,-999
"(2,-2)","(2,6,-8)",2,sqrt(2),2,1,-999
"(4,-2)","(2,6,-8)",4,sqrt(2),4,1,-999
"(2,7)","(-1,9,-8)",2,sqrt(2),2,1,-999
"(4,7)","(-1,9,-8)",4,sqrt(2),4,1,-999
"(4,-1)","(4,4,-8)",4,sqrt(2),4,1,-999
"(2,0)","(4,4,-8)",2,sqrt(2),2,1,-999
"(4,0)","(4,4,-8)",4,sqrt(2),4,1,-999
"(2,10)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,10)","(6,1,-7)",4,sqrt(2),4,1,-999
"(4,-9)","(2,6,-8)",4,sqrt(2),4,1,-999
"(2,-8)","(2,6,-8)",2,sqrt(2),2,1,-999
"(4,-8)","(2,6,-8)",4,sqrt(2),4,1,-999
"(2,-7)","(4,4,-8)",2,sqrt(2),2,1,-999
"(4,-7)","(4,4,-8)",4,sqrt(2),4,1,-999
"(2,-6)","(4,4,-8)",2,sqrt(2),2,1,-999
"(4,-6)","(4,4,-8)",4,sqrt(2),4,1,-999
"(2,1)","(-1,9,-8)",2,sqrt(2),2,1,-999
"(4,1)","(-1,9,-8)",4,sqrt(2),4,1,-999
"(2,-2)","(4,4,-8)",2,sqrt(2),2,1,-999
"(4,-2)","(4,4,-8)",4,sqrt(2),4,1,-999
"(2,-1)","(4,4,-8)",2,sqrt(2),2,1,-999
"(2,-8)","(4,4,-8)",2,sqrt(2),2,1,-999
"(4,-8)","(4,4,-8)",4,sqrt(2),4,1,-999
"(2,0)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,0)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,1)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,1)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,-6)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,-6)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,-5)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(2,9)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,9)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,2)","(2,6,-8)",2,sqrt(2),2,1,-999
"(4,2)","(2,6,-8)",4,sqrt(2),4,1,-999
"(2,3)","(2,6,-8)",2,sqrt(2),2,1,-999
"(4,3)","(2,6,-8)",4,sqrt(2),4,1,-999
"(2,-10)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,-10)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,-8)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,-8)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,-7)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,-7)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,10)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,10)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,-4)","(2,6,-8)",2,sqrt(2),2,1,-999
"(4,-4)","(2,6,-8)",4,sqrt(2),4,1,-999
"(2,-3)","(2,6,-8)",2,sqrt(2),2,1,-999
"(4,-3)","(2,6,-8)",4,sqrt(2),4,1,-999
"(2,5)","(-1,9,-8)",2,sqrt(2),2,1,-999
"(4,5)","(-1,9,-8)",4,sqrt(2),4,1,-999
"(2,6)","(-1,9,-8)",2,sqrt(2),2,1,-999
"(4,6)","(-1,9,-8)",4,sqrt(2),4,1,-999
"(2,4)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,4)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,5)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,5)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,-1)","(-1,9,-8)",2,sqrt(2),2,1,-999
"(4,-1)","(-1,9,-8)",4,sqrt(2),4,1,-999
"(2,0)","(-1,9,-8)",2,sqrt(2),2,1,-999
"(4,0)","(-1,9,-8)",4,sqrt(2),4,1,-999
"(2,-5)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,-5)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(4,10)","(-2,10,-8)",4,sqrt(2),4,1,-999
"(2,2)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,2)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(4,-5)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,-4)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,-4)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,7)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,7)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,8)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,8)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,9)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,9)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,10)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,10)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,1)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,1)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,2)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(2,6)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,6)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(4,-1)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,0)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,0)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,-10)","(10,-3,-7)",2,sqrt(2),2,1,-999
"(4,-10)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(2,9)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,9)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(4,2)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,3)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,3)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,5)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,5)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,10)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,10)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,4)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,4)","(7,0,-7)",4,sqrt(2),4,1,-999
"(4,-2)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,-1)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,-1)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(4,3)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(2,4)","(10,-3,-7)",2,sqrt(2),2,1,-999
"(4,4)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(2,2)","(10,-3,-7)",2,sqrt(2),2,1,-999
"(4,2)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(2,3)","(10,-3,-7)",2,sqrt(2),2,1,-999
"(2,-3)","(10,-3,-7)",2,sqrt(2),2,1,-999
"(4,-3)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(2,-2)","(10,-3,-7)",2,sqrt(2),2,1,-999
"(4,-2)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(1,-9)","(0,2,-8)",2,sqrt(2),2,1,-999
"(2,1)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,1)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,2)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,2)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,-4)","(10,-3,-7)",2,sqrt(2),2,1,-999
"(4,-4)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(2,-5)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,-5)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,-4)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,-4)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,-9)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,-9)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(-4,-6)","(7,10,-8)",-4.9330863314381794,Lemniscate,-2,2,-3
"(4,-10)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,-9)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,-9)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,-1)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,-1)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,0)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,0)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,-8)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,-8)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,-7)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,-7)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,-7)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,-7)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,-6)","(7,0,-7)",2,sqrt(2),2,1,-999
"(2,8)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,8)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,6)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,6)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,7)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,7)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,6)","(-2,10,-8)",2,sqrt(2),2,1,-999
"(4,6)","(-2,10,-8)",4,sqrt(2),4,1,-999
"(2,7)","(-2,10,-8)",2,sqrt(2),2,1,-999
"(2,8)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,8)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,9)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,9)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,7)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,7)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,2)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,2)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,3)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,3)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,7)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,7)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,8)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,8)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,3)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,3)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,4)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,4)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,-10)","(6,1,-7)",2,sqrt(2),2,1,-999
"(2,1)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,1)","(7,0,-7)",4,sqrt(2),4,1,-999
"(4,6)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(2,7)","(10,-3,-7)",2,sqrt(2),2,1,-999
"(4,7)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(2,-8)","(4,-3,-7)",4,sqrt(2),4,1,-999
"(2,10)","(10,-3,-7)",2,sqrt(2),2,1,-999
"(4,10)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(4,-6)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,-5)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,-5)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,-3)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(4,-3)","(8,-1,-7)",4,sqrt(2),4,1,-999
"(2,-2)","(8,-1,-7)",2,sqrt(2),2,1,-999
"(2,6)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,6)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,5)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,5)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,6)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,6)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,8)","(3,5,-8)",2,sqrt(2),2,1,-999
"(4,8)","(3,5,-8)",4,sqrt(2),4,1,-999
"(2,0)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,0)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,2)","(3,5,-8)",2,sqrt(2),2,1,-999
"(4,2)","(3,5,-8)",4,sqrt(2),4,1,-999
"(2,5)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,5)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,-1)","(10,-3,-7)",2,sqrt(2),2,1,-999
"(4,-1)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(2,6)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,6)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,7)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,7)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,-7)","(10,-3,-7)",2,sqrt(2),2,1,-999
"(4,-7)","(10,-3,-7)",4,sqrt(2),4,1,-999
"(2,3)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,3)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,4)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,4)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,5)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,5)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,-3)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,-3)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,-2)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,-2)","(6,1,-7)",4,sqrt(2),4,1,-999
"(2,-1)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,-1)","(6,1,-7)",4,sqrt(2),4,1,-999
"(5,8)","(0,-4,-7)",4,sqrt(2),4,1,-999
"(2,4)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,4)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,-2)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,-2)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,-4)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,-4)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,-3)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,-3)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,5)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,5)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,6)","(2,5,-7)",2,sqrt(2),2,1,-999
"(2,-1)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,-1)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,8)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,8)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,2)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,2)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,8)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,8)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,9)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,9)","(4,3,-7)",4,sqrt(2),4,1,-999
"(1,-8)","(0,2,-7)",2,sqrt(2),2,1,-999
"(2,-10)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,-10)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,-9)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,-9)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(4,8)","(2,0,-8)",3.4142135623730949,sqrt(2),2,1,1
"(2,-6)","(6,1,-7)",2,sqrt(2),2,1,-999
"(4,-6)","(6,1,-7)",4,sqrt(2),4,1,-999
"(4,3)","(5,3,-8)",4,sqrt(2),4,1,-999
"(2,4)","(5,3,-8)",2,sqrt(2),2,1,-999
"(4,4)","(5,3,-8)",4,sqrt(2),4,1,-999
"(4,6)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,7)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,7)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,0)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,0)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,1)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,1)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,-3)","(5,3,-8)",2,sqrt(2),2,1,-999
"(4,-3)","(5,3,-8)",4,sqrt(2),4,1,-999
"(2,-2)","(5,3,-8)",2,sqrt(2),2,1,-999
"(4,-2)","(5,3,-8)",4,sqrt(2),4,1,-999
"(2,5)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,5)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,6)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,6)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,-1)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,-1)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,0)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,0)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,9)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,9)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,10)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,10)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,3)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,3)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,4)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,4)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,10)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,10)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,-4)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,-4)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,-10)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,-10)","(5,2,-7)",4,sqrt(2),4,1,-999
"(4,3)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,4)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,4)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,-5)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,-5)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,-3)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,-3)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,-2)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,-2)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,-10)","(3,6,-9)",2,sqrt(2),2,1,-999
"(4,-10)","(3,6,-9)",4,sqrt(2),4,1,-999
"(2,0)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,0)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,1)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,1)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,-6)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,-6)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,-5)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,-5)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,-10)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,-10)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,-9)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,-9)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,7)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,7)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,1)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,1)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,2)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,2)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,3)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,3)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,-4)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,-4)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,-3)","(4,3,-7)",2,sqrt(2),2,1,-999
"(4,-3)","(4,3,-7)",4,sqrt(2),4,1,-999
"(2,-10)","(3,4,-7)",2,sqrt(2),2,1,-999
"(4,-10)","(3,4,-7)",4,sqrt(2),4,1,-999
"(2,-4)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,-4)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,-3)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,-3)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,-10)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,-10)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,-9)","(7,0,-7)",2,sqrt(2),2,1,-999
"(2,-3)","(3,4,-7)",2,sqrt(2),2,1,-999
"(4,-3)","(3,4,-7)",4,sqrt(2),4,1,-999
"(2,-9)","(3,4,-7)",2,sqrt(2),2,1,-999
"(4,-9)","(3,4,-7)",4,sqrt(2),4,1,-999
"(2,-2)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,-2)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,1)","(3,4,-7)",2,sqrt(2),2,1,-999
"(4,1)","(3,4,-7)",4,sqrt(2),4,1,-999
"(2,2)","(3,4,-7)",2,sqrt(2),2,1,-999
"(4,2)","(3,4,-7)",4,sqrt(2),4,1,-999
"(2,-5)","(3,4,-7)",2,sqrt(2),2,1,-999
"(4,-5)","(3,4,-7)",4,sqrt(2),4,1,-999
"(2,-4)","(3,4,-7)",2,sqrt(2),2,1,-999
"(4,-4)","(3,4,-7)",4,sqrt(2),4,1,-999
"(4,-9)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,-8)","(7,0,-7)",2,sqrt(2),2,1,-999
"(4,-8)","(7,0,-7)",4,sqrt(2),4,1,-999
"(2,-4)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,-4)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,-6)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,-6)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,-5)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,-5)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,-2)","(3,4,-7)",2,sqrt(2),2,1,-999
"(4,-2)","(3,4,-7)",4,sqrt(2),4,1,-999
"(2,-1)","(3,4,-7)",2,sqrt(2),2,1,-999
"(4,-1)","(3,4,-7)",4,sqrt(2),4,1,-999
"(2,-10)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,-10)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,-8)","(0,7,-7)",2,sqrt(2),2,1,-999
"(4,-8)","(0,7,-7)",4,sqrt(2),4,1,-999
"(2,-7)","(0,7,-7)",2,sqrt(2),2,1,-999
"(4,-7)","(0,7,-7)",4,sqrt(2),4,1,-999
"(2,-8)","(3,4,-7)",2,sqrt(2),2,1,-999
"(4,-8)","(3,4,-7)",4,sqrt(2),4,1,-999
"(2,-7)","(3,4,-7)",2,sqrt(2),2,1,-999
"(4,-7)","(3,4,-7)",4,sqrt(2),4,1,-999
"(2,-7)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,-7)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,-2)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,-2)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,-1)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(2,-8)","(9,-2,-7)",2,sqrt(2),2,1,-999
"(4,-8)","(9,-2,-7)",4,sqrt(2),4,1,-999
"(2,-6)","(0,7,-7)",2,sqrt(2),2,1,-999
"(4,-6)","(0,7,-7)",4,sqrt(2),4,1,-999
"(2,-5)","(0,7,-7)",2,sqrt(2),2,1,-999
"(2,8)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,8)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,9)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,9)","(2,5,-7)",4,sqrt(2),4,1,-999
"(2,-6)","(3,-2,-8)",2.0000000000000013,sqrt(2),2,1,-999
"(2,-1)","(5,2,-7)",2,sqrt(2),2,1,-999
"(4,-1)","(5,2,-7)",4,sqrt(2),4,1,-999
"(2,2)","(2,5,-7)",2,sqrt(2),2,1,-999
"(4,2)","(2,5,-7)",4,sqrt(2),4,1,-999
