a_coeffs,b_coeffs,value,constant,c0,c1,c2
"(6,7)","(0,-8,-10)",4,sqrt(2),4,1,-999
"(2,0)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,0)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,1)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,1)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,3)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,3)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,-2)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,-2)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,-1)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,-1)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,8)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,8)","(1,9,-10)",4,sqrt(2),4,1,-999
"(2,-3)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,-3)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,-6)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,-6)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,-5)","(9,1,-10)",2,sqrt(2),2,1,-999
"(0,7)","(0,-2,-10)",4,sqrt(2),4,1,-999
"(4,3)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,4)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,4)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,2)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,2)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,3)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,3)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,2)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,2)","(1,9,-10)",4,sqrt(2),4,1,-999
"(2,-8)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,-8)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,-7)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,-7)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,-4)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,-4)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,-3)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,-3)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,-8)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,-8)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,-3)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,-3)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,-2)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,-2)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,7)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,7)","(0,10,-10)",4,sqrt(2),4,1,-999
"(4,-7)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,-6)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,-6)","(5,5,-10)",4,sqrt(2),4,1,-999
"(4,10)","(4,6,-10)",4,sqrt(2),4,1,-999
"(2,7)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,7)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,8)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,8)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,0)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,0)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,1)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,1)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,1)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,1)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,-4)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,-4)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,5)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,5)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,10)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,10)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,1)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,1)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,2)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,-2)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,-1)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,-1)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,-6)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,-6)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,-5)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,-5)","(6,4,-10)",4,sqrt(2),4,1,-999
"(4,-6)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,-5)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,-5)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,-10)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,-10)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,4)","(4,6,-10)",2,sqrt(2),2,1,-999
"(4,4)","(4,6,-10)",4,sqrt(2),4,1,-999
"(2,5)","(4,6,-10)",2,sqrt(2),2,1,-999
"(4,5)","(4,6,-10)",4,sqrt(2),4,1,-999
"(2,-5)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,-5)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,6)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,6)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,10)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,10)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,4)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,4)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,5)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,5)","(2,8,-10)",4,sqrt(2),4,1,-999
"(4,-9)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,-8)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,-8)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,8)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,8)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,9)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,9)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,8)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,8)","(9,1,-10)",4,sqrt(2),4,1,-999
"(3,7)","(2,1,-10)",2,sqrt(2),2,1,-999
"(2,-7)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,-7)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,-6)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,-6)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,8)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,8)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,9)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,9)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,6)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,6)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,7)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,7)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,8)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,8)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,9)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,9)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,2)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,2)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,3)","(3,7,-10)",2,sqrt(2),2,1,-999
"(2,-2)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,-2)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,-1)","(10,0,-10)",2,sqrt(2),2,1,-999
"(2,-3)","(4,6,-10)",2,sqrt(2),2,1,-999
"(4,-3)","(4,6,-10)",4,sqrt(2),4,1,-999
"(2,-3)","(6,4,-10)",2,sqrt(2),2,1,-999
