P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(-5)","(-5)",-3.6180339887498949,sqrt(5),-5,2,-1
"(5)","(-5)",3.6180339887498949,sqrt(5),5,2,1
"(5)","(-4)",4,sqrt(2),4,1,-999
"(-4)","(4)",-4.8284271247461898,sqrt(2),-2,1,-2
"(-2)","(4)",-3.2360679774997898,sqrt(5),-1,1,-1
"(2)","(4)",3.2360679774997898,sqrt(5),1,1,1
"(3)","(4)",4,sqrt(2),4,1,-999
"(4)","(4)",4.8284271247461898,sqrt(2),2,1,2
"(-5)","(5)",-5.8541019662496847,sqrt(5),-5,2,-3
"(5)","(5)",5.8541019662496847,sqrt(5),5,2,3
"(-4)","(-2)",-3.4142135623730949,sqrt(2),-2,1,-1
"(3)","(-2)",2,sqrt(2),2,1,-999
"(4)","(-2)",3.4142135623730949,sqrt(2),2,1,1
"(-4)","(-1)",-3.7320508075688772,sqrt(3),-2,1,-1
"(-3)","(-1)",-2.6180339887498949,sqrt(5),-3,2,-1
"(3)","(-1)",2.6180339887498949,sqrt(5),3,2,1
"(4)","(-1)",3.7320508075688772,sqrt(3),2,1,1
"(-4)","(1)",-4.2360679774997898,sqrt(5),-2,1,-1
"(-2)","(1)",-2.4142135623730949,sqrt(2),-1,1,-1
"(-1)","(1)",-1.6180339887498949,sqrt(5),-1,2,-1
"(1)","(1)",1.6180339887498949,sqrt(5),1,2,1
"(2)","(1)",2.4142135623730949,sqrt(2),1,1,1
"(4)","(1)",4.2360679774997898,sqrt(5),2,1,1
"(-2)","(2)",-2.7320508075688772,sqrt(3),-1,1,-1
"(1)","(2)",2,sqrt(2),2,1,-999
"(2)","(2)",2.7320508075688772,sqrt(3),1,1,1
