P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(5,5,5,5,5,5)","(-4,-5,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,5,5,5,5,5)","(-2,-5,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,-5,-5,-5,-5,-5)","(2,-5,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,-5,-5,-5,-5,-5)","(4,-5,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(-1,-2,-3,-4,3,-4)","(-4,-4,-5,-5,-5,-5)",2.2780837917930969,pi^2/12,5,4,5
"(1,2,3,4,-3,4)","(-4,-4,-5,-5,-5,-5)",-2.2780837917930969,pi^2/12,-5,4,-5
"(5,4,5,5,5,5)","(-4,-4,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,4,5,5,5,5)","(-2,-4,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,-4,-5,-5,-5,-5)","(2,-4,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,-4,-5,-5,-5,-5)","(4,-4,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,3,5,5,5,5)","(-4,-3,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,3,5,5,5,5)","(-2,-3,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,-3,-5,-5,-5,-5)","(2,-3,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,-3,-5,-5,-5,-5)","(4,-3,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,2,5,5,5,5)","(-4,-2,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(4,1,5,0,5,0)","(-2,-2,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,2,5,5,5,5)","(-2,-2,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,-2,-5,-5,-5,-5)","(2,-2,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,-2,-5,-5,-5,-5)","(4,-2,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(-5,2,5,3,1,-4)","(-5,-1,-5,-5,-5,-5)",-8.9348022005127419,pi^2/6,-4,1,-3
"(-3,-4,5,0,2,-1)","(-5,-1,-5,-5,-5,-5)",1.2445668500425109,pi^2/4,5,6,1
"(3,4,-5,0,-2,1)","(-5,-1,-5,-5,-5,-5)",-1.2445668500425109,pi^2/4,-5,6,-1
"(5,-2,-5,-3,-1,4)","(-5,-1,-5,-5,-5,-5)",8.9348022005127419,pi^2/6,4,1,3
"(5,1,5,5,5,5)","(-4,-1,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,1,5,5,5,5)","(-2,-1,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,-1,-5,-5,-5,-5)","(2,-1,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(-3,5,3,-1,-4,-3)","(2,-1,-5,-5,-5,-5)",16.732345325739779,Lemniscate,1,1,6
"(3,-5,-3,1,4,3)","(2,-1,-5,-5,-5,-5)",-16.732345325739779,Lemniscate,-1,1,-6
"(3,-1,-5,-5,-5,-5)","(4,-1,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(-1,-2,2,-1,4,-1)","(-5,0,-5,-5,-5,-5)",1.1308996939099694,pi/4,6,6,1
"(1,2,-2,1,-4,1)","(-5,0,-5,-5,-5,-5)",-1.1308996939099694,pi/4,-6,6,-1
"(5,0,5,5,5,5)","(-4,0,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,0,5,5,5,5)","(-2,0,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,0,-5,-5,-5,-5)","(2,0,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,0,-5,-5,-5,-5)","(4,0,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,-1,5,5,5,5)","(-4,1,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,-1,5,5,5,5)","(-2,1,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,1,-5,-5,-5,-5)","(2,1,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,1,-5,-5,-5,-5)","(4,1,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,-2,5,5,5,5)","(-4,2,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,-2,5,5,5,5)","(-2,2,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,2,-5,-5,-5,-5)","(2,2,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(0,-1,-5,0,-5,0)","(2,2,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,2,-5,-5,-5,-5)","(4,2,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,-3,5,5,5,5)","(-4,3,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,-3,5,5,5,5)","(-2,3,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,3,-5,-5,-5,-5)","(2,3,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,3,-5,-5,-5,-5)","(4,3,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,-4,5,5,5,5)","(-4,4,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,-4,5,5,5,5)","(-2,4,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,4,-5,-5,-5,-5)","(2,4,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,4,-5,-5,-5,-5)","(4,4,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(2,-1,-5,0,-5,0)","(4,4,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(-3,-5,1,2,-4,-4)","(-5,5,-5,-5,-5,-5)",-1.244530341562998,pi/e,-4,6,-3
"(3,5,-1,-2,4,4)","(-5,5,-5,-5,-5,-5)",1.244530341562998,pi/e,4,6,3
"(5,-5,5,5,5,5)","(-4,5,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,-5,5,5,5,5)","(-2,5,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,5,-5,-5,-5,-5)","(2,5,-5,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,1,4,1,2,-1)","(3,5,-5,-5,-5,-5)",1.9269908169761401,pi/4,-2,1,5
"(-3,-1,-4,-1,-2,1)","(3,5,-5,-5,-5,-5)",-1.9269908169761401,pi/4,2,1,-5
"(3,5,-5,-5,-5,-5)","(4,5,-5,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,5,4,5,5,5)","(-4,-5,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,5,4,5,5,5)","(-2,-5,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,-5,-4,-5,-5,-5)","(2,-5,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,-5,-4,-5,-5,-5)","(4,-5,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,4,4,5,5,5)","(-4,-4,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,4,4,5,5,5)","(-2,-4,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(5,5,5,5,5,0)","(0,-4,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(1,-4,-4,-5,-5,-5)","(2,-4,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(-3,5,5,-3,1,-1)","(2,-4,-4,-5,-5,-5)",-3.1932454224376898,pi^2/6,-3,3,-4
"(3,-5,-5,3,-1,1)","(2,-4,-4,-5,-5,-5)",3.1932454224376898,pi^2/6,3,3,4
"(3,-4,-4,-5,-5,-5)","(4,-4,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(4,-2,-2,-4,-5,-5)","(5,-4,-4,-5,-5,-5)",5.3923048453825135,sqrt(3),-5,1,6
"(-4,2,2,4,5,5)","(5,-4,-4,-5,-5,-5)",-5.3923048453825135,sqrt(3),5,1,-6
"(5,3,4,5,5,5)","(-4,-3,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(-5,-5,0,5,2,-4)","(-3,-3,-4,-5,-5,-5)",4.8393972058180239,1/e,3,1,5
"(5,5,0,-5,-2,4)","(-3,-3,-4,-5,-5,-5)",-4.8393972058180239,1/e,-3,1,-5
"(3,3,4,5,5,5)","(-2,-3,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,-3,-4,-5,-5,-5)","(2,-3,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,-3,-4,-5,-5,-5)","(4,-3,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,2,4,5,5,5)","(-4,-2,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,2,4,5,5,5)","(-2,-2,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,5,5,5,5,0)","(0,-2,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,-2,-4,-5,-5,-5)","(2,-2,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,-2,-4,-5,-5,-5)","(4,-2,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,1,4,5,5,5)","(-4,-1,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(4,0,5,0,5,0)","(-2,-1,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,1,4,5,5,5)","(-2,-1,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,-1,-4,-5,-5,-5)","(2,-1,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,-1,-4,-5,-5,-5)","(4,-1,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,0,4,5,5,5)","(-4,0,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,0,4,5,5,5)","(-2,0,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,0,-4,-5,-5,-5)","(2,0,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,0,-4,-5,-5,-5)","(4,0,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(1,1,-5,-5,2,-4)","(5,0,-4,-5,-5,-5)",2.7337005501348766,pi^2/6,6,4,3
"(-1,-1,5,5,-2,4)","(5,0,-4,-5,-5,-5)",-2.7337005501348766,pi^2/6,-6,4,-3
"(5,-1,4,5,5,5)","(-4,1,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,-1,4,5,5,5)","(-2,1,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,1,-4,-5,-5,-5)","(2,1,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,1,-4,-5,-5,-5)","(4,1,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,4,-4,5,0,-3)","(4,1,-4,-5,-5,-5)",1.5989422803992375,1/sqrt(2pi),6,5,5
"(-3,-4,4,-5,0,3)","(4,1,-4,-5,-5,-5)",-1.5989422803992375,1/sqrt(2pi),-6,5,-5
"(5,-2,4,5,5,5)","(-4,2,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,-2,4,5,5,5)","(-2,2,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,-5,-5,-5,-5,0)","(0,2,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,2,-4,-5,-5,-5)","(2,2,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,2,-4,-5,-5,-5)","(4,2,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,-3,4,5,5,5)","(-4,3,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,-3,4,5,5,5)","(-2,3,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,3,-4,-5,-5,-5)","(2,3,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(0,0,-5,0,-5,0)","(2,3,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,3,-4,-5,-5,-5)","(4,3,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,-4,4,5,5,5)","(-4,4,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,-4,4,5,5,5)","(-2,4,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,-5,-5,-5,-5,0)","(0,4,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(1,4,-4,-5,-5,-5)","(2,4,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,4,-4,-5,-5,-5)","(4,4,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,-5,4,5,5,5)","(-4,5,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,-5,4,5,5,5)","(-2,5,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,5,-4,-5,-5,-5)","(2,5,-4,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,5,-4,-5,-5,-5)","(4,5,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(2,0,-5,0,-5,0)","(4,5,-4,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,5,3,5,5,5)","(-4,-5,-3,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,5,3,5,5,5)","(-2,-5,-3,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,-5,-3,-5,-5,-5)","(2,-5,-3,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,-5,-3,-5,-5,-5)","(4,-5,-3,-5,-5,-5)",4,sqrt(2),4,1,-999
"(-1,-3,-2,1,3,-2)","(-4,-4,-3,-5,-5,-5)",-2.6604739588795736,2/sqrt(pi),-5,4,-5
"(1,3,2,-1,-3,2)","(-4,-4,-3,-5,-5,-5)",2.6604739588795736,2/sqrt(pi),5,4,5
"(5,4,3,5,5,5)","(-4,-4,-3,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,4,3,5,5,5)","(-2,-4,-3,-5,-5,-5)",2,sqrt(2),2,1,-999
"(5,4,5,5,5,0)","(0,-4,-3,-5,-5,-5)",4,sqrt(2),4,1,-999
"(1,-4,-3,-5,-5,-5)","(2,-4,-3,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,-4,-3,-5,-5,-5)","(4,-4,-3,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,3,3,5,5,5)","(-4,-3,-3,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,3,3,5,5,5)","(-2,-3,-3,-5,-5,-5)",2,sqrt(2),2,1,-999
"(1,-3,-3,-5,-5,-5)","(2,-3,-3,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,-3,-3,-5,-5,-5)","(4,-3,-3,-5,-5,-5)",4,sqrt(2),4,1,-999
"(5,2,3,5,5,5)","(-4,-2,-3,-5,-5,-5)",4,sqrt(2),4,1,-999
"(3,2,3,5,5,5)","(-2,-2,-3,-5,-5,-5)",2,sqrt(2),2,1,-999
"(3,4,5,5,5,0)","(0,-2,-3,-5,-5,-5)",2,sqrt(2),2,1,-999
