P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(4,2,2,2,2,2,2)","(-4,-4,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,4,4,4,4,4,4)","(-2,-4,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(4,4,2,2,2,2,0)","(0,-4,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-4,-4,-4,-4,-4,-4)","(2,-4,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-4,-4,-4,-4,-4,-4)","(4,-4,-4,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,-2,-2,-2,-2,-2,-2)","(4,-4,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-2,4,1,-1,-1,0)","(-2,-3,-4,-4,-4,-4,-4)",2.6640425613520264,1/ln(2),1,2,3
"(-3,2,-4,-1,1,1,0)","(-2,-3,-4,-4,-4,-4,-4)",-2.6640425613520264,1/ln(2),-1,2,-3
"(3,3,4,4,4,4,4)","(-2,-3,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-3,-4,-4,-4,-4,-4)","(2,-3,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-3,-4,-4,-4,-4,-4)","(4,-3,-4,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,1,2,2,2,2,2)","(-4,-2,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(4,-3,3,4,3,-3,-3)","(-2,-2,-4,-4,-4,-4,-4)",0.82436063535131865,sqrt(e),0,2,1
"(-4,3,-3,-4,-3,3,3)","(-2,-2,-4,-4,-4,-4,-4)",-0.82436063535131865,sqrt(e),0,2,-1
"(3,2,4,4,4,4,4)","(-2,-2,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,1,4,0,4,-4,0)","(0,-2,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(-1,0,0,-1,-3,-1,-4)","(1,-2,-4,-4,-4,-4,-4)",1.4566370614381374,pi/2,1,5,4
"(1,0,0,1,3,1,4)","(1,-2,-4,-4,-4,-4,-4)",-1.4566370614381374,pi/2,-1,5,-4
"(1,-2,-4,-4,-4,-4,-4)","(2,-2,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-2,-4,-4,-4,-4,-4)","(4,-2,-4,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,-1,-2,-2,-2,-2,-2)","(4,-2,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,1,4,4,4,4,4)","(-2,-1,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-1,-4,-4,-4,-4,-4)","(2,-1,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-1,-4,-4,-4,-4,-4)","(4,-1,-4,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,0,2,2,2,2,2)","(-4,0,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,0,4,4,4,4,4)","(-2,0,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,0,-4,-4,-4,-4,-4)","(2,0,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,0,-4,-4,-4,-4,-4)","(4,0,-4,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,0,-2,-2,-2,-2,-2)","(4,0,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(-2,-4,0,-2,0,-2,0)","(4,0,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-1,4,4,4,4,4)","(-2,1,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,1,-4,-4,-4,-4,-4)","(2,1,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,1,-4,-4,-4,-4,-4)","(4,1,-4,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,-1,2,2,2,2,2)","(-4,2,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-2,4,4,4,4,4)","(-2,2,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,2,-4,-4,-4,-4,-4)","(2,2,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,2,-4,-4,-4,-4,-4)","(4,2,-4,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,1,-2,-2,-2,-2,-2)","(4,2,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(0,1,3,2,-1,-1,-1)","(-3,3,-4,-4,-4,-4,-4)",-2.1362943611043224,2*ln(2),-3,4,-4
"(0,-1,-3,-2,1,1,1)","(-3,3,-4,-4,-4,-4,-4)",2.1362943611043224,2*ln(2),3,4,4
"(0,-3,-1,0,-4,3,-4)","(-2,3,-4,-4,-4,-4,-4)",2.7608813203448435,pi^2/4,-1,5,6
"(0,3,1,0,4,-3,4)","(-2,3,-4,-4,-4,-4,-4)",-2.7608813203448435,pi^2/4,1,5,-6
"(3,-3,4,4,4,4,4)","(-2,3,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,3,-4,-4,-4,-4,-4)","(2,3,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,3,-4,-4,-4,-4,-4)","(4,3,-4,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(4,-2,2,2,2,2,2)","(-4,4,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-4,4,4,4,4,4)","(-2,4,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(0,-4,-2,-2,-2,-2,0)","(0,4,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,4,-4,-4,-4,-4,-4)","(2,4,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,4,-4,-4,-4,-4,-4)","(4,4,-4,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(0,2,-2,-2,-2,-2,-2)","(4,4,-4,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,4,3,4,4,4,4)","(-2,-4,-3,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-4,-3,-4,-4,-4,-4)","(2,-4,-3,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-4,-3,-4,-4,-4,-4)","(4,-4,-3,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(3,3,3,4,4,4,4)","(-2,-3,-3,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-3,-3,-4,-4,-4,-4)","(2,-3,-3,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-3,-3,-4,-4,-4,-4)","(4,-3,-3,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(3,2,3,4,4,4,4)","(-2,-2,-3,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,4,4,4,4,4,0)","(0,-2,-3,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-2,-3,-4,-4,-4,-4)","(2,-2,-3,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(3,-2,-3,-4,-4,-4,-4)","(4,-2,-3,-4,-4,-4,-4)",4,sqrt(2),4,1,-999
"(-4,-3,-3,1,4,-1,-2)","(-3,-1,-3,-4,-4,-4,-4)",2.8674011002500581,pi^2/4,2,5,5
"(4,3,3,-1,-4,1,2)","(-3,-1,-3,-4,-4,-4,-4)",-2.8674011002500581,pi^2/4,-2,5,-5
"(3,1,3,4,4,4,4)","(-2,-1,-3,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
"(1,-1,-3,-4,-4,-4,-4)","(2,-1,-3,-4,-4,-4,-4)",2,sqrt(2),2,1,-999
