P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(0,0,1,1,-2,0,1,1,1)","(1,1,0,1,-2,-2,-2,8,-2)",-10.047681067185536,e*pi,1,5,-6
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-2,-2,-2,-2,-2,-2,0,0)","(0,0,2,0,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,-1,-2,-2,-2,-2,-2,0,0)","(0,0,2,1,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
"(1,0,-2,-2,-2,-2,-2,0,0)","(0,0,2,2,-1,-2,-2,8,-2)",2,sqrt(2),2,1,-999
