sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
3488,65,8,5,0,171.740753,12.691667,65
3489,81,5,1,0,180.825455,12.691667,81
3490,87,6,5,0,150.577469,12.691667,87
3491,80,4,2,0,156.771072,12.011325,80
3492,75,11,5,1,170.250488,12.691667,75
3493,89,3,4,0,169.449539,43.905952,89
3494,79,5,7,2,154.566238,12.011325,79
3495,68,5,10,1,164.235382,20.115816,68
3496,83,6,9,1,150.810684,35.630013,83
3497,73,3,5,0,155.891632,12.691667,73
3498,76,7,6,3,157.679749,20.115816,76
3499,86,10,4,2,152.941757,22.370153,86
3500,80,6,8,2,179.226395,29.469137,80
3501,85,7,7,0,156.953003,35.630013,85
3502,88,4,2,1,149.963470,31.318216,88
3503,85,9,1,0,143.405548,11.155773,85
3504,75,5,7,0,170.852982,27.046902,75
3505,74,6,5,1,168.104538,19.037500,74
3506,60,2,2,1,176.312347,54.646328,60
3507,70,4,6,0,158.731155,19.037500,70
3508,72,7,8,1,163.630081,12.691667,72
3509,60,5,3,0,215.303314,43.905952,60
3510,76,5,4,0,156.234955,24.031046,76
3511,75,2,4,0,202.081818,51.876717,75
3512,82,3,5,1,169.228256,12.691667,82
3513,85,10,7,2,151.009460,12.691667,85
3514,84,7,7,1,160.160202,19.037500,84
3515,79,9,6,0,174.553329,35.630013,79
3516,74,4,9,1,193.964081,25.902905,74
3517,79,9,7,2,159.321686,17.681482,79
3518,82,8,7,1,153.137985,12.691667,82
3519,73,6,3,1,160.290802,12.691667,73
3520,76,11,9,2,148.407379,20.115816,76
3521,70,2,8,0,186.315735,48.263474,70
3522,69,2,8,1,181.156464,12.691667,69
3523,84,8,6,1,153.900833,20.115816,84
3524,63,6,4,0,188.833649,29.469137,63
3525,79,3,4,0,166.426025,12.011325,79
3526,70,4,7,1,185.531982,29.469137,70
3527,74,7,7,2,166.488220,12.011325,74
3528,87,7,4,1,164.474411,11.155773,87
3529,70,6,6,0,170.532867,19.037500,70
3530,78,6,3,1,157.949875,29.469137,78
3531,75,4,7,1,183.389359,35.630013,75
3532,64,3,4,0,210.294907,58.923080,64
3533,81,5,7,0,173.701324,41.552361,81
3534,70,7,6,0,167.266266,29.469137,70
3535,71,10,5,0,165.599899,37.428825,71
3536,74,8,5,1,179.035385,11.155773,74
3537,85,7,3,0,164.459778,25.902905,85
3538,74,5,7,2,165.035919,12.691667,74
3539,73,6,4,0,193.597992,29.469137,73
3540,78,6,7,0,154.909286,20.115816,78
3541,65,6,7,3,187.592621,54.742687,65
3542,91,6,9,2,143.506836,10.349608,91
3543,78,6,8,0,176.432037,46.964748,78
3544,65,4,5,1,180.498596,20.115816,65
3545,81,7,7,1,150.981873,11.155773,81
3546,84,9,11,2,128.850510,12.691667,84
3547,80,8,7,2,143.347946,19.037500,80
3548,84,5,2,0,172.451828,29.469137,84
3549,69,5,4,0,191.446350,20.115816,69
3550,80,4,4,0,144.705856,55.760998,80
3551,74,6,9,1,155.763062,15.270006,74
3552,80,4,5,0,176.239487,27.889433,80
3553,80,4,5,2,146.462753,12.011325,80
3554,80,7,7,2,171.111023,12.691667,80
3555,80,7,5,0,169.065735,16.403742,80
3556,66,4,4,1,192.170990,29.469137,66
3557,69,9,5,1,160.866226,12.691667,69
3558,86,4,4,0,171.224747,53.913280,86
3559,69,7,5,0,172.656845,12.691667,69
3560,75,5,6,0,162.958496,12.011325,75
3561,67,5,5,1,182.665314,35.630013,67
3562,60,4,4,0,221.149765,20.115816,60
3563,85,8,5,2,138.825348,12.691667,85
3564,92,8,3,0,139.347382,25.290039,92
3565,77,8,6,1,162.661133,25.902905,77
3566,84,5,5,1,160.549866,19.037500,84
3567,77,6,6,2,164.969238,12.691667,77
