sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
9401,26,3,3,0,131.242584,53.913280,26
9402,45,5,3,1,105.812035,12.691667,45
9403,27,3,2,1,151.205032,80.296394,27
9404,42,5,6,0,110.480476,20.115816,42
9405,39,8,6,1,107.663162,12.691667,39
9406,38,3,4,2,114.121559,27.889433,38
9407,32,7,7,1,112.131889,12.691667,32
9408,39,4,3,0,112.320824,12.691667,39
9409,42,6,7,1,95.119469,17.681482,42
9410,39,6,4,1,119.899086,29.469137,39
9411,42,5,6,1,101.161018,27.889433,42
9412,38,5,5,2,95.585640,16.403742,38
9413,32,3,5,0,128.548706,35.630013,32
9414,34,2,2,1,126.964203,39.379848,34
9415,38,7,5,1,124.519798,12.691667,38
9416,32,6,2,0,122.457100,12.691667,32
9417,45,6,6,2,97.161980,12.011325,45
9418,38,2,6,1,105.333542,12.691667,38
9419,31,3,6,0,125.655434,16.403742,31
9420,44,5,6,1,107.282288,20.115816,44
9421,30,5,5,1,129.335617,12.691667,30
9422,38,6,8,1,116.613129,20.115816,38
9423,30,2,6,1,130.327927,46.964748,30
9424,33,7,1,0,122.861069,12.011325,33
9425,31,9,7,3,102.633110,10.349608,31
9426,32,4,8,1,111.737633,12.691667,32
9427,33,4,2,0,133.688202,19.037500,33
9428,26,4,4,2,133.845459,35.942188,26
9429,31,4,1,0,176.898865,60.732521,31
9430,40,6,9,2,117.738197,17.681482,40
9431,44,3,5,0,96.775253,20.115816,44
9432,35,5,5,0,98.938255,12.691667,35
9433,42,4,8,0,117.099419,19.037500,42
9434,32,4,4,2,110.279121,17.681482,32
9435,34,4,8,1,129.639084,16.403742,34
9436,45,5,4,2,106.062454,12.691667,45
9437,44,5,5,0,96.813400,12.691667,44
9438,39,5,3,0,127.322342,41.552361,39
9439,40,3,5,0,96.952309,22.403118,40
9440,39,8,8,3,105.748291,12.691667,39
9441,32,8,6,2,123.892319,20.115816,32
9442,34,4,6,1,108.371132,29.469137,34
9443,37,1,7,1,129.656265,12.691667,37
9444,39,3,7,0,131.579407,45.657455,39
9445,43,4,5,1,123.694504,29.469137,43
9446,37,6,2,0,139.180862,47.388916,37
9447,32,6,6,2,127.112854,12.011325,32
9448,35,5,2,0,115.419151,48.882473,35
9449,44,2,3,0,125.559853,19.037500,44
9450,29,7,4,1,86.822479,12.011325,29
9451,40,4,5,1,131.584030,17.681482,40
9452,43,9,10,2,109.393021,12.691667,43
9453,37,2,6,0,119.982376,12.691667,37
9454,37,5,5,1,123.673256,11.155773,37
9455,43,2,5,0,118.700493,29.469137,43
9456,42,6,3,0,131.267731,12.011325,42
9457,31,4,3,2,112.358208,11.155773,31
9458,33,2,2,1,148.091690,29.469137,33
9459,34,2,5,0,120.487030,38.298103,34
9460,38,2,5,1,109.149849,12.691667,38
9461,34,2,4,1,132.728973,12.691667,34
9462,31,3,4,0,117.502762,12.691667,31
9463,35,6,2,0,124.624092,12.691667,35
9464,40,6,4,1,121.319702,20.115816,40
9465,42,6,5,1,104.493668,29.469137,42
9466,45,9,7,4,97.158218,12.691667,45
9467,39,2,3,0,128.781799,20.115816,39
9468,52,7,8,2,98.265289,12.691667,52
9469,34,5,4,1,103.197342,12.691667,34
9470,39,5,3,1,116.843941,20.115816,39
9471,37,3,3,0,117.518486,25.902905,37
9472,43,5,3,0,106.312729,12.011325,43
9473,35,7,9,2,96.591377,12.691667,35
9474,39,2,7,2,132.304031,12.691667,39
9475,29,2,4,0,132.873505,33.720055,29
9476,44,6,3,1,103.534248,20.115816,44
9477,35,5,3,0,114.880699,24.031046,35
9478,31,4,5,0,148.186447,12.691667,31
9479,47,5,9,3,84.875626,10.349608,47
9480,35,8,4,2,99.160896,10.349608,35
9481,37,8,7,4,130.150421,12.691667,37
9482,30,4,4,1,141.521927,12.011325,30
9483,35,6,3,0,125.555214,35.630013,35
9484,40,8,5,1,94.135368,17.681482,40
9485,28,3,2,1,135.739624,19.037500,28
9486,44,8,5,2,99.359772,10.349608,44
9487,40,8,9,1,113.467278,16.403742,40
9488,32,2,5,1,169.785797,90.701065,32
9489,38,3,7,0,95.933334,12.691667,38
9490,40,3,3,0,112.805374,12.691667,40
9491,40,7,7,3,105.104347,9.008494,40
9492,45,6,5,1,106.949028,12.691667,45
9493,37,3,6,0,117.764473,29.055025,37
9494,43,4,4,0,106.488800,13.944716,43
9495,41,2,7,0,111.359001,29.469137,41
9496,46,8,7,1,104.696991,12.691667,46
9497,41,3,7,0,104.395332,29.469137,41
9498,40,5,4,0,115.680740,12.691667,40
9499,36,6,6,0,106.179443,27.046902,36
9500,44,5,6,1,98.629784,27.889433,44
9501,46,8,5,1,95.250015,12.691667,46
9502,34,2,3,0,129.347168,53.625450,34
9503,30,4,6,1,139.447357,12.011325,30
9504,35,4,5,1,111.519928,29.469137,35
9505,37,5,6,2,141.802063,29.469137,37
9506,40,8,1,0,127.106987,12.691667,40
9507,37,5,5,1,108.715263,12.011325,37
9508,27,2,4,2,148.191467,12.691667,27
9509,46,2,9,0,103.208679,29.469137,46
9510,49,10,14,3,73.523521,7.554974,49
