step,time,max_vorticity,enstrophy,bkm_cumulative
0,0.000000,0.6492885574,0.0296230817,0.0000000000
51,0.255000,0.4554981003,0.0132516682,0.1386607508
102,0.510000,0.3500137057,0.0077497584,0.2403974145
153,0.765000,0.2859780291,0.0053359034,0.3210474122
204,1.020000,0.2427956513,0.0040447468,0.3882580402
255,1.275000,0.2110637803,0.0032516888,0.4460211858
306,1.530000,0.1862716075,0.0027163065,0.4966260924
357,1.785000,0.1661082695,0.0023304539,0.5415229162
408,2.040000,0.1492875574,0.0020390753,0.5817166169
459,2.295000,0.1350237337,0.0018112915,0.6179539590
510,2.550000,0.1227919024,0.0016284243,0.6508173124
561,2.805000,0.1142208279,0.0014784847,0.6808929007
612,3.060000,0.1088256946,0.0013534068,0.7093298160
663,3.315000,0.1040708789,0.0012475539,0.7364737365
714,3.570000,0.0998412681,0.0011568634,0.7624730120
765,3.825000,0.0960446039,0.0010783317,0.7874496051
816,4.080000,0.0926068822,0.0010096897,0.8115043209
867,4.335000,0.0894686890,0.0009491920,0.8347209868
918,4.590000,0.0865822642,0.0008954753,0.8571697921
969,4.845000,0.0839091457,0.0008474595,0.8789099541
1020,5.100000,0.0814182830,0.0008042793,0.8999918445
1071,5.355000,0.0790845287,0.0007652336,0.9204586835
1122,5.610000,0.0768874357,0.0007297494,0.9403478891
1173,5.865000,0.0748103010,0.0006973536,0.9596921513
1224,6.120000,0.0728394054,0.0006676532,0.9785202881
1275,6.375000,0.0709634109,0.0006403187,0.9968579281
1326,6.630000,0.0691728832,0.0006150725,1.0147280557
1377,6.885000,0.0674599132,0.0005916788,1.0321514475
1428,7.140000,0.0658178178,0.0005699364,1.0491470218
1479,7.395000,0.0642409021,0.0005496723,1.0657321212
1530,7.650000,0.0627242718,0.0005307373,1.0819227392
1581,7.905000,0.0612636833,0.0005130019,1.0977337058
1632,8.160000,0.0598554259,0.0004963533,1.1131788376
1683,8.415000,0.0584962266,0.0004806925,1.1282710614
1734,8.670000,0.0571831757,0.0004659325,1.1430225163
1785,8.925000,0.0559136659,0.0004519965,1.1574446383
1836,9.180000,0.0549395826,0.0004388163,1.1715680903
1887,9.435000,0.0541409918,0.0004263313,1.1854773911
1938,9.690000,0.0533638194,0.0004144873,1.1991857561
1989,9.945000,0.0526068268,0.0004032357,1.2126984897
2040,10.200000,0.0518688828,0.0003925328,1.2260205943
2091,10.455000,0.0511489534,0.0003823393,1.2391567959
2142,10.710000,0.0504460929,0.0003726195,1.2521115684
2193,10.965000,0.0497594352,0.0003633410,1.2648891544
2244,11.220000,0.0490881862,0.0003544746,1.2774935849
2295,11.475000,0.0484316171,0.0003459934,1.2899286968
2346,11.730000,0.0477890577,0.0003378729,1.3021981484
2397,11.985000,0.0471598911,0.0003300908,1.3143054340
2448,12.240000,0.0465435483,0.0003226264,1.3262538967
2499,12.495000,0.0459395037,0.0003154608,1.3380467400
2550,12.750000,0.0453472713,0.0003085767,1.3496870385
2601,13.005000,0.0447664002,0.0003019579,1.3611777470
2652,13.260000,0.0441964723,0.0002955895,1.3725217098
2703,13.515000,0.0436370983,0.0002894578,1.3837216683
2754,13.770000,0.0430879158,0.0002835499,1.3947802677
2805,14.025000,0.0425485864,0.0002778541,1.4057000642
2856,14.280000,0.0420187939,0.0002723593,1.4164835303
2907,14.535000,0.0414982420,0.0002670551,1.4271330605
2958,14.790000,0.0409866527,0.0002619321,1.4376509760
3009,15.045000,0.0404837648,0.0002569811,1.4480395293
3060,15.300000,0.0399893323,0.0002521940,1.4583009082
3111,15.555000,0.0395031232,0.0002475627,1.4684372395
3162,15.810000,0.0390249183,0.0002430800,1.4784505925
3213,16.065000,0.0385545103,0.0002387389,1.4883429822
3264,16.320000,0.0380917024,0.0002345330,1.4981163719
3315,16.575000,0.0376363081,0.0002304561,1.5077726761
3366,16.830000,0.0371881496,0.0002265026,1.5173137630
3417,17.085000,0.0367470580,0.0002226671,1.5267414564
3468,17.340000,0.0363128718,0.0002189444,1.5360575379
3519,17.595000,0.0358854367,0.0002153297,1.5452637490
3570,17.850000,0.0354646053,0.0002118186,1.5543617927
3621,18.105000,0.0350502360,0.0002084067,1.5633533350
3672,18.360000,0.0346421930,0.0002050899,1.5722400069
3723,18.615000,0.0342403459,0.0002018645,1.5810234049
3774,18.870000,0.0338445691,0.0001987268,1.5897050934
3825,19.125000,0.0334547414,0.0001956733,1.5982866050
3876,19.380000,0.0330707462,0.0001927008,1.6067694419
3927,19.635000,0.0326924704,0.0001898062,1.6151550774
3978,19.890000,0.0323198050,0.0001869865,1.6234449562
4029,20.145000,0.0319526443,0.0001842389,1.6316404955
4080,20.400000,0.0315908857,0.0001815608,1.6397430863
4131,20.655000,0.0312344298,0.0001789496,1.6477540936
4182,20.910000,0.0308831800,0.0001764029,1.6556748574
4233,21.165000,0.0305370424,0.0001739185,1.6635066935
4284,21.420000,0.0301959256,0.0001714940,1.6712508940
4335,21.675000,0.0298597406,0.0001691274,1.6789087280
4386,21.930000,0.0295284006,0.0001668168,1.6864814424
4437,22.185000,0.0292018210,0.0001645602,1.6939702618
4488,22.440000,0.0288799192,0.0001623558,1.7013763900
4539,22.695000,0.0285626147,0.0001602018,1.7087010095
4590,22.950000,0.0282498284,0.0001580966,1.7159452828
4641,23.205000,0.0279414834,0.0001560386,1.7231103524
4692,23.460000,0.0276375043,0.0001540263,1.7301973413
4743,23.715000,0.0273378172,0.0001520582,1.7372073536
4794,23.970000,0.0270423500,0.0001501329,1.7441414748
4845,24.225000,0.0267510317,0.0001482491,1.7510007718
4896,24.480000,0.0264637931,0.0001464055,1.7577862942
4947,24.735000,0.0261805661,0.0001446008,1.7644990735
4998,24.990000,0.0259012841,0.0001428339,1.7711401245
5000,25.000000,0.0258904113,0.0001427653,1.7713991102
