step,time,max_vorticity,enstrophy,bkm_cumulative
0,0.000000,2.0000000000,39.4784176044,0.0000000000
21,0.210000,1.9991287868,38.8010280958,0.4199145262
42,0.420000,1.9980556957,36.9288688021,0.8396298344
63,0.630000,1.9965017052,34.1112716594,1.2590777678
84,0.840000,1.9940009067,30.6837468648,1.6781152999
105,1.050000,1.9897178526,26.9897149757,2.0964686802
126,1.260000,1.9821531511,23.3197680310,2.5136285187
147,1.470000,1.9687636131,19.8813321018,2.9286726929
168,1.680000,1.9457586253,16.7962201107,3.3400193164
189,1.890000,1.9086787988,14.1155113125,3.7452029806
210,2.100000,1.8541581141,11.8406552545,4.1408923734
231,2.310000,1.7819676789,9.9431059518,4.5233354809
252,2.520000,1.6955433620,8.3790779742,4.8891090642
273,2.730000,1.6005338885,7.0993784005,5.2357691519
294,2.940000,1.5027279043,6.0556265342,5.5621045256
315,3.150000,1.4066968835,5.2039315577,5.8680123274
336,3.360000,1.3154131062,4.5066426405,6.1541897460
357,3.570000,1.2304611805,3.9326992079,6.4218130250
378,3.780000,1.1524386085,3.4571312988,6.6722853211
399,3.990000,1.0813274766,3.0601754001,6.9070680254
420,4.200000,1.0167685978,2.7263121622,7.1275807471
441,4.410000,0.9582404365,2.4433848495,7.3351490154
462,4.620000,0.9051665534,2.2018584459,7.5309819535
483,4.830000,0.8569755315,1.9942260154,7.7161673928
504,5.040000,0.8131315116,1.8145457023,7.8916763709
525,5.250000,0.7731474720,1.6580848462,8.0583721495
546,5.460000,0.7365888562,1.5210482970,8.2170209546
567,5.670000,0.7030721096,1.4003714006,8.3683029084
588,5.880000,0.6722607735,1.2935620501,8.5128223762
609,6.090000,0.6438606235,1.1985797625,8.6511173786
630,6.300000,0.6176146555,1.1137426605,8.7836679570
651,6.510000,0.5932983243,1.0376555213,8.9109035078
672,6.720000,0.5707152201,0.9691537820,9.0332091574
693,6.930000,0.5496932402,0.9072596900,9.1509312796
714,7.140000,0.5300812541,0.8511477421,9.2643822576
735,7.350000,0.5117462249,0.8001172729,9.3738445935
756,7.560000,0.4945707398,0.7535705769,9.4795744534
777,7.770000,0.4784508970,0.7109953398,9.5818047324
798,7.980000,0.4632945018,0.6719504468,9.6807477056
819,8.190000,0.4490195248,0.6360544535,9.7765973287
840,8.400000,0.4355527856,0.6029761672,9.8695312374
861,8.610000,0.4228288256,0.5724269121,9.9597124899
882,8.820000,0.4107889424,0.5441541444,10.0472910893
903,9.030000,0.3993803598,0.5179361568,10.1324053171
924,9.240000,0.3885555143,0.4935776645,10.2151829048
945,9.450000,0.3782714388,0.4709061111,10.2957420651
966,9.660000,0.3684892297,0.4497685624,10.3741924027
987,9.870000,0.3591735846,0.4300290843,10.4506357199
1008,10.080000,0.3502924013,0.4115665209,10.5251667325
1029,10.290000,0.3418164271,0.3942726040,10.5978737052
1050,10.500000,0.3337189535,0.3780503389,10.6688390189
1071,10.710000,0.3259755481,0.3628126218,10.7381396782
1092,10.920000,0.3185638195,0.3484810507,10.8058477643
1113,11.130000,0.3114632104,0.3349849006,10.8720308433
1134,11.340000,0.3046548152,0.3222602368,10.9367523324
1155,11.550000,0.2981212184,0.3102491449,11.0000718302
1176,11.760000,0.2918463517,0.2988990621,11.0620454152
1197,11.970000,0.2858153672,0.2881621929,11.1227259157
1218,12.180000,0.2800145242,0.2779949979,11.1821631544
1239,12.390000,0.2744310883,0.2683577465,11.2404041709
1260,12.600000,0.2690532420,0.2592141224,11.2974934235
1281,12.810000,0.2638700034,0.2505308769,11.3534729741
1302,13.020000,0.2588711542,0.2422775222,11.4083826557
1323,13.230000,0.2540471749,0.2344260605,11.4622602263
1344,13.440000,0.2493891863,0.2269507426,11.5151415101
1365,13.650000,0.2448888965,0.2198278548,11.5670605261
1386,13.860000,0.2405385535,0.2130355281,11.6180496069
1407,14.070000,0.2363309024,0.2065535681,11.6681395073
1428,14.280000,0.2322591457,0.2003633032,11.7173595053
1449,14.490000,0.2283169086,0.1944474487,11.7657374942
1470,14.700000,0.2244982063,0.1887899845,11.8133000680
1491,14.910000,0.2207974149,0.1833760455,11.8600726006
1512,15.120000,0.2172092447,0.1781918229,11.9060793188
1533,15.330000,0.2137287157,0.1732244750,11.9513433697
1554,15.540000,0.2103511357,0.1684620474,11.9958868839
1575,15.750000,0.2070720792,0.1638933998,12.0397310337
1596,15.960000,0.2038873695,0.1595081401,12.0828960872
1617,16.170000,0.2007930610,0.1552965655,12.1254014587
1638,16.380000,0.1977854238,0.1512496074,12.1672657560
1659,16.590000,0.1948609289,0.1473587830,12.2085068235
1680,16.800000,0.1920162353,0.1436161495,12.2491417841
1701,17.010000,0.1892481772,0.1400142642,12.2891870763
1722,17.220000,0.1865537532,0.1365461465,12.3286584908
1743,17.430000,0.1839301154,0.1332052440,12.3675712033
1764,17.640000,0.1813745599,0.1299854015,12.4059398061
1785,17.850000,0.1788845178,0.1268808320,12.4437783372
1806,18.060000,0.1764575471,0.1238860910,12.4811003083
1827,18.270000,0.1740913247,0.1209960520,12.5179187299
1848,18.480000,0.1717836394,0.1182058848,12.5542461362
1869,18.690000,0.1695323853,0.1155110349,12.5900946076
1890,18.900000,0.1673355556,0.1129072048,12.6254757923
1911,19.110000,0.1651912368,0.1103903369,12.6604009265
1932,19.320000,0.1630976034,0.1079565977,12.6948808533
1953,19.530000,0.1610529129,0.1056023627,12.7289260412
1974,19.740000,0.1590555014,0.1033242032,12.7625466004
1995,19.950000,0.1571037786,0.1011188734,12.7957522991
2000,20.000000,0.1566456483,0.1006041880,12.8035983155
