step,time,max_vorticity,enstrophy,bkm_cumulative
0,0.000000,0.6319199541,0.0273531680,0.0000000000
11,0.022000,0.6316882953,0.0273527770,0.0138999225
22,0.044000,0.6314565851,0.0273523878,0.0277947480
33,0.066000,0.6312248238,0.0273520002,0.0416844753
44,0.088000,0.6309930117,0.0273516144,0.0555691034
55,0.110000,0.6307611491,0.0273512302,0.0694486312
66,0.132000,0.6305292364,0.0273508478,0.0833230574
77,0.154000,0.6302972740,0.0273504670,0.0971923811
88,0.176000,0.6300652621,0.0273500880,0.1110566011
99,0.198000,0.6298332010,0.0273497106,0.1249157163
110,0.220000,0.6296010912,0.0273493350,0.1387697257
121,0.242000,0.6293689329,0.0273489611,0.1526186282
132,0.264000,0.6291367265,0.0273485888,0.1664624228
143,0.286000,0.6289044723,0.0273482183,0.1803011083
154,0.308000,0.6286721706,0.0273478495,0.1941346838
165,0.330000,0.6284398218,0.0273474824,0.2079631481
176,0.352000,0.6282074262,0.0273471170,0.2217865003
187,0.374000,0.6279749841,0.0273467533,0.2356047394
198,0.396000,0.6277424958,0.0273463912,0.2494178642
209,0.418000,0.6275099617,0.0273460309,0.2632258739
220,0.440000,0.6272773821,0.0273456724,0.2770287673
231,0.462000,0.6270447573,0.0273453155,0.2908265436
242,0.484000,0.6268120877,0.0273449603,0.3046192016
253,0.506000,0.6265793736,0.0273446068,0.3184067405
264,0.528000,0.6263466153,0.0273442550,0.3321891592
275,0.550000,0.6261138132,0.0273439049,0.3459664568
286,0.572000,0.6258809675,0.0273435566,0.3597386323
297,0.594000,0.6256480786,0.0273432099,0.3735056848
308,0.616000,0.6254151468,0.0273428649,0.3872676133
319,0.638000,0.6251821725,0.0273425217,0.4010244168
330,0.660000,0.6249491560,0.0273421801,0.4147760945
341,0.682000,0.6247160975,0.0273418403,0.4285226454
352,0.704000,0.6244829975,0.0273415022,0.4422640687
363,0.726000,0.6242498562,0.0273411657,0.4560003633
374,0.748000,0.6240166740,0.0273408310,0.4697315284
385,0.770000,0.6237834512,0.0273404980,0.4834575630
396,0.792000,0.6235501882,0.0273401667,0.4971784664
407,0.814000,0.6233168851,0.0273398371,0.5108942376
418,0.836000,0.6230835425,0.0273395092,0.5246048757
429,0.858000,0.6228501605,0.0273391830,0.5383103799
440,0.880000,0.6226167396,0.0273388585,0.5520107493
451,0.902000,0.6223832800,0.0273385357,0.5657059830
462,0.924000,0.6221497821,0.0273382146,0.5793960803
473,0.946000,0.6219162461,0.0273378952,0.5930810402
484,0.968000,0.6216826725,0.0273375776,0.6067608619
495,0.990000,0.6214490615,0.0273372616,0.6204355447
506,1.012000,0.6212154135,0.0273369474,0.6341050876
517,1.034000,0.6209817287,0.0273366348,0.6477694900
528,1.056000,0.6207480076,0.0273363240,0.6614287508
539,1.078000,0.6205142503,0.0273360148,0.6750828695
550,1.100000,0.6202804573,0.0273357074,0.6887318451
561,1.122000,0.6200466289,0.0273354017,0.7023756770
572,1.144000,0.6198127653,0.0273350977,0.7160143642
583,1.166000,0.6195788670,0.0273347954,0.7296479062
594,1.188000,0.6193449342,0.0273344948,0.7432763020
605,1.210000,0.6191109672,0.0273341959,0.7568995509
616,1.232000,0.6188769664,0.0273338987,0.7705176522
627,1.254000,0.6186429320,0.0273336032,0.7841306052
638,1.276000,0.6184088645,0.0273333094,0.7977384091
649,1.298000,0.6181747640,0.0273330174,0.8113410632
660,1.320000,0.6179406310,0.0273327270,0.8249385667
671,1.342000,0.6177064658,0.0273324384,0.8385309190
682,1.364000,0.6175474780,0.0273321514,0.8521186254
693,1.386000,0.6174207340,0.0273318662,0.8657034024
704,1.408000,0.6172940320,0.0273315827,0.8792853914
715,1.430000,0.6171673722,0.0273313009,0.8928645934
726,1.452000,0.6170407546,0.0273310207,0.9064410094
737,1.474000,0.6169141793,0.0273307423,0.9200146401
748,1.496000,0.6167876466,0.0273304656,0.9335854867
759,1.518000,0.6166611565,0.0273301907,0.9471535499
770,1.540000,0.6165347090,0.0273299174,0.9607188308
781,1.562000,0.6164083044,0.0273296458,0.9742813303
792,1.584000,0.6162819427,0.0273293759,0.9878410493
803,1.606000,0.6161556241,0.0273291078,1.0013979888
814,1.628000,0.6160293486,0.0273288413,1.0149521497
825,1.650000,0.6159031164,0.0273285766,1.0285035329
836,1.672000,0.6157769276,0.0273283135,1.0420521395
847,1.694000,0.6156507823,0.0273280522,1.0555979704
858,1.716000,0.6155246806,0.0273277926,1.0691410265
869,1.738000,0.6153986226,0.0273275347,1.0826813088
880,1.760000,0.6152726084,0.0273272785,1.0962188183
891,1.782000,0.6151466381,0.0273270240,1.1097535559
902,1.804000,0.6150207119,0.0273267712,1.1232855226
913,1.826000,0.6148948298,0.0273265201,1.1368147194
924,1.848000,0.6147689920,0.0273262707,1.1503411472
935,1.870000,0.6146431986,0.0273260231,1.1638648070
946,1.892000,0.6145174496,0.0273257771,1.1773856998
957,1.914000,0.6143917452,0.0273255329,1.1909038265
968,1.936000,0.6142660855,0.0273252903,1.2044191883
979,1.958000,0.6141404705,0.0273250495,1.2179317859
990,1.980000,0.6140149005,0.0273248104,1.2314416205
1000,2.000000,0.6139007850,0.0273245945,1.2437208914
