step,time,max_vorticity,enstrophy,bkm_cumulative
0,0.000000,0.8743314636,0.0283413315,0.0000000000
51,0.051000,0.8746828095,0.0283412033,0.0445996927
102,0.102000,0.8750331220,0.0283410852,0.0892172782
153,0.153000,0.8753823970,0.0283409771,0.1338527037
204,0.204000,0.8757306298,0.0283408792,0.1785059162
255,0.255000,0.8760778160,0.0283407913,0.2231768624
306,0.306000,0.8764239511,0.0283407136,0.2678654889
357,0.357000,0.8767690305,0.0283406459,0.3125717419
408,0.408000,0.8771130496,0.0283405883,0.3572955674
459,0.459000,0.8774560037,0.0283405408,0.4020369113
510,0.510000,0.8777978882,0.0283405034,0.4467957192
561,0.561000,0.8781386984,0.0283404761,0.4915719363
612,0.612000,0.8784784293,0.0283404588,0.5363655078
663,0.663000,0.8788170763,0.0283404517,0.5811763785
714,0.714000,0.8791546344,0.0283404546,0.6260044930
765,0.765000,0.8794910988,0.0283404676,0.6708497956
816,0.816000,0.8798264645,0.0283404907,0.7157122304
867,0.867000,0.8801607265,0.0283405239,0.7605917414
918,0.918000,0.8804938798,0.0283405671,0.8054882720
969,0.969000,0.8808259193,0.0283406205,0.8504017656
1020,1.020000,0.8811568400,0.0283406839,0.8953321653
1071,1.071000,0.8814866366,0.0283407574,0.9402794138
1122,1.122000,0.8818153040,0.0283408410,0.9852434538
1173,1.173000,0.8821428370,0.0283409346,1.0302242274
1224,1.224000,0.8824692303,0.0283410383,1.0752216768
1275,1.275000,0.8827944786,0.0283411521,1.1202357436
1326,1.326000,0.8831185765,0.0283412760,1.1652663694
1377,1.377000,0.8834415187,0.0283414099,1.2103134953
1428,1.428000,0.8837632997,0.0283415539,1.2553770622
1479,1.479000,0.8840839141,0.0283417080,1.3004570108
1530,1.530000,0.8844033563,0.0283418721,1.3455532814
1581,1.581000,0.8847216209,0.0283420463,1.3906658143
1632,1.632000,0.8850387023,0.0283422306,1.4357945490
1683,1.683000,0.8853545948,0.0283424250,1.4809394252
1734,1.734000,0.8856692928,0.0283426294,1.5261003821
1785,1.785000,0.8859827906,0.0283428438,1.5712773585
1836,1.836000,0.8862950825,0.0283430684,1.6164702933
1887,1.887000,0.8866061627,0.0283433030,1.6616791247
1938,1.938000,0.8869160254,0.0283435476,1.7069037907
1989,1.989000,0.8872246648,0.0283438023,1.7521442292
2040,2.040000,0.8875320750,0.0283440671,1.7974003776
2091,2.091000,0.8878382500,0.0283443419,1.8426721731
2142,2.142000,0.8881431841,0.0283446268,1.8879595525
2193,2.193000,0.8884468710,0.0283449218,1.9332624523
2244,2.244000,0.8887493050,0.0283452267,1.9785808089
2295,2.295000,0.8890504798,0.0283455418,2.0239145582
2346,2.346000,0.8893503894,0.0283458669,2.0692636358
2397,2.397000,0.8896490277,0.0283462020,2.1146279770
2448,2.448000,0.8899463885,0.0283465472,2.1600075169
2499,2.499000,0.8902424656,0.0283469024,2.2054021901
