step,time,max_vorticity,enstrophy,bkm_cumulative
0,0.000000,4.0000000000,744.1506403271,0.0000000000
3,0.006000,4.0026573010,744.1484589222,0.0240053164
6,0.012000,4.0053105643,744.1470371583,0.0480265685
9,0.018000,4.0079597795,744.1463749693,0.0720637321
12,0.024000,4.0106049357,744.1464722755,0.0961167829
15,0.030000,4.0132460224,744.1473289830,0.1201856965
18,0.036000,4.0158830290,744.1489449839,0.1442704485
21,0.042000,4.0185159449,744.1513201566,0.1683710143
24,0.048000,4.0211447597,744.1544543654,0.1924873694
27,0.054000,4.0237694628,744.1583474608,0.2166194892
30,0.060000,4.0263900440,744.1629992793,0.2407673490
33,0.066000,4.0290064928,744.1684096435,0.2649309240
36,0.072000,4.0316187990,744.1745783622,0.2891101894
39,0.078000,4.0342269523,744.1815052303,0.3133051204
42,0.084000,4.0368309424,744.1891900287,0.3375156919
45,0.090000,4.0394307593,744.1976325245,0.3617418791
48,0.096000,4.0420263928,744.2068324711,0.3859836568
51,0.102000,4.0446178328,744.2167896077,0.4102409999
54,0.108000,4.0472050694,744.2275036601,0.4345138832
57,0.114000,4.0497880925,744.2389743398,0.4588022815
60,0.120000,4.0523668922,744.2512013449,0.4831061696
63,0.126000,4.0549414587,744.2641843596,0.5074255219
66,0.132000,4.0575117820,744.2779230541,0.5317603132
69,0.138000,4.0600778525,744.2924170850,0.5561105180
72,0.144000,4.0626396605,744.3076660952,0.5804761106
75,0.150000,4.0651971962,744.3236697138,0.6048570655
78,0.156000,4.0677504510,744.3404275561,0.6292533571
81,0.162000,4.0702994145,744.3579392237,0.6536649596
84,0.168000,4.0728440773,744.3762043047,0.6780918474
87,0.174000,4.0753844297,744.3952223731,0.7025339945
90,0.180000,4.0779204624,744.4149929898,0.7269913750
93,0.186000,4.0804521660,744.4355157016,0.7514639631
96,0.192000,4.0829795312,744.4567900418,0.7759517328
99,0.198000,4.0855025487,744.4788155303,0.8004546579
102,0.204000,4.0880212093,744.5015916731,0.8249727125
105,0.210000,4.0905355038,744.5251179629,0.8495058703
108,0.216000,4.0930454232,744.5493938787,0.8740541051
111,0.222000,4.0955509583,744.5744188859,0.8986173907
114,0.228000,4.0980521002,744.6001924367,0.9231957006
117,0.234000,4.1005488398,744.6267139696,0.9477890087
120,0.240000,4.1030411683,744.6539829096,0.9723972883
123,0.246000,4.1055290768,744.6819986683,0.9970205131
126,0.252000,4.1080125566,744.7107606441,1.0216586565
129,0.258000,4.1104915987,744.7402682218,1.0463116919
132,0.264000,4.1129661946,744.7705207728,1.0709795927
135,0.270000,4.1154363357,744.8015176553,1.0956623321
138,0.276000,4.1179020132,744.8332582142,1.1203598835
141,0.282000,4.1203632187,744.8657417811,1.1450722200
144,0.288000,4.1228199437,744.8989676742,1.1697993147
147,0.294000,4.1252721798,744.9329351986,1.1945411408
150,0.300000,4.1277199185,744.9676436462,1.2192976714
153,0.306000,4.1301631515,745.0030922958,1.2440688794
156,0.312000,4.1326018707,745.0392804128,1.2688547377
159,0.318000,4.1350360676,745.0762072497,1.2936552194
162,0.324000,4.1374657343,745.1138720459,1.3184702971
165,0.330000,4.1398908626,745.1522740278,1.3432999438
168,0.336000,4.1423114443,745.1914124085,1.3681441322
171,0.342000,4.1447274716,745.2312863884,1.3930028349
174,0.348000,4.1471389365,745.2718951549,1.4178760247
177,0.354000,4.1495458311,745.3132378823,1.4427636741
180,0.360000,4.1519481476,745.3553137321,1.4676657558
183,0.366000,4.1543458781,745.3981218531,1.4925822422
186,0.372000,4.1567390150,745.4416613811,1.5175131058
189,0.378000,4.1591275506,745.4859314390,1.5424583190
192,0.384000,4.1615114773,745.5309311371,1.5674178542
195,0.390000,4.1638907875,745.5766595731,1.5923916837
198,0.396000,4.1662654738,745.6231158318,1.6173797799
200,0.400000,4.1678460254,745.6544905592,1.6340464228
