step,time,max_vorticity,enstrophy,bkm_cumulative
0,0.000000,4.9956752757,50.4080110889,0.0000000000
21,0.010500,4.9956713379,50.4072775604,0.0524545875
42,0.021000,4.9956482144,50.4058335601,0.1049090376
63,0.031500,4.9956060335,50.4036792023,0.1573631496
84,0.042000,4.9955448834,50.4008146507,0.2098167237
105,0.052500,4.9954648320,50.3972401174,0.2622695612
126,0.063000,4.9953659317,50.3929558632,0.3147214638
147,0.073500,4.9952482153,50.3879621976,0.3671722338
168,0.084000,4.9951116965,50.3822594788,0.4196216739
189,0.094500,4.9949563729,50.3758481134,0.4720695867
210,0.105000,4.9947823027,50.3687285564,0.5245157749
231,0.115500,4.9945893961,50.3609013113,0.5769600409
252,0.126000,4.9943775937,50.3523669301,0.6294021868
273,0.136500,4.9941468585,50.3431260127,0.6818420146
294,0.147000,4.9938972547,50.3331792074,0.7342793252
315,0.157500,4.9936285262,50.3225272104,0.7867139191
336,0.168000,4.9933407143,50.3111707659,0.8391455966
357,0.178500,4.9930337270,50.2991106659,0.8915741556
378,0.189000,4.9927073431,50.2863477502,0.9439993949
399,0.199500,4.9923616962,50.2728829060,0.9964211106
420,0.210000,4.9919963550,50.2587170681,1.0488390991
441,0.220500,4.9916115538,50.2438512183,1.1012531538
462,0.231000,4.9912068055,50.2282863860,1.1536630689
483,0.241500,4.9907822596,50.2120236472,1.2060686346
504,0.252000,4.9903375896,50.1950641249,1.2584696428
525,0.262500,4.9898726110,50.1774089886,1.3108658799
546,0.273000,4.9893874384,50.1590594544,1.3632571345
567,0.283500,4.9890115220,50.1400167846,1.4156433895
588,0.294000,4.9893577865,50.1202822877,1.4680290267
609,0.304500,4.9898801112,50.0998573180,1.5204199126
630,0.315000,4.9903824309,50.0787432754,1.5728161828
651,0.325500,4.9908652383,50.0569416054,1.6252176294
672,0.336000,4.9913281499,50.0344537987,1.6776240464
693,0.346500,4.9917711011,50.0112813911,1.7300352240
714,0.357000,4.9921946522,49.9874259631,1.7824509558
735,0.367500,4.9925981549,49.9628891398,1.8348710347
756,0.378000,4.9929821387,49.9376725906,1.8872952520
777,0.388500,4.9933462121,49.9117780289,1.9397234024
798,0.399000,4.9936907515,49.8852072119,1.9921552770
819,0.409500,4.9940153137,49.8579619406,2.0445906704
840,0.420000,4.9943205733,49.8300440588,2.0970293752
861,0.430500,4.9946060245,49.8014554538,2.1494711849
882,0.441000,4.9948718124,49.7721980552,2.2019158941
903,0.451500,4.9951181277,49.7422738352,2.2543632976
924,0.462000,4.9953451460,49.7116848081,2.3068131908
945,0.472500,4.9955528360,49.6804330301,2.3592653706
966,0.483000,4.9957413647,49.6485205988,2.4117196354
987,0.493500,4.9959111244,49.6159496531,2.4641757855
1008,0.504000,4.9960621384,49.5827223727,2.5166336234
1029,0.514500,4.9961945540,49.5488409780,2.5690929538
1050,0.525000,4.9963088338,49.5143077296,2.6215535837
1071,0.535500,4.9964051574,49.4791249280,2.6740153236
1092,0.546000,4.9964836170,49.4432949133,2.7264779853
1113,0.556500,4.9965446571,49.4068200647,2.7789413837
1134,0.567000,4.9965881052,49.3697028006,2.8314053348
1155,0.577500,4.9966144390,49.3319455776,2.8838696567
1176,0.588000,4.9966232634,49.2935508907,2.9363341675
1197,0.598500,4.9966152036,49.2545212727,2.9887986866
1218,0.609000,4.9965895659,49.2148592936,3.0412630332
1239,0.619500,4.9965469323,49.1745675608,3.0937270257
1260,0.630000,4.9964868847,49.1336487183,3.1461904830
1281,0.640500,4.9964091595,49.0921054463,3.1986532220
1302,0.651000,4.9963140404,49.0499404611,3.2511150584
1323,0.661500,4.9962012981,49.0071565145,3.3035758076
1344,0.672000,4.9960705303,48.9637563934,3.3560352822
1365,0.682500,4.9959215846,48.9197429195,3.4084932931
1386,0.693000,4.9957542847,48.8751189488,3.4609496491
1407,0.703500,4.9955684293,48.8298873714,3.5134041565
1428,0.714000,4.9953637912,48.7840511108,3.5658566194
1449,0.724500,4.9951401161,48.7376131237,3.6183068389
1470,0.735000,4.9948971214,48.6905763996,3.6707546132
1491,0.745500,4.9946344955,48.6429439601,3.7231997376
1512,0.756000,4.9943518958,48.5947188587,3.7756420038
1533,0.766500,4.9940489478,48.5459041807,3.8280812003
1554,0.777000,4.9937252437,48.4965030419,3.8805171122
1575,0.787500,4.9933803407,48.4465185890,3.9329495213
1596,0.798000,4.9930143490,48.3959539989,3.9853782057
1617,0.808500,4.9926268253,48.3448124781,4.0378029372
1638,0.819000,4.9922167828,48.2930972623,4.0902234864
1659,0.829500,4.9917841733,48.2408116162,4.1426396210
1680,0.840000,4.9914477338,48.1879588329,4.1950511891
1701,0.850500,4.9915966388,48.1345422332,4.2474621419
1722,0.861000,4.9917392481,48.0805651656,4.2998746249
1743,0.871500,4.9918739789,48.0260310056,4.3522885680
1764,0.882000,4.9920010947,47.9709431553,4.4047038848
1785,0.892500,4.9921211637,47.9153050429,4.4571205043
1806,0.903000,4.9922325051,47.8591201222,4.5095383402
1827,0.913500,4.9923374048,47.8023918723,4.5619573140
1848,0.924000,4.9924330367,47.7451237971,4.6143773431
1869,0.934500,4.9925218902,47.6873194247,4.6667983409
1890,0.945000,4.9926171889,47.6289823069,4.7192202271
1911,0.955500,4.9930913722,47.5701160191,4.7716450947
1932,0.966000,4.9935468405,47.5107241593,4.8240748479
1953,0.976500,4.9939847958,47.4508103482,4.8765092950
1974,0.987000,4.9944038184,47.3903782282,4.9289482474
1995,0.997500,4.9948033802,47.3294314633,4.9813915024
2000,1.000000,4.9948956150,47.3148448789,4.9938786033
