N,S_N,bulk_contribution,spike_contribution,spike_pct
1000000,3.031454612095634e+01,2.657508095678235e+00,2.765703802527810e+01,91.2336
10000000,3.031454612095634e+01,2.657508095678235e+00,2.765703802527810e+01,91.2336
100000000,3.031454612095634e+01,2.657508095678235e+00,2.765703802527810e+01,91.2336
1000000000,3.031454612261891e+01,2.657508097340805e+00,2.765703802527810e+01,91.2336
10000000000,3.031454612296317e+01,2.657508097685067e+00,2.765703802527810e+01,91.2336
