t,rho
3.297030,0.340501010383
3.306931,0.341357098133
3.316832,0.342185546464
3.326733,0.342986582627
3.336634,0.343760440896
3.346535,0.344507361906
3.356436,0.345227592026
3.366337,0.345921382749
3.376238,0.346588990120
3.386139,0.347230674179
3.396040,0.347846698434
3.405941,0.348437329350
3.415842,0.349002835866
3.425743,0.349543488931
3.435644,0.350059561053
3.445545,0.350551325877
3.455446,0.351019057773
3.465347,0.351463031441
3.475248,0.351883521540
3.485149,0.352280802320
3.495050,0.352655147279
3.504950,0.353006828830
3.514851,0.353336117982
3.524752,0.353643284032
3.534653,0.353928594270
3.544554,0.354192313700
3.554455,0.354434704766
3.564356,0.354656027095
3.574257,0.354856537240
3.584158,0.355036488449
3.594059,0.355196130428
3.603960,0.355335709124
3.613861,0.355455466510
3.623762,0.355555640384
3.633663,0.355636464170
3.643564,0.355698166736
3.653465,0.355740972206
3.663366,0.355765099797
3.673267,0.355770763646
3.683168,0.355758172654
3.693069,0.355727530335
3.702970,0.355679034668
3.712871,0.355612877956
3.722772,0.355529246693
3.732673,0.355428321437
3.742574,0.355310276682
3.752475,0.355175280739
3.762376,0.355023495625
3.772277,0.354855076950
3.782178,0.354670173813
3.792079,0.354468928697
3.801980,0.354251477369
3.811881,0.354017948790
3.821782,0.353768465016
3.831683,0.353503141111
3.841584,0.353222085057
3.851485,0.352925397668
3.861386,0.352613172506
3.871287,0.352285495799
3.881188,0.351942446353
3.891089,0.351584095476
3.900990,0.351210506891
3.910891,0.350821736656
3.920792,0.350417833081
3.930693,0.349998836642
3.940594,0.349564779896
3.950495,0.349115687390
3.960396,0.348651575575
3.970297,0.348172452708
3.980198,0.347678318753
3.990099,0.347169165283
4.000000,0.346644975368
4.009901,0.346105723464
4.019802,0.345551375294
4.029703,0.344981887720
4.039604,0.344397208609
4.049505,0.343797276691
4.059406,0.343182021401
4.069307,0.342551362720
4.079208,0.341905211000
4.089109,0.341243466768
4.099010,0.340566020533
4.108911,0.339872752560
4.118812,0.339163532638
4.128713,0.338438219829
