d,R(d)
786,380
787,1400
788,700
789,738
790,560
791,1040
792,360
793,900
794,500
795,590
796,610
797,1300
798,480
799,1300
800,590
801,840
802,480
803,800
804,400
805,860
806,600
807,840
808,670
809,1330
810,320
811,1290
812,480
813,940
814,560
815,1120
816,440
817,1100
818,560
819,760
820,400
821,1430
822,480
823,1500
824,680
825,360
826,460
827,1100
828,460
829,1310
830,580
831,820
832,485
833,1140
834,540
835,1140
836,320
837,840
838,640
839,1500
840,200
841,1340
842,780
843,1160
844,680
845,1110
846,440
847,800
848,660
849,960
850,620
851,1220
852,460
853,1240
854,620
855,585
856,620
857,1420
858,485
859,1400
860,480
861,620
862,660
863,1360
864,480
865,1040
866,840
867,900
868,600
869,1260
870,330
871,1220
872,660
873,860
874,700
875,900
876,480
877,1460
878,670
879,810
880,500
881,1320
882,520
883,1358
884,758
885,640
886,620
887,1270
888,400
889,1230
890,440
891,620
892,610
893,1180
894,460
895,1160
896,760
897,880
898,860
899,1300
900,440
901,1480
902,460
903,630
904,600
905,1320
906,580
907,1480
908,540
909,940
910,400
911,1310
912,420
913,1220
914,750
915,860
916,760
917,1180
918,440
919,1420
920,565
921,1020
922,580
923,1180
924,200
925,1125
926,640
927,1160
928,780
929,1460
930,280
931,1240
932,580
933,970
934,620
935,960
936,500
937,1420
938,580
939,780
940,660
941,1720
942,620
943,1440
944,780
945,650
946,540
947,1400
948,440
949,1500
950,565
951,920
952,570
953,1340
954,360
955,1150
956,740
957,970
958,680
959,1360
960,480
961,1420
962,620
963,1060
964,660
965,1300
966,300
967,1510
968,520
969,660
970,540
971,1420
972,540
973,1080
974,840
975,720
976,800
977,1240
978,480
979,1120
980,400
981,1060
982,670
983,1610
984,500
985,1180
986,845
987,880
988,740
989,1333
990,360
991,1570
992,780
993,920
994,580
995,1080
996,500
997,1375
998,880
999,960
1000,600
1001,1185
1002,520
1003,1480
1004,600
1005,760
1006,720
1007,1280
1008,520
1009,1240
1010,660
1011,970
1012,530
1013,1510
1014,430
1015,896
1016,720
1017,1100
1018,800
1019,1440
1020,440
1021,1440
1022,698
1023,1020
1024,890
1025,1120
1026,380
1027,1645
1028,580
1029,820
1030,740
1031,1530
1032,600
1033,1520
1034,560
1035,880
1036,795
1037,1420
1038,460
1039,1460
1040,600
1041,900
1042,720
1043,1330
1044,420
1045,1100
1046,620
1047,1110
1048,620
1049,1608
1050,420
1051,1580
1052,860
1053,1015
1054,660
1055,1470
1056,380
1057,1400
1058,870
1059,1020
1060,560
1061,1540
1062,480
1063,1440
1064,700
1065,920
1066,660
1067,1190
1068,500
1069,1570
1070,610
1071,840
1072,850
1073,1400
1074,580
1075,1420
1076,980
1077,1120
1078,540
1079,1640
1080,405
1081,1580
1082,800
1083,1090
1084,680
1085,840
1086,600
1087,1480
1088,640
1089,810
1090,718
1091,1454
1092,400
1093,1498
1094,680
1095,840
1096,750
1097,1540
1098,440
1099,1420
1100,420
1101,1370
1102,780
1103,1600
1104,640
1105,1240
1106,670
1107,945
1108,580
1109,1700
1110,460
1111,1450
1112,820
1113,840
1114,740
1115,1160
1116,620
1117,1620
1118,680
1119,1160
1120,720
1121,1560
1122,460
1123,1640
1124,730
1125,940
1126,940
1127,1130
1128,480
1129,1743
1130,760
1131,815
1132,880
1133,1380
1134,500
1135,1340
1136,800
1137,1020
1138,680
1139,1540
1140,378
1141,1280
1142,660
1143,970
1144,700
1145,1360
1146,640
1147,1680
1148,680
1149,1040
1150,740
1151,1830
1152,660
1153,1490
1154,720
1155,500
1156,856
1157,1480
1158,650
1159,1898
1160,740
1161,970
1162,760
1163,1720
1164,660
1165,1240
1166,780
1167,1040
1168,920
1169,1460
1170,300
1171,1500
1172,960
1173,1138
1174,960
1175,1120
1176,360
1177,1540
1178,780
1179,1130
1180,590
1181,1657
1182,540
1183,1420
1184,680
1185,820
1186,840
1187,1760
1188,500
1189,1500
1190,620
1191,1020
1192,820
1193,1965
1194,480
1195,1320
1196,480
1197,980
1198,840
1199,1510
1200,350
1201,1700
1202,875
1203,1250
1204,580
1205,1295
1206,460
1207,1460
1208,920
1209,980
1210,600
1211,1520
1212,340
1213,1570
1214,770
1215,740
1216,855
1217,1900
1218,380
1219,1760
1220,640
1221,968
1222,700
1223,1630
1224,620
1225,1210
1226,880
1227,1200
1228,1110
1229,1670
1230,440
1231,1520
1232,800
1233,1140
1234,760
1235,1220
1236,600
1237,1740
1238,840
1239,960
1240,700
1241,1797
1242,580
1243,1540
1244,870
1245,1000
1246,820
1247,1390
1248,540
1249,1673
1250,770
1251,1330
1252,880
1253,1520
1254,460
1255,1420
1256,960
1257,1180
1258,805
1259,1975
1260,460
1261,1460
1262,726
1263,1116
1264,800
1265,1160
1266,640
1267,1327
1268,1160
1269,1320
1270,900
1271,1570
1272,640
1273,1660
1274,640
1275,1100
1276,594
1277,1800
1278,620
1279,1740
1280,840
1281,900
1282,760
1283,1653
1284,460
1285,1360
1286,900
1287,980
1288,695
1289,1880
