d,R(d)
221998,3702
221999,9225
222000,2198
222001,8291
222002,3897
222003,5480
222004,4336
222005,6076
222006,2521
222007,8745
222008,4612
222009,5037
222010,3450
222011,8688
222012,2280
222013,7973
222014,4410
222015,4037
222016,4118
222017,8381
222018,2594
222019,7094
222020,3123
222021,5299
222022,4550
222023,8063
222024,2544
222025,6241
222026,3843
222027,5229
222028,4862
222029,8321
222030,2289
222031,8865
222032,4263
222033,5162
222034,3926
222035,6542
222036,2682
222037,7649
222038,4448
222039,6313
222040,2797
222041,8781
222042,2746
222043,9325
222044,4280
222045,4458
222046,3740
222047,7686
222048,2810
222049,9266
222050,3491
222051,5629
222052,4589
222053,6823
222054,2370
222055,7392
222056,4112
222057,5048
222058,3945
222059,9051
222060,2428
222061,7913
222062,4676
222063,5299
222064,4708
222065,6698
222066,2431
222067,8864
222068,3286
222069,5696
222070,2931
222071,8280
222072,2542
222073,8752
222074,4176
222075,4443
222076,4042
222077,8929
222078,2742
222079,7279
222080,3766
222081,6149
222082,3515
222083,8309
222084,2236
222085,6734
222086,4675
222087,5573
222088,4463
222089,7384
222090,2166
222091,8351
222092,4033
222093,5228
222094,4300
222095,7239
222096,2326
222097,8657
222098,4575
222099,5585
222100,3578
222101,7404
222102,2744
222103,7132
222104,4222
222105,4086
222106,4616
222107,8446
222108,2891
222109,8844
222110,2777
222111,5129
222112,4207
222113,9330
222114,2912
222115,6966
222116,4012
222117,5751
222118,4101
222119,8110
222120,2325
222121,7862
222122,3794
222123,5847
222124,3717
222125,7416
222126,3048
222127,8461
222128,4515
222129,5062
222130,3347
222131,6586
222132,3036
222133,7955
222134,4197
222135,4548
222136,4369
222137,8932
222138,2291
222139,8192
222140,3433
222141,5678
222142,4088
222143,8856
222144,2786
222145,5145
222146,4516
222147,5966
222148,3741
222149,8999
222150,2132
222151,8372
222152,3706
222153,6106
222154,4395
222155,7391
222156,2147
222157,7436
222158,4695
222159,5069
222160,3512
222161,9199
222162,3184
222163,8678
222164,4186
222165,4730
222166,3924
222167,7401
222168,3251
222169,8393
222170,3348
222171,5827
222172,4245
222173,6793
222174,3050
222175,7292
222176,4040
222177,5226
222178,4039
222179,8812
222180,1954
222181,9160
222182,4724
222183,5489
222184,3957
222185,7322
222186,2511
222187,7624
222188,4396
222189,5612
222190,3564
222191,8210
222192,2439
222193,8547
222194,3588
222195,4951
222196,4039
222197,8666
222198,2700
222199,9201
222200,3539
222201,5237
222202,4344
222203,8083
222204,2665
222205,6589
222206,4485
222207,5196
222208,3589
222209,7414
222210,2377
222211,7964
222212,4424
222213,6107
222214,3900
222215,5867
222216,2531
222217,8582
222218,4450
222219,6530
222220,3411
222221,8795
222222,2267
222223,8612
222224,3228
222225,4224
222226,3789
222227,8589
222228,2930
222229,7223
222230,3567
222231,5845
222232,4123
222233,8180
222234,2729
222235,6214
222236,3808
222237,5807
222238,4357
222239,8039
222240,2335
222241,7590
222242,4942
222243,5085
222244,3898
222245,6936
222246,3111
222247,9164
222248,4026
222249,5828
222250,2747
222251,9119
222252,2868
222253,8194
222254,4387
222255,4201
222256,4083
222257,7301
222258,2464
222259,7989
222260,3689
222261,5241
222262,4247
222263,8396
222264,2604
222265,7037
222266,3922
222267,5603
222268,4238
222269,8415
222270,1830
222271,7267
222272,4392
222273,5732
222274,3595
222275,6139
222276,2567
222277,8001
222278,3771
222279,5655
222280,3533
222281,7981
222282,3030
222283,8644
222284,4607
222285,4318
222286,4019
222287,8276
222288,2571
222289,9316
222290,3594
222291,6079
222292,3550
222293,8729
222294,2788
222295,6892
222296,4290
222297,5820
222298,4899
222299,6241
222300,1882
222301,8468
222302,4217
222303,6307
222304,4410
222305,6745
222306,2267
222307,8284
222308,4219
222309,5722
222310,2870
222311,9377
222312,2639
222313,7191
222314,4102
222315,3771
222316,4529
222317,8599
222318,2334
222319,8026
222320,2935
222321,5521
222322,4278
222323,8658
222324,2901
222325,7053
222326,3789
222327,4748
222328,4322
222329,8916
222330,2391
222331,8395
222332,3732
222333,5887
222334,3644
222335,6611
222336,3232
222337,9489
222338,4388
222339,5324
222340,3702
222341,6917
222342,2951
222343,7127
222344,4643
222345,4663
222346,4458
222347,9056
222348,2754
222349,8793
222350,3359
222351,5399
222352,4093
222353,8269
222354,2317
222355,5734
222356,4806
222357,5134
222358,4668
222359,8550
222360,2078
222361,8308
222362,3485
222363,5753
222364,3695
222365,5845
222366,2671
222367,8897
222368,4613
222369,5496
222370,3204
222371,8483
222372,2685
222373,8509
222374,4146
222375,4471
222376,3407
222377,7637
222378,2687
222379,8723
222380,3407
222381,5683
222382,4449
222383,7764
222384,2699
222385,6559
222386,4402
222387,5053
222388,4391
222389,8803
222390,1872
222391,7561
222392,4976
222393,5900
222394,3940
222395,7060
222396,2873
222397,7295
222398,3997
222399,6392
222400,3351
222401,8568
222402,2732
222403,8851
222404,3291
222405,4804
222406,4322
222407,8925
222408,2628
222409,7585
222410,3393
222411,3874
222412,4443
222413,8404
222414,2768
222415,7141
222416,4397
222417,5280
222418,3695
222419,8079
222420,2443
222421,8894
222422,3774
222423,5580
222424,4329
222425,5641
222426,2871
222427,8654
222428,4706
222429,5957
222430,3317
222431,8390
222432,2347
222433,8064
222434,4273
222435,5107
222436,4483
222437,9256
222438,2675
222439,8156
222440,3207
222441,5052
222442,4357
222443,8512
222444,2803
222445,6783
222446,3787
222447,5831
222448,4215
222449,8789
222450,2330
222451,8663
222452,4110
222453,4650
222454,4642
222455,7120
222456,2547
222457,8573
222458,4210
222459,5547
222460,3060
222461,9135
222462,2544
222463,8645
222464,3761
222465,5353
222466,3851
222467,7566
222468,2912
222469,7556
222470,3577
222471,5796
222472,4684
222473,8564
222474,2420
222475,6320
222476,3942
222477,6344
222478,4231
222479,7546
222480,2017
222481,7496
222482,4125
222483,5792
222484,4301
222485,7052
222486,2438
222487,8180
222488,3472
222489,5318
222490,3457
222491,8509
222492,2758
222493,9028
222494,3775
222495,3686
222496,4108
222497,8347
222498,2447
222499,8534
222500,3587
222501,5784
222502,3301
222503,8892
222504,2340
222505,6725
222506,4293
222507,5724
222508,3809
222509,6810
222510,2237
222511,8525
222512,4127
222513,4856
222514,3982
222515,6898
222516,2382
222517,8714
222518,4009
222519,5572
222520,3588
222521,7798
222522,3040
222523,8056
222524,4539
222525,4003
222526,4076
222527,8687
222528,2945
222529,8734
222530,2508
222531,5542
222532,4320
222533,8197
222534,2922
222535,7359
222536,4533
222537,4584
222538,4574
222539,8575
222540,2247
222541,8624
222542,4162
222543,5327
222544,3828
222545,6218
222546,2799
222547,7013
222548,4081
222549,5128
222550,3247
222551,8360
222552,2684
222553,9175
222554,4480
222555,4922
222556,4270
222557,8486
222558,2803
222559,8417
222560,3209
222561,6370
222562,4193
222563,7660
222564,2625
222565,6127
222566,4234
222567,6100
222568,3634
222569,8383
222570,2545
222571,8594
222572,3345
222573,4891
222574,3781
222575,5967
222576,2645
222577,9139
222578,4251
222579,5273
222580,3547
222581,8142
222582,2927
222583,8894
222584,4393
222585,3932
222586,3570
222587,8047
222588,2557
222589,8620
222590,3957
222591,5665
222592,4129
222593,7344
222594,2660
222595,7350
222596,3942
222597,5493
222598,4282
222599,7794
222600,2048
222601,9307
222602,4064
222603,5591
222604,4163
222605,6556
222606,2624
222607,6371
222608,4098
222609,5619
222610,3309
222611,8125
222612,2670
222613,8513
222614,3283
222615,4199
222616,4013
222617,8454
222618,2574
222619,8684
222620,3705
222621,5664
222622,4929
222623,7731
222624,2686
222625,5715
222626,4401
222627,5468
222628,4093
222629,8052
222630,1896
222631,8846
222632,4351
222633,5103
222634,3812
222635,5335
222636,2933
222637,8345
222638,3722
222639,5861
222640,3093
222641,8551
222642,2464
222643,8513
222644,4599
222645,4730
222646,4359
222647,8769
222648,3333
222649,6949
222650,3891
222651,4630
222652,4495
222653,8638
222654,2962
222655,7113
222656,3598
222657,5828
222658,4448
222659,8519
222660,2201
222661,8705
222662,3570
222663,5024
222664,3769
222665,6439
222666,2745
222667,8256
222668,4147
222669,5940
222670,3600
222671,8737
222672,3453
222673,8120
222674,4461
222675,4388
222676,4607
222677,6691
222678,2508
222679,8135
222680,3411
222681,6111
222682,4156
222683,8311
222684,2338
222685,7899
222686,4242
222687,5486
222688,4390
222689,8579
222690,2066
222691,7356
222692,4162
222693,5990
222694,4343
222695,6558
222696,2794
222697,7773
222698,3733
222699,5565
222700,3715
222701,9394
222702,2628
222703,8252
222704,4622
222705,3463
222706,3752
222707,8538
222708,2976
222709,8487
222710,3799
222711,5858
222712,3277
222713,7448
222714,2997
222715,6860
222716,4272
222717,4696
222718,4142
222719,7611
222720,2373
222721,9018
222722,4555
222723,5635
222724,3778
222725,6862
222726,2621
222727,8299
222728,4040
222729,4493
222730,3117
222731,8311
222732,2683
222733,6896
222734,3588
222735,4822
222736,4552
222737,8611
222738,2692
222739,8565
222740,2947
222741,5906
222742,4037
222743,8471
222744,2495
222745,7332
222746,4771
222747,4852
222748,4090
222749,8571
222750,1766
222751,8096
222752,3961
222753,5507
222754,3865
222755,6373
222756,2717
222757,8088
222758,4111
222759,5687
222760,3456
222761,6752
222762,3307
222763,8397
222764,4849
222765,4407
222766,4413
222767,8501
222768,2401
222769,8626
222770,3236
222771,5278
222772,3737
222773,8471
222774,3048
222775,5144
222776,4695
222777,5500
222778,3681
222779,9078
222780,2293
222781,8375
222782,3717
222783,5207
222784,4374
222785,7047
222786,2850
222787,8698
222788,3952
222789,4921
222790,3459
222791,8901
222792,3206
222793,9009
222794,3167
222795,4425
222796,3854
222797,8144
222798,3152
222799,9285
222800,3583
222801,5813
222802,4016
222803,7531
222804,2827
222805,6171
222806,4285
222807,4944
222808,4299
222809,8648
222810,1476
222811,7914
222812,4698
222813,5663
222814,4649
222815,6711
222816,2844
222817,8320
222818,4423
222819,5365
222820,3455
222821,9298
222822,3106
222823,8627
222824,3362
222825,4451
222826,3744
222827,7804
222828,3071
222829,8433
222830,3363
222831,4900
222832,3848
222833,8266
222834,2786
222835,6800
222836,4092
222837,5493
222838,3828
222839,8292
222840,2259
222841,9370
222842,4116
222843,6509
222844,3893
222845,6184
222846,2252
222847,8153
222848,4895
222849,5642
222850,3318
222851,7993
222852,2360
222853,9038
222854,3797
222855,4861
222856,4590
222857,8892
222858,2737
222859,6478
222860,2834
222861,6025
222862,4269
222863,7952
222864,2781
222865,6728
222866,3220
222867,6019
222868,4210
222869,7864
222870,1967
222871,7679
222872,3970
222873,5516
222874,4013
222875,7350
222876,2946
222877,8770
222878,4444
222879,5810
222880,3365
222881,8946
222882,2645
222883,8252
222884,4433
222885,4183
222886,4342
222887,7467
222888,3081
222889,8192
222890,3288
222891,5975
222892,4268
222893,8284
222894,2339
222895,7364
222896,4293
222897,5581
222898,4355
222899,8994
222900,2196
222901,7773
222902,4596
222903,5738
222904,3785
222905,6088
222906,3218
222907,8937
222908,3690
222909,5438
222910,3436
222911,8314
222912,2739
222913,9145
222914,4415
222915,3572
222916,4187
222917,8209
222918,3228
222919,8740
222920,3529
222921,5559
222922,3624
222923,8751
222924,2593
222925,7178
222926,4026
222927,5214
222928,4204
222929,7784
222930,2460
222931,8985
222932,4416
222933,5875
222934,3891
222935,6870
222936,2403
222937,7178
222938,4426
222939,5928
222940,3262
222941,9209
222942,3083
222943,7437
222944,4334
222945,4404
222946,4090
222947,8773
222948,2552
222949,8432
222950,2950
222951,5878
222952,3917
222953,8361
222954,3032
222955,6381
222956,3996
222957,4846
222958,4117
222959,8320
222960,2187
222961,8360
222962,4137
222963,5533
222964,3908
222965,6419
222966,2717
222967,9003
222968,4237
222969,5254
222970,3470
222971,7163
222972,2435
222973,7680
222974,4125
222975,4613
222976,3757
222977,8545
222978,2197
222979,8212
222980,3369
222981,5128
222982,4377
222983,8959
222984,2676
222985,5975
222986,4483
222987,6183
222988,4315
222989,7581
222990,2266
222991,8934
222992,3774
222993,5952
222994,4117
222995,6448
222996,3125
222997,8834
222998,4419
222999,4785
223000,3219
223001,8700
223002,2295
223003,7219
223004,4818
223005,4729
223006,3738
223007,8577
223008,2704
223009,8313
223010,3426
223011,5555
223012,4665
223013,7062
223014,2296
223015,6223
223016,4076
223017,5517
223018,4447
223019,8191
223020,2343
223021,8450
223022,3923
223023,5482
223024,4507
223025,6473
223026,3046
223027,7601
223028,3980
223029,5378
223030,3303
223031,8468
223032,2747
223033,8636
223034,3846
223035,4650
223036,4102
223037,8820
223038,2910
223039,8143
223040,3059
223041,4334
223042,4190
223043,8367
223044,3139
223045,6681
223046,4219
223047,5789
223048,3563
223049,8940
223050,2337
223051,8895
223052,4453
223053,5187
223054,3728
223055,5942
223056,2780
223057,8236
223058,4053
223059,5755
223060,3252
223061,8597
223062,2402
223063,8683
223064,4622
223065,4172
223066,4328
223067,8064
223068,2899
223069,7053
223070,2934
223071,5802
223072,4853
223073,7998
223074,2484
223075,6552
223076,3677
223077,5975
223078,4545
223079,8344
223080,1755
223081,9346
223082,4057
223083,4838
223084,3982
223085,7001
223086,2936
223087,9238
223088,4420
223089,5636
223090,2823
223091,7421
223092,2706
223093,8373
223094,4514
223095,4465
223096,4267
223097,7269
223098,2809
223099,8725
223100,3444
223101,5992
223102,4195
223103,8762
223104,2217
223105,7125
223106,4299
223107,5411
223108,3955
223109,7907
223110,2021
223111,7459
223112,3960
223113,4811
223114,4610
223115,7278
223116,2828
223117,8405
223118,3973
223119,5945
223120,3217
223121,8287
223122,3249
223123,7603
223124,3770
223125,3678
223126,4400
223127,9144
223128,3220
223129,9071
223130,3242
223131,6222
223132,3601
223133,7732
223134,3250
223135,6141
223136,3720
223137,5869
223138,3730
223139,8126
223140,2245
223141,8860
223142,3624
223143,6049
223144,4444
223145,6700
223146,1950
223147,8511
223148,4394
223149,6039
223150,3559
223151,9159
223152,3004
223153,6810
223154,4680
223155,4557
223156,4413
223157,7607
223158,3124
223159,7605
223160,2753
223161,5768
223162,4352
223163,8449
223164,2946
223165,7351
223166,4869
223167,4837
223168,3700
223169,7842
223170,2064
223171,7415
223172,4516
223173,5318
223174,3435
223175,6588
223176,2550
223177,8396
223178,4114
223179,5312
223180,3447
223181,7231
223182,3172
223183,7708
223184,3989
223185,4300
223186,4815
223187,8767
223188,1944
223189,8570
223190,3012
223191,5956
223192,4391
223193,7707
223194,2616
223195,6239
223196,4324
223197,4604
223198,4001
223199,8410
223200,2113
223201,7862
223202,3301
223203,5595
223204,4361
223205,7135
223206,2857
223207,8432
223208,4593
223209,5187
223210,2783
223211,8774
223212,2408
223213,8437
223214,4025
223215,4198
223216,3610
223217,8654
223218,2968
223219,9098
223220,3633
223221,5740
223222,4048
223223,5699
223224,2592
223225,6555
223226,4292
223227,5404
223228,4400
223229,8755
223230,2121
223231,7770
223232,4064
223233,5854
223234,4671
223235,7419
223236,2466
223237,7617
223238,3874
223239,6180
223240,3588
223241,8964
223242,2799
223243,8873
223244,3342
223245,3943
223246,4070
223247,9717
223248,2790
223249,7762
223250,3236
223251,5005
223252,4240
223253,8587
223254,2829
223255,6953
223256,3519
223257,6127
223258,3769
223259,9182
223260,2493
223261,7363
223262,3988
223263,5789
223264,4760
223265,6194
223266,2586
223267,8625
223268,4710
223269,5874
223270,3453
223271,8596
223272,2663
223273,8505
223274,4209
223275,4636
223276,3972
223277,9405
223278,2621
223279,7085
223280,3708
223281,5433
223282,4194
223283,8444
223284,2338
223285,7027
223286,3766
223287,6015
223288,4236
223289,7442
223290,2438
223291,8977
223292,4390
223293,4530
223294,3865
223295,5828
223296,2664
223297,8437
223298,4554
223299,5619
223300,2805
223301,8333
223302,3524
223303,7675
223304,4116
223305,4621
223306,4313
223307,6734
223308,2985
223309,8172
223310,3344
223311,5957
223312,4037
223313,8549
223314,2123
223315,7034
223316,4282
223317,5855
223318,4296
223319,8400
223320,2504
223321,7437
223322,4048
223323,5368
223324,3919
223325,6802
223326,2478
223327,7423
223328,3940
223329,5162
223330,3496
223331,8609
223332,3174
223333,7664
223334,4385
223335,3771
223336,4193
223337,8515
223338,2861
223339,9023
223340,3053
223341,5412
223342,3454
223343,8971
223344,2477
223345,6276
223346,4626
223347,5525
223348,4039
223349,7509
223350,2222
223351,8633
223352,3852
223353,5123
223354,3607
223355,6244
223356,2424
223357,8594
223358,4706
223359,5710
223360,3165
223361,9142
223362,2957
223363,6776
223364,3954
223365,4717
223366,3161
223367,9013
223368,2759
223369,8089
223370,2653
223371,6178
223372,4059
223373,8239
223374,2957
223375,7265
223376,4164
223377,4330
223378,3865
223379,7887
223380,2560
223381,9190
223382,4079
223383,5610
223384,3378
223385,6492
223386,2822
223387,8436
223388,3648
223389,5704
223390,3351
223391,7560
223392,2507
223393,8988
223394,4072
223395,4665
223396,4550
223397,7237
223398,2515
223399,7222
223400,3908
223401,5644
223402,4543
223403,9002
223404,2912
223405,5403
223406,4335
223407,5955
223408,4572
223409,9271
223410,1744
223411,9119
223412,4158
223413,5974
223414,4228
223415,7396
223416,3014
223417,8271
223418,4108
223419,5288
223420,3698
223421,7318
223422,3577
223423,8376
223424,4894
223425,4587
223426,3870
223427,8848
223428,2519
223429,8825
223430,3703
223431,5439
223432,4324
223433,7118
223434,3081
223435,5968
223436,4066
223437,6055
223438,4534
223439,7970
223440,1942
223441,8177
223442,4526
223443,5453
223444,4026
223445,5799
223446,2683
223447,6994
223448,3975
223449,5927
223450,3313
223451,8859
223452,3361
223453,8301
223454,3772
223455,4619
223456,4470
223457,8127
223458,2591
223459,8661
223460,3517
223461,4541
223462,4248
223463,8742
223464,2646
223465,5690
223466,4039
223467,5548
223468,3490
223469,8476
223470,2032
223471,8262
223472,4147
223473,5789
223474,3878
223475,6305
223476,2481
223477,8785
223478,4083
223479,5594
223480,3049
223481,8673
223482,2298
223483,8343
223484,4096
223485,5128
223486,4070
223487,7945
223488,2781
223489,7434
223490,3675
223491,4723
223492,4473
223493,8972
223494,2450
223495,7313
223496,3355
223497,5156
223498,3871
223499,7774
223500,2361
223501,8802
223502,4487
223503,4746
223504,4130
223505,6517
223506,2900
223507,8451
223508,4436
223509,4813
223510,3008
223511,8510
223512,2799
223513,8380
223514,3880
223515,4334
223516,4393
223517,6712
223518,3295
223519,8774
223520,3009
223521,5655
223522,3874
223523,9087
223524,2685
223525,7054
223526,4520
223527,5569
223528,4106
223529,8549
223530,2119
223531,6617
223532,3967
223533,5416
223534,5136
223535,5978
223536,3018
223537,8716
223538,4016
223539,5941
223540,3309
223541,8806
223542,2205
223543,7718
223544,4381
223545,3766
223546,4186
223547,9140
223548,3063
223549,8563
223550,3471
223551,5089
223552,3274
223553,8129
223554,2796
223555,6942
223556,4528
223557,5955
223558,4056
223559,7389
223560,2079
223561,7609
223562,4394
223563,6111
223564,3844
223565,6872
223566,2460
223567,8291
223568,5153
223569,5758
223570,3596
223571,8503
223572,2652
223573,7326
223574,4074
223575,3903
223576,4525
223577,8904
223578,3210
223579,7772
223580,3267
223581,6420
223582,4539
223583,7463
223584,2943
223585,6707
223586,3532
223587,4220
223588,4042
223589,8640
223590,1910
223591,8761
223592,4059
223593,5798
223594,3832
223595,6801
223596,2987
223597,7815
223598,4355
223599,6418
223600,2978
223601,6804
223602,3092
223603,8052
223604,4047
223605,4477
223606,3858
223607,8692
223608,2079
223609,8918
223610,3410
223611,5697
223612,4350
223613,7409
223614,2530
223615,6117
223616,4793
223617,5803
223618,4582
223619,7737
223620,2171
223621,8734
223622,3719
223623,5692
223624,4443
223625,6545
223626,2490
223627,8550
223628,3824
223629,4489
223630,2674
223631,8225
223632,2668
223633,8498
223634,4123
223635,4150
223636,3866
223637,8350
223638,2689
223639,8089
223640,3780
223641,5082
223642,4591
223643,7232
223644,2900
223645,6481
223646,3871
223647,5499
223648,4114
223649,7994
223650,2201
223651,8977
223652,3187
223653,5640
223654,4525
223655,6908
223656,3125
223657,7319
223658,4480
223659,5434
223660,3366
223661,8598
223662,3191
223663,8488
223664,4193
223665,4178
223666,4627
223667,8918
223668,2402
223669,7510
223670,3511
223671,5128
223672,4195
223673,8635
223674,2808
223675,7202
223676,4262
223677,5711
223678,3927
223679,8569
223680,1886
223681,8442
223682,4015
223683,5897
223684,4124
223685,4632
223686,2471
223687,7971
223688,4446
223689,5664
223690,3837
223691,7705
223692,2678
223693,8813
223694,4307
223695,5139
223696,3611
223697,8696
223698,2750
223699,7606
223700,3944
223701,5705
223702,4219
223703,7753
223704,2740
223705,7359
223706,3232
223707,5559
223708,3805
223709,8789
223710,2486
223711,8468
223712,4106
223713,5204
223714,3994
223715,6882
223716,2422
223717,8343
223718,3905
223719,5799
223720,2629
223721,7964
223722,2391
223723,8165
223724,4610
223725,4161
223726,4620
223727,7147
223728,2759
223729,7741
223730,3469
223731,6088
223732,4862
223733,8593
223734,2661
223735,6615
223736,4618
223737,5984
223738,3761
223739,7911
223740,1923
223741,7229
223742,4526
223743,4873
223744,4452
223745,7263
223746,2834
223747,8718
223748,3746
223749,6286
223750,3483
223751,8181
223752,2558
223753,8661
223754,4238
223755,3843
223756,4264
223757,8722
223758,2491
223759,8163
223760,3575
223761,5478
223762,3340
223763,8749
223764,2697
223765,7127
223766,4024
223767,5264
223768,4844
223769,8077
223770,2582
223771,8042
223772,4008
223773,5213
223774,4405
223775,6844
223776,2894
223777,8525
223778,4388
223779,6042
223780,3449
223781,8303
223782,2181
223783,7899
223784,4674
223785,4246
223786,4315
223787,8851
223788,3097
223789,7513
223790,3122
223791,5640
223792,4324
223793,8321
223794,2991
223795,5105
223796,3743
223797,5394
223798,4450
223799,8235
223800,2303
223801,7893
223802,4107
223803,5207
223804,3467
223805,6976
223806,2615
223807,8248
223808,3902
223809,5481
223810,3265
223811,6742
223812,2736
223813,8159
223814,4155
223815,4307
223816,4259
223817,8589
223818,2279
223819,8013
223820,3384
223821,5146
223822,3609
223823,8511
223824,2517
223825,5915
223826,4347
223827,6090
223828,3868
223829,8566
223830,2114
223831,8712
223832,3713
223833,5664
223834,4629
223835,6598
223836,2858
223837,8897
223838,3614
223839,3974
223840,2860
223841,8267
223842,3186
223843,8142
223844,4459
223845,4743
223846,3665
223847,7696
223848,2908
223849,8523
223850,3227
223851,4645
223852,4284
223853,7350
223854,2740
223855,7624
223856,4186
223857,5969
223858,3786
223859,8583
223860,1894
223861,7857
223862,4524
223863,5878
223864,4022
223865,7597
223866,2782
223867,7687
223868,4211
223869,5995
223870,3738
223871,8775
223872,2542
223873,7571
223874,3541
223875,4683
223876,4284
223877,7968
223878,2791
223879,8608
223880,3461
223881,5409
223882,3731
223883,7528
223884,3117
223885,6811
223886,3638
223887,5349
223888,3801
223889,8199
223890,2425
223891,9328
223892,4453
223893,5822
223894,4171
223895,5638
223896,2823
223897,8831
223898,5027
223899,4820
223900,3781
223901,8305
223902,2818
223903,8529
223904,4109
223905,3890
223906,4683
223907,8172
223908,2952
223909,7146
223910,3184
223911,6134
223912,4058
223913,8596
223914,2951
223915,7231
223916,3435
223917,5881
223918,4015
223919,8883
223920,2302
223921,9393
223922,4202
223923,4958
223924,3820
223925,6456
223926,2951
223927,8219
223928,4445
223929,5818
223930,2777
223931,8699
223932,2749
223933,8219
223934,3511
223935,5185
223936,4019
223937,7281
223938,2575
223939,9530
223940,3574
223941,5763
223942,3837
223943,7968
223944,2403
223945,7370
223946,3911
223947,6199
223948,4378
223949,7363
223950,2581
223951,6463
223952,4276
223953,4769
223954,4045
223955,7330
223956,2484
223957,8183
223958,3576
223959,5849
223960,2931
223961,8999
223962,3015
223963,8329
223964,3973
223965,3526
223966,4343
223967,8105
223968,3030
223969,9029
223970,3383
223971,5536
223972,3815
223973,8958
223974,2797
223975,5867
223976,4608
223977,5828
223978,4738
223979,7875
223980,2300
223981,8696
223982,3654
223983,5734
223984,3850
223985,8022
223986,2621
223987,8828
223988,4536
223989,5929
223990,2769
223991,7958
223992,2896
223993,6727
223994,4103
223995,4513
223996,4169
223997,8865
223998,2268
223999,9140
224000,2505
224001,6193
224002,3918
224003,8178
224004,2566
224005,6844
224006,3941
224007,5077
224008,4043
224009,7719
224010,2346
224011,8333
224012,4607
224013,5584
224014,3657
224015,6550
224016,2874
224017,9171
224018,4303
224019,6058
224020,3547
224021,7574
224022,3089
224023,9143
224024,3979
224025,4277
224026,4094
224027,8950
224028,2247
224029,7676
224030,3304
224031,5062
224032,3950
224033,8644
224034,2648
224035,6172
224036,4384
224037,4775
224038,4102
224039,8313
224040,2311
224041,8462
224042,3572
224043,5098
224044,4443
224045,7154
224046,2827
224047,8802
224048,3909
224049,5011
224050,3216
224051,8343
224052,2454
224053,8273
224054,4608
224055,4064
224056,4173
224057,8964
224058,2667
224059,8123
224060,3281
224061,6036
224062,4539
224063,7529
224064,2864
224065,7235
224066,4611
224067,6241
224068,4048
224069,8471
224070,2065
224071,8704
224072,3943
224073,5775
224074,4193
224075,6848
224076,2899
224077,6696
224078,4875
224079,5567
224080,3535
224081,6997
224082,2853
224083,8141
224084,3704
224085,4233
224086,4798
224087,9207
224088,2925
224089,8470
224090,3678
224091,5262
224092,4255
224093,9583
224094,2651
224095,6817
224096,4286
224097,5424
224098,4095
224099,8624
224100,2324
224101,8358
224102,4024
224103,5577
224104,4098
224105,6099
224106,2565
224107,8172
224108,4023
224109,5995
224110,3361
224111,8589
224112,2144
224113,8908
224114,3900
224115,5412
224116,4104
224117,8434
224118,3250
224119,7759
224120,3418
224121,5759
224122,4595
224123,7967
224124,2306
224125,6264
224126,3999
224127,5597
224128,4208
224129,8823
224130,2349
224131,8440
224132,4610
224133,4575
224134,4132
224135,6675
224136,2776
224137,8649
224138,4121
224139,5913
224140,2929
224141,8036
224142,3132
224143,8779
224144,4368
224145,4100
224146,3951
224147,5821
224148,3004
224149,8870
224150,3870
224151,5944
224152,4411
224153,9133
224154,2438
224155,6573
224156,4440
224157,6373
224158,3802
224159,8118
224160,2258
224161,7067
224162,3720
224163,6161
224164,4385
224165,6803
224166,2787
224167,7868
224168,3621
224169,5690
224170,3633
224171,7910
224172,2875
224173,8071
224174,4420
224175,4006
224176,4396
224177,8660
224178,2768
224179,8205
224180,3334
224181,4547
224182,3709
224183,8318
224184,2795
224185,6435
224186,4508
224187,5923
224188,4307
224189,7410
224190,1732
224191,8262
224192,4226
224193,6182
224194,3921
224195,6262
224196,2371
224197,9173
224198,4480
224199,5037
224200,3227
224201,8423
224202,2364
224203,7964
224204,4521
224205,4762
224206,4546
224207,8306
224208,2721
224209,8555
224210,3073
224211,5178
224212,4167
224213,7111
224214,2806
224215,6710
224216,4194
224217,5148
224218,4284
224219,7846
224220,2121
224221,9012
224222,3836
224223,5940
224224,3055
224225,6804
224226,2585
224227,8779
224228,4341
224229,5782
224230,3388
224231,7024
224232,2574
224233,8722
224234,4441
224235,4319
224236,4320
224237,8323
224238,2420
224239,8734
224240,3704
224241,5869
224242,4330
224243,8510
224244,3689
224245,5625
224246,3760
224247,5280
224248,3963
224249,8375
224250,2384
224251,9158
224252,3514
224253,5903
224254,3914
224255,7672
224256,3015
224257,7001
224258,4839
224259,4499
224260,3610
224261,8890
224262,2690
224263,8039
224264,3785
224265,4436
224266,3961
224267,9044
224268,2767
224269,9038
224270,3579
224271,6160
224272,4333
224273,7234
224274,2758
224275,7329
224276,3621
224277,5687
224278,4875
224279,8894
224280,1934
224281,8385
224282,4391
224283,5550
224284,4700
224285,6170
224286,2704
224287,7065
224288,4091
224289,5373
224290,3324
224291,8644
224292,2685
224293,7919
224294,3787
224295,3821
224296,3982
224297,9154
224298,2594
224299,8398
224300,3433
224301,4228
224302,4101
224303,9008
224304,2795
224305,7219
224306,4007
224307,5607
224308,3419
224309,8658
224310,2234
224311,8540
224312,3989
224313,5395
224314,4397
224315,4716
224316,2946
224317,9269
224318,4436
224319,5672
224320,3823
224321,9332
224322,2549
224323,7594
224324,4045
224325,4322
224326,4674
224327,8355
224328,2831
224329,7722
