d,alpha,ratio,a1,a2,max_digit
199,34,0.17085427,5,1,5
200,53,0.26500000,3,1,3
201,37,0.18407960,5,2,5
202,35,0.17326733,5,1,5
203,36,0.17733990,5,1,5
204,35,0.17156863,5,1,5
205,36,0.17560976,5,1,5
206,37,0.17961165,5,1,5
207,38,0.18357488,5,2,5
208,37,0.17788462,5,1,5
209,37,0.17703349,5,1,5
210,59,0.28095238,3,1,3
211,37,0.17535545,5,1,5
212,37,0.17452830,5,1,5
213,44,0.20657277,4,1,5
214,37,0.17289720,5,1,5
215,37,0.17209302,5,1,5
216,37,0.17129630,5,1,5
217,38,0.17511521,5,1,5
218,39,0.17889908,5,1,5
219,38,0.17351598,5,1,5
220,39,0.17727273,5,1,5
221,38,0.17194570,5,1,5
222,41,0.18468468,5,2,5
223,39,0.17488789,5,1,5
224,43,0.19196429,5,4,5
225,43,0.19111111,5,4,5
226,47,0.20796460,4,1,4
227,39,0.17180617,5,1,5
228,41,0.17982456,5,1,5
229,40,0.17467249,5,1,5
230,41,0.17826087,5,1,5
231,40,0.17316017,5,1,5
232,49,0.21120690,4,1,4
233,40,0.17167382,5,1,5
234,41,0.17521368,5,1,5
235,41,0.17446809,5,1,5
236,49,0.20762712,4,1,4
237,41,0.17299578,5,1,5
238,45,0.18907563,5,3,5
239,41,0.17154812,5,1,5
240,41,0.17083333,5,1,5
241,42,0.17427386,5,1,5
242,43,0.17768595,5,1,5
243,46,0.18930041,5,3,5
244,45,0.18442623,5,2,5
245,43,0.17551020,5,1,5
246,43,0.17479675,5,1,5
247,44,0.17813765,5,1,5
248,43,0.17338710,5,1,5
249,43,0.17269076,5,1,5
250,43,0.17200000,5,1,5
251,44,0.17529880,5,1,5
252,47,0.18650794,5,2,5
253,45,0.17786561,5,1,5
254,45,0.17716535,5,1,5
255,46,0.18039216,5,1,5
256,45,0.17578125,5,1,5
257,44,0.17120623,5,1,5
258,49,0.18992248,5,3,5
259,46,0.17760618,5,1,5
260,49,0.18846154,5,3,5
261,47,0.18007663,5,1,5
262,45,0.17175573,5,1,5
263,45,0.17110266,5,1,5
264,47,0.17803030,5,1,5
265,46,0.17358491,5,1,5
266,51,0.19172932,5,4,5
267,49,0.18352060,5,2,5
268,47,0.17537313,5,1,5
269,46,0.17100372,5,1,5
270,59,0.21851852,4,1,4
271,47,0.17343173,5,1,5
272,47,0.17279412,5,1,5
273,47,0.17216117,5,1,5
274,49,0.17883212,5,1,5
275,47,0.17090909,5,1,5
276,49,0.17753623,5,1,5
277,48,0.17328520,5,1,5
278,51,0.18345324,5,2,5
279,49,0.17562724,5,1,5
280,61,0.21785714,4,1,4
281,48,0.17081851,5,1,5
282,59,0.20921986,4,1,5
283,49,0.17314488,5,1,5
284,53,0.18661972,5,2,5
285,49,0.17192982,5,1,5
286,51,0.17832168,5,1,5
287,50,0.17421603,5,1,5
288,53,0.18402778,5,2,5
289,50,0.17301038,5,1,5
290,51,0.17586207,5,1,5
291,50,0.17182131,5,1,5
292,51,0.17465753,5,1,5
293,52,0.17747440,5,1,5
294,53,0.18027211,5,1,5
295,51,0.17288136,5,1,5
296,53,0.17905405,5,1,5
297,56,0.18855219,5,3,5
298,51,0.17114094,5,1,5
299,53,0.17725753,5,1,5
300,71,0.23666667,4,4,4
301,52,0.17275748,5,1,5
302,53,0.17549669,5,1,5
303,52,0.17161716,5,1,5
304,53,0.17434211,5,1,5
305,54,0.17704918,5,1,5
306,53,0.17320261,5,1,5
307,53,0.17263844,5,1,5
308,53,0.17207792,5,1,5
309,55,0.17799353,5,1,5
310,53,0.17096774,5,1,5
311,56,0.18006431,5,1,5
312,73,0.23397436,4,3,5
313,55,0.17571885,5,1,5
314,55,0.17515924,5,1,5
315,67,0.21269841,4,1,5
316,57,0.18037975,5,1,5
317,55,0.17350158,5,1,5
318,55,0.17295597,5,1,5
319,56,0.17554859,5,1,5
320,57,0.17812500,5,1,5
321,56,0.17445483,5,1,5
322,57,0.17701863,5,1,5
323,56,0.17337461,5,1,5
324,61,0.18827160,5,3,5
325,57,0.17538462,5,1,5
326,57,0.17484663,5,1,5
327,56,0.17125382,5,1,5
328,59,0.17987805,5,1,5
329,57,0.17325228,5,1,5
330,59,0.17878788,5,1,5
331,57,0.17220544,5,1,5
332,57,0.17168675,5,1,5
333,59,0.17717718,5,1,5
334,63,0.18862275,5,3,5
335,58,0.17313433,5,1,5
336,59,0.17559524,5,1,5
337,58,0.17210682,5,1,5
338,59,0.17455621,5,1,5
339,58,0.17109145,5,1,5
340,59,0.17352941,5,1,5
341,59,0.17302053,5,1,5
342,61,0.17836257,5,1,5
343,59,0.17201166,5,1,5
344,61,0.17732558,5,1,5
345,59,0.17101449,5,1,5
346,73,0.21098266,4,1,5
347,60,0.17291066,5,1,5
348,61,0.17528736,5,1,5
349,60,0.17191977,5,1,5
350,61,0.17428571,5,1,5
351,67,0.19088319,5,4,5
352,61,0.17329545,5,1,5
353,61,0.17280453,5,1,5
354,73,0.20621469,4,1,5
355,61,0.17183099,5,1,5
356,67,0.18820225,5,3,5
357,61,0.17086835,5,1,5
358,69,0.19273743,5,5,5
359,62,0.17270195,5,1,5
360,101,0.28055556,3,1,3
361,62,0.17174515,5,1,5
362,75,0.20718232,4,1,4
363,65,0.17906336,5,1,5
364,67,0.18406593,5,2,5
365,63,0.17260274,5,1,5
366,65,0.17759563,5,1,5
367,63,0.17166213,5,1,5
368,63,0.17119565,5,1,5
369,64,0.17344173,5,1,5
370,69,0.18648649,5,2,5
371,65,0.17520216,5,1,5
372,65,0.17473118,5,1,5
373,64,0.17158177,5,1,5
374,67,0.17914439,5,1,5
375,71,0.18933333,5,3,5
376,65,0.17287234,5,1,5
377,68,0.18037135,5,1,5
378,65,0.17195767,5,1,5
379,70,0.18469657,5,2,5
380,71,0.18684211,5,2,5
381,67,0.17585302,5,1,5
382,67,0.17539267,5,1,5
383,68,0.17754569,5,1,5
384,67,0.17447917,5,1,5
385,69,0.17922078,5,1,5
386,67,0.17357513,5,1,5
387,68,0.17571059,5,1,5
388,67,0.17268041,5,1,5
389,68,0.17480720,5,1,5
390,67,0.17179487,5,1,5
391,70,0.17902813,5,1,5
392,67,0.17091837,5,1,5
393,70,0.17811705,5,1,5
394,69,0.17512690,5,1,5
395,68,0.17215190,5,1,5
396,71,0.17929293,5,1,5
397,68,0.17128463,5,1,5
398,69,0.17336683,5,1,5
399,71,0.17794486,5,1,5
400,71,0.17750000,5,1,5
401,69,0.17206983,5,1,5
402,83,0.20646766,4,1,5
403,69,0.17121588,5,1,5
404,71,0.17574257,5,1,5
405,71,0.17530864,5,1,5
406,71,0.17487685,5,1,5
407,70,0.17199017,5,1,5
408,73,0.17892157,5,1,5
409,70,0.17114914,5,1,5
410,71,0.17317073,5,1,5
411,71,0.17274939,5,1,5
412,73,0.17718447,5,1,5
413,71,0.17191283,5,1,5
414,91,0.21980676,4,1,4
415,71,0.17108434,5,1,5
416,75,0.18028846,5,1,5
417,74,0.17745803,5,1,5
418,73,0.17464115,5,1,5
419,72,0.17183771,5,1,5
420,89,0.21190476,4,1,4
421,72,0.17102138,5,1,5
422,73,0.17298578,5,1,5
423,76,0.17966903,5,1,5
424,73,0.17216981,5,1,5
425,73,0.17176471,5,1,5
426,79,0.18544601,5,2,5
427,73,0.17096019,5,1,5
428,75,0.17523364,5,1,5
429,76,0.17715618,5,1,5
430,77,0.17906977,5,1,5
431,74,0.17169374,5,1,5
432,77,0.17824074,5,1,5
433,74,0.17090069,5,1,5
434,75,0.17281106,5,1,5
435,76,0.17471264,5,1,5
436,75,0.17201835,5,1,5
437,75,0.17162471,5,1,5
438,77,0.17579909,5,1,5
439,75,0.17084282,5,1,5
440,81,0.18409091,5,2,5
441,79,0.17913832,5,1,5
442,77,0.17420814,5,1,5
443,76,0.17155756,5,1,5
444,77,0.17342342,5,1,5
445,78,0.17528090,5,1,5
446,77,0.17264574,5,1,5
447,80,0.17897092,5,1,5
448,85,0.18973214,5,3,5
449,80,0.17817372,5,1,5
450,77,0.17111111,5,1,5
451,78,0.17294900,5,1,5
452,79,0.17477876,5,1,5
453,79,0.17439294,5,1,5
454,87,0.19162996,5,4,5
455,81,0.17802198,5,1,5
456,79,0.17324561,5,1,5
457,79,0.17286652,5,1,5
458,85,0.18558952,5,2,5
459,79,0.17211329,5,1,5
460,79,0.17173913,5,1,5
461,80,0.17353579,5,1,5
462,79,0.17099567,5,1,5
463,80,0.17278618,5,1,5
464,83,0.17887931,5,1,5
465,86,0.18494624,5,2,5
466,83,0.17811159,5,1,5
467,81,0.17344754,5,1,5
468,83,0.17735043,5,1,5
469,81,0.17270789,5,1,5
470,89,0.18936170,5,3,5
471,85,0.18046709,5,1,5
472,81,0.17161017,5,1,5
473,81,0.17124736,5,1,5
474,83,0.17510549,5,1,5
475,82,0.17263158,5,1,5
476,83,0.17436975,5,1,5
477,85,0.17819706,5,1,5
478,89,0.18619247,5,2,5
479,82,0.17118998,5,1,5
480,83,0.17291667,5,1,5
481,86,0.17879418,5,1,5
482,83,0.17219917,5,1,5
483,86,0.17805383,5,1,5
484,85,0.17561983,5,1,5
485,83,0.17113402,5,1,5
486,85,0.17489712,5,1,5
487,85,0.17453799,5,1,5
488,87,0.17827869,5,1,5
489,86,0.17586912,5,1,5
490,87,0.17755102,5,1,5
491,84,0.17107943,5,1,5
492,85,0.17276423,5,1,5
493,86,0.17444219,5,1,5
494,85,0.17206478,5,1,5
495,89,0.17979798,5,1,5
496,91,0.18346774,5,2,5
497,85,0.17102616,5,1,5
498,113,0.22690763,4,2,5
499,87,0.17434870,5,1,5
500,89,0.17800000,5,1,5
501,86,0.17165669,5,1,5
502,87,0.17330677,5,1,5
503,86,0.17097416,5,1,5
504,95,0.18849206,5,3,5
505,88,0.17425743,5,1,5
506,87,0.17193676,5,1,5
507,88,0.17357002,5,1,5
508,87,0.17125984,5,1,5
509,87,0.17092338,5,1,5
510,89,0.17450980,5,1,5
511,88,0.17221135,5,1,5
512,95,0.18554688,5,2,5
513,89,0.17348928,5,1,5
514,89,0.17315175,5,1,5
515,88,0.17087379,5,1,5
516,107,0.20736434,4,1,4
517,89,0.17214700,5,1,5
518,89,0.17181467,5,1,5
519,91,0.17533719,5,1,5
520,89,0.17115385,5,1,5
521,89,0.17082534,5,1,5
522,91,0.17432950,5,1,5
523,90,0.17208413,5,1,5
524,93,0.17748092,5,1,5
525,92,0.17523810,5,1,5
526,91,0.17300380,5,1,5
527,91,0.17267552,5,1,5
528,95,0.17992424,5,1,5
529,91,0.17202268,5,1,5
530,91,0.17169811,5,1,5
531,92,0.17325800,5,1,5
532,93,0.17481203,5,1,5
533,92,0.17260788,5,1,5
534,95,0.17790262,5,1,5
535,92,0.17196262,5,1,5
536,93,0.17350746,5,1,5
537,100,0.18621974,5,2,5
538,93,0.17286245,5,1,5
539,94,0.17439703,5,1,5
540,97,0.17962963,5,1,5
541,95,0.17560074,5,1,5
542,93,0.17158672,5,1,5
543,98,0.18047882,5,1,5
544,93,0.17095588,5,1,5
545,97,0.17798165,5,1,5
546,97,0.17765568,5,1,5
547,96,0.17550274,5,1,5
548,97,0.17700730,5,1,5
549,94,0.17122040,5,1,5
550,119,0.21636364,4,1,4
551,96,0.17422868,5,1,5
552,95,0.17210145,5,1,5
553,95,0.17179024,5,1,5
554,103,0.18592058,5,2,5
555,97,0.17477477,5,1,5
556,95,0.17086331,5,1,5
557,103,0.18491921,5,2,5
558,115,0.20609319,4,1,5
559,96,0.17173524,5,1,5
560,97,0.17321429,5,1,5
561,97,0.17290553,5,1,5
562,97,0.17259786,5,1,5
563,99,0.17584369,5,1,5
564,97,0.17198582,5,1,5
565,97,0.17168142,5,1,5
566,105,0.18551237,5,2,5
567,101,0.17813051,5,1,5
568,99,0.17429577,5,1,5
569,100,0.17574692,5,1,5
570,109,0.19122807,5,4,5
571,98,0.17162872,5,1,5
572,103,0.18006993,5,1,5
573,100,0.17452007,5,1,5
574,111,0.19337979,5,5,5
575,99,0.17217391,5,1,5
576,101,0.17534722,5,1,5
577,99,0.17157712,5,1,5
578,99,0.17128028,5,1,5
579,100,0.17271157,5,1,5
580,103,0.17758621,5,1,5
581,100,0.17211704,5,1,5
582,101,0.17353952,5,1,5
583,101,0.17324185,5,1,5
584,101,0.17294521,5,1,5
585,101,0.17264957,5,1,5
586,103,0.17576792,5,1,5
587,101,0.17206133,5,1,5
588,101,0.17176871,5,1,5
589,102,0.17317487,5,1,5
590,101,0.17118644,5,1,5
591,101,0.17089679,5,1,5
592,105,0.17736486,5,1,5
593,102,0.17200675,5,1,5
594,103,0.17340067,5,1,5
595,104,0.17478992,5,1,5
596,111,0.18624161,5,2,5
597,104,0.17420436,5,1,5
598,105,0.17558528,5,1,5
599,103,0.17195326,5,1,5
600,103,0.17166667,5,1,5
601,105,0.17470882,5,1,5
602,103,0.17109635,5,1,5
603,106,0.17578773,5,1,5
604,107,0.17715232,5,1,5
605,106,0.17520661,5,1,5
606,109,0.17986799,5,1,5
607,105,0.17298188,5,1,5
608,105,0.17269737,5,1,5
609,109,0.17898194,5,1,5
610,129,0.21147541,4,1,5
611,106,0.17348609,5,1,5
612,107,0.17483660,5,1,5
613,105,0.17128874,5,1,5
614,105,0.17100977,5,1,5
615,113,0.18373984,5,2,5
616,111,0.18019481,5,1,5
617,106,0.17179903,5,1,5
618,107,0.17313916,5,1,5
619,106,0.17124394,5,1,5
620,109,0.17580645,5,1,5
621,109,0.17552335,5,1,5
622,107,0.17202572,5,1,5
623,107,0.17174960,5,1,5
624,109,0.17467949,5,1,5
625,107,0.17120000,5,1,5
626,107,0.17092652,5,1,5
627,113,0.18022329,5,1,5
628,109,0.17356688,5,1,5
629,108,0.17170111,5,1,5
630,109,0.17301587,5,1,5
631,108,0.17115689,5,1,5
632,111,0.17563291,5,1,5
633,109,0.17219589,5,1,5
634,109,0.17192429,5,1,5
635,109,0.17165354,5,1,5
636,113,0.17767296,5,1,5
637,109,0.17111460,5,1,5
638,109,0.17084639,5,1,5
639,110,0.17214397,5,1,5
640,111,0.17343750,5,1,5
641,110,0.17160686,5,1,5
642,121,0.18847352,5,3,5
643,111,0.17262830,5,1,5
644,135,0.20962733,4,1,4
645,113,0.17519380,5,1,5
646,111,0.17182663,5,1,5
647,111,0.17156105,5,1,5
648,113,0.17438272,5,1,5
649,117,0.18027735,5,1,5
650,121,0.18615385,5,2,5
651,113,0.17357911,5,1,5
652,121,0.18558282,5,2,5
653,116,0.17764165,5,1,5
654,113,0.17278287,5,1,5
655,112,0.17099237,5,1,5
656,115,0.17530488,5,1,5
657,113,0.17199391,5,1,5
658,113,0.17173252,5,1,5
659,114,0.17298938,5,1,5
660,113,0.17121212,5,1,5
661,113,0.17095310,5,1,5
662,123,0.18580060,5,2,5
663,115,0.17345400,5,1,5
664,115,0.17319277,5,1,5
665,122,0.18345865,5,2,5
666,115,0.17267267,5,1,5
667,114,0.17091454,5,1,5
668,115,0.17215569,5,1,5
669,116,0.17339312,5,1,5
670,119,0.17761194,5,1,5
671,116,0.17287630,5,1,5
672,115,0.17113095,5,1,5
673,115,0.17087667,5,1,5
674,117,0.17359050,5,1,5
675,118,0.17481481,5,1,5
676,121,0.17899408,5,1,5
677,118,0.17429838,5,1,5
678,119,0.17551622,5,1,5
679,116,0.17083947,5,1,5
680,121,0.17794118,5,1,5
681,118,0.17327460,5,1,5
682,117,0.17155425,5,1,5
683,118,0.17276720,5,1,5
684,127,0.18567251,5,2,5
685,126,0.18394161,5,2,5
686,123,0.17930029,5,1,5
687,118,0.17176128,5,1,5
688,119,0.17296512,5,1,5
689,118,0.17126270,5,1,5
690,121,0.17536232,5,1,5
691,119,0.17221418,5,1,5
692,119,0.17196532,5,1,5
693,125,0.18037518,5,1,5
694,121,0.17435159,5,1,5
695,119,0.17122302,5,1,5
696,119,0.17097701,5,1,5
697,120,0.17216643,5,1,5
698,129,0.18481375,5,2,5
699,122,0.17453505,5,1,5
700,123,0.17571429,5,1,5
701,120,0.17118402,5,1,5
702,131,0.18660969,5,2,5
703,121,0.17211949,5,1,5
704,123,0.17471591,5,1,5
705,121,0.17163121,5,1,5
706,123,0.17422096,5,1,5
707,121,0.17114569,5,1,5
708,121,0.17090395,5,1,5
709,122,0.17207334,5,1,5
710,123,0.17323944,5,1,5
711,122,0.17158931,5,1,5
712,123,0.17275281,5,1,5
713,122,0.17110799,5,1,5
714,127,0.17787115,5,1,5
