subset_mask,subset_digits,cardinality,max_digit_in_subset,dimension
1,{1},1,1,0.000000000000000
2,{2},1,2,0.000000000000000
3,{1,2},2,2,0.531280506277205
4,{3},1,3,0.000000000000000
5,{1,3},2,3,0.454489077661829
6,{2,3},2,3,0.337436780806063
7,{1,2,3},3,3,0.705660908028738
8,{4},1,4,0.000000000000000
9,{1,4},2,4,0.411182724774792
10,{2,4},2,4,0.306312768052784
11,{1,2,4},3,4,0.669221486910286
12,{3,4},2,4,0.263737482897426
13,{1,3,4},3,4,0.604242257756489
14,{2,3,4},3,4,0.480696222317573
15,{1,2,3,4},4,4,0.788945557483154
16,{5},1,5,0.000000000000000
17,{1,5},2,5,0.382631102898852
18,{2,5},2,5,0.285964050689145
19,{1,2,5},3,5,0.646062082871233
20,{3,5},2,5,0.246570505647546
21,{1,3,5},3,5,0.581366821182972
22,{2,3,5},3,5,0.461613684018289
23,{1,2,3,5},4,5,0.770914939938412
24,{4,5},2,5,0.224660480485203
25,{1,4,5},3,5,0.546023546363114
26,{2,4,5},3,5,0.433306422396150
27,{1,2,4,5},4,5,0.740026860682427
28,{3,4,5},3,5,0.388689313381563
29,{1,3,4,5},4,5,0.682111998269430
30,{2,3,4,5},4,5,0.559636450164777
31,{1,2,3,4,5},5,5,0.836829443681209
32,{6},1,6,0.000000000000000
33,{1,6},2,6,0.362020036579795
34,{2,6},2,6,0.271360640966469
35,{1,2,6},3,6,0.629896576338890
36,{3,6},2,6,0.234280182716389
37,{1,3,6},3,6,0.565275219331238
38,{2,3,6},3,6,0.448140106007420
39,{1,2,3,6},4,6,0.758859676661912
40,{4,6},2,6,0.213638357413903
41,{1,4,6},3,6,0.529948626701147
42,{2,4,6},3,6,0.420198994596924
43,{1,2,4,6},4,6,0.727524048629384
44,{3,4,6},3,6,0.376653185869047
45,{1,3,4,6},4,6,0.669391520481867
46,{2,3,4,6},4,6,0.548329753485869
47,{1,2,3,4,6},5,6,0.826908494720741
48,{5,6},2,6,0.200198526657358
49,{1,5,6},3,6,0.507195284603772
50,{2,5,6},3,6,0.402222513697352
51,{1,2,5,6},4,6,0.708205436831438
52,{3,5,6},3,6,0.360402401456406
53,{1,3,5,6},4,6,0.650205514491609
54,{2,3,5,6},4,6,0.531803767072710
55,{1,2,3,5,6},5,6,0.811015836204176
56,{4,5,6},3,6,0.337493394472547
57,{1,4,5,6},4,6,0.619459910001764
58,{2,4,5,6},4,6,0.506137897107818
59,{1,2,4,5,6},5,6,0.783352044463344
60,{3,4,5,6},4,6,0.462729378222733
61,{1,3,4,5,6},5,6,0.729955727338289
62,{2,3,4,5,6},5,6,0.609479130090469
63,{1,2,3,4,5,6},6,6,0.867619173240111
64,{7},1,7,0.000000000000000
65,{1,7},2,7,0.346238243533958
66,{2,7},2,7,0.260223877422179
67,{1,2,7},3,7,0.617903695463376
68,{3,7},2,7,0.224923947191779
69,{1,3,7},3,7,0.553242250567311
