k_index,K,mean_lyapunov,std_lyapunov,min_lyapunov,max_lyapunov,fraction_positive
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.000000
1,0.0097847358,0.0002248078,0.0000591153,-0.0002737435,0.0004954561,0.996338
2,0.0195694716,0.0002595101,0.0000580666,-0.0001013707,0.0006062755,0.996338
3,0.0293542074,0.0002772904,0.0000585564,-0.0001976112,0.0005799430,0.997314
4,0.0391389432,0.0002914385,0.0000585510,-0.0000881853,0.0006052092,0.998779
5,0.0489236791,0.0002993009,0.0000611459,-0.0002778757,0.0006293848,0.998291
6,0.0587084149,0.0003085253,0.0000610549,-0.0001494368,0.0006440458,0.997314
7,0.0684931507,0.0003166327,0.0000605201,-0.0001023783,0.0005910878,0.998535
8,0.0782778865,0.0003206949,0.0000609001,-0.0001531789,0.0006630877,0.999268
9,0.0880626223,0.0003264927,0.0000610726,-0.0000853604,0.0006217574,0.999023
10,0.0978473581,0.0003326479,0.0000590775,-0.0000626756,0.0005738593,0.998535
11,0.1076320939,0.0003353380,0.0000620790,-0.0001832901,0.0006133119,0.998047
12,0.1174168297,0.0003400029,0.0000625092,-0.0000572521,0.0006749205,0.998535
13,0.1272015656,0.0003425022,0.0000622515,-0.0000780375,0.0007139093,0.999512
14,0.1369863014,0.0003444591,0.0000633939,-0.0001248438,0.0006330689,0.999512
15,0.1467710372,0.0003472019,0.0000653697,-0.0001547673,0.0006816145,0.997803
16,0.1565557730,0.0003510475,0.0000653717,-0.0000537896,0.0006374729,0.998779
17,0.1663405088,0.0003553467,0.0000627626,-0.0000917313,0.0006225680,0.999268
18,0.1761252446,0.0003579218,0.0000618316,-0.0001007064,0.0007148927,0.999756
19,0.1859099804,0.0003586744,0.0000655574,-0.0001260133,0.0006173867,0.999268
20,0.1956947162,0.0003603728,0.0000654063,-0.0001289827,0.0006201722,0.998779
21,0.2054794521,0.0003626873,0.0000658195,-0.0000653027,0.0006408347,0.999268
