k_index,K,mean_lyapunov,std_lyapunov,min_lyapunov,max_lyapunov,fraction_positive
22,0.2152641879,0.0003707651,0.0004625832,-0.0001235634,0.0296595500,0.998779
23,0.2250489237,0.0003700634,0.0002672544,-0.0000764350,0.0169446033,0.999023
24,0.2348336595,0.0003669599,0.0000682839,-0.0000875860,0.0006340536,0.998535
25,0.2446183953,0.0003782616,0.0006719538,-0.0000894719,0.0431537481,0.999023
26,0.2544031311,0.0003858987,0.0006509701,-0.0000995077,0.0343097312,0.999023
27,0.2641878669,0.0003717049,0.0000679474,-0.0000509262,0.0008898966,0.999756
28,0.2739726027,0.0003916916,0.0008236984,-0.0000680124,0.0464603603,0.999512
29,0.2837573386,0.0003848745,0.0005432143,-0.0001371804,0.0336619783,0.999268
30,0.2935420744,0.0003761619,0.0000786338,-0.0000309550,0.0028375796,0.999756
31,0.3033268102,0.0004172707,0.0012777146,-0.0001046486,0.0539055343,0.999512
32,0.3131115460,0.0004068761,0.0010590637,-0.0000290382,0.0520615768,0.999512
33,0.3228962818,0.0004088700,0.0011709871,-0.0000978758,0.0526558268,0.999023
34,0.3326810176,0.0003962883,0.0008357116,-0.0000556442,0.0519742021,0.998535
35,0.3424657534,0.0005010812,0.0026156627,-0.0000458014,0.0736626884,0.999512
36,0.3522504892,0.0004419424,0.0017499707,-0.0001007100,0.0637100210,0.999268
37,0.3620352250,0.0004328245,0.0016334670,-0.0000418044,0.0712324694,0.999023
38,0.3718199609,0.0004172931,0.0011169591,-0.0000230059,0.0447839494,0.999512
39,0.3816046967,0.0005124767,0.0027080573,0.0000121440,0.0748249554,1.000000
40,0.3913894325,0.0005821164,0.0034887628,-0.0001309884,0.0808672499,0.998291
41,0.4011741683,0.0005454795,0.0031557470,-0.0000820871,0.0793670847,0.999023
42,0.4109589041,0.0008061526,0.0050325688,-0.0003988111,0.0744429078,0.999023
43,0.4207436399,0.0005907433,0.0034194428,-0.0001488217,0.0892444330,0.998779
44,0.4305283757,0.0006654447,0.0040261119,-0.0000855771,0.0793188731,0.999512
45,0.4403131115,0.0007144075,0.0045818733,-0.0000556632,0.0809348836,0.999268
46,0.4500978474,0.0008187703,0.0052742608,-0.0001597038,0.0918837750,0.998535
47,0.4598825832,0.0007849949,0.0052500497,-0.0001282638,0.0879938210,0.999268
48,0.4696673190,0.0010190801,0.0065933585,-0.0000422772,0.0968005632,0.999512
49,0.4794520548,0.0011995532,0.0073321316,-0.0001769669,0.0922302706,0.998047
50,0.4892367906,0.0010383919,0.0066367631,-0.0001328374,0.0985767115,0.999023
51,0.4990215264,0.0015687458,0.0091345812,-0.0001297576,0.0984447003,0.998779
52,0.5088062622,0.0014110151,0.0086575335,-0.0000474285,0.1097281247,0.999268
53,0.5185909980,0.0015726408,0.0095584399,-0.0000532414,0.1131134738,0.999512
54,0.5283757339,0.0017491674,0.0100835369,-0.0000637311,0.1054927387,0.999023
55,0.5381604697,0.0017763627,0.0103953901,-0.0001326156,0.1091952433,0.998291
56,0.5479452055,0.0017034583,0.0100207366,-0.0000548597,0.1055269074,0.999268
57,0.5577299413,0.0021939866,0.0120249937,-0.0001284825,0.1184177050,0.999512
58,0.5675146771,0.0023678853,0.0127613333,-0.0002453567,0.1199596390,0.999268
59,0.5772994129,0.0029698433,0.0143950858,-0.0000557219,0.1262839290,0.999268
60,0.5870841487,0.0024802984,0.0132049707,-0.0000660284,0.1226914629,0.998535
61,0.5968688845,0.0031797695,0.0151369009,-0.0000321387,0.1164034889,0.999268
62,0.6066536204,0.0037071041,0.0167541428,-0.0000685999,0.1241748553,0.998779
63,0.6164383562,0.0033544102,0.0160887153,-0.0000401414,0.1263614062,0.999023
64,0.6262230920,0.0038544267,0.0173836256,-0.0000230936,0.1297542171,0.999512
65,0.6360078278,0.0042953415,0.0188468556,-0.0001121047,0.1286491846,0.997803
66,0.6457925636,0.0046707818,0.0197752917,-0.0000707730,0.1342338427,0.997559
67,0.6555772994,0.0048479478,0.0199154132,-0.0000719972,0.1309543838,0.999023
68,0.6653620352,0.0050637072,0.0203931176,-0.0000629833,0.1326667138,0.998291
69,0.6751467710,0.0065904027,0.0237764541,-0.0000343180,0.1399795865,0.998779
70,0.6849315068,0.0055783174,0.0217237666,-0.0001410266,0.1423467245,0.998779
71,0.6947162427,0.0065197758,0.0238667577,-0.0002117887,0.1379221393,0.999023
72,0.7045009785,0.0074166402,0.0253984084,-0.0001204899,0.1442917281,0.996826
73,0.7142857143,0.0083854877,0.0274833255,-0.0000992960,0.1454151597,0.999512
74,0.7240704501,0.0085425029,0.0279630809,-0.0002085851,0.1547038824,0.997559
75,0.7338551859,0.0084251805,0.0277174056,-0.0002424405,0.1467969751,0.998291
76,0.7436399217,0.0098575297,0.0302066686,-0.0000866222,0.1499664635,0.999268
77,0.7534246575,0.0106520101,0.0314329209,-0.0001110814,0.1590097245,0.998535
78,0.7632093933,0.0114101299,0.0324831311,-0.0001174075,0.1549229406,0.999268
79,0.7729941292,0.0122490233,0.0338817015,-0.0001442205,0.1595133044,0.998535
80,0.7827788650,0.0130929157,0.0349483048,-0.0001391669,0.1631996178,0.998291
81,0.7925636008,0.0136264431,0.0356398050,-0.0001304295,0.1630783224,0.998047
82,0.8023483366,0.0141999903,0.0364083123,-0.0001784706,0.1655119204,0.998535
83,0.8121330724,0.0141553143,0.0365494134,-0.0001629244,0.1582276594,0.998779
84,0.8219178082,0.0162673343,0.0385245190,-0.0001278014,0.1680111777,0.998535
85,0.8317025440,0.0184731430,0.0417055229,-0.0001409554,0.1650005301,0.998047
86,0.8414872798,0.0187554917,0.0414933159,-0.0000620834,0.1794272621,0.998779
87,0.8512720157,0.0200187779,0.0426631793,-0.0001001264,0.1699746319,0.998291
88,0.8610567515,0.0223694610,0.0458966313,-0.0001377229,0.1694915272,0.998047
89,0.8708414873,0.0238359468,0.0473845213,-0.0000948503,0.1753012296,0.997803
90,0.8806262231,0.0245116534,0.0470114008,-0.0000835541,0.1829993676,0.998779
91,0.8904109589,0.0255701473,0.0475056597,-0.0000927553,0.1766374671,0.999512
92,0.9001956947,0.0271668696,0.0493312021,-0.0001142225,0.1831592130,0.998291
93,0.9099804305,0.0295963821,0.0508328352,-0.0000906789,0.1801279715,0.998291
94,0.9197651663,0.0311529388,0.0511260728,-0.0002730989,0.1887802504,0.998047
95,0.9295499022,0.0338102586,0.0528137201,-0.0001060517,0.1856859328,0.997803
96,0.9393346380,0.0363235691,0.0541322604,-0.0000822525,0.1883816618,0.998535
97,0.9491193738,0.0372491970,0.0547419971,-0.0000391070,0.1861482536,0.998779
98,0.9589041096,0.0402058009,0.0564025200,-0.0000404919,0.1897125847,0.999512
99,0.9686888454,0.0434667063,0.0586102025,-0.0000310851,0.1940415529,0.998047
100,0.9784735812,0.0458512374,0.0593142038,-0.0001323148,0.1894070697,0.997559
101,0.9882583170,0.0480849660,0.0609030315,-0.0000629974,0.1866496403,0.999268
102,0.9980430528,0.0494516557,0.0618162941,-0.0000872599,0.1996034398,0.999268
103,1.0078277886,0.0542843141,0.0636823491,-0.0000679420,0.2077067615,0.999023
104,1.0176125245,0.0552380449,0.0640660610,-0.0000827252,0.1983694085,0.998291
105,1.0273972603,0.0587605327,0.0664655020,-0.0000637357,0.2027859159,0.998779
106,1.0371819961,0.0595016594,0.0668591521,-0.0000985931,0.2030542235,0.998535
107,1.0469667319,0.0647064963,0.0679706411,-0.0000957965,0.2076370949,0.999268
108,1.0567514677,0.0691729103,0.0696430255,-0.0000850769,0.2085997425,0.999023
109,1.0665362035,0.0698025072,0.0697406233,-0.0000856643,0.2080320707,0.998779
110,1.0763209393,0.0724794001,0.0711133335,-0.0000511929,0.2244426528,0.998779
111,1.0861056751,0.0762735622,0.0721756921,-0.0000824380,0.2140126693,0.999268
112,1.0958904110,0.0771146878,0.0741384657,-0.0000459991,0.2153874027,0.998291
113,1.1056751468,0.0816848994,0.0756636818,-0.0001840510,0.2179955325,0.999756
114,1.1154598826,0.0851395224,0.0774355804,0.0000022206,0.2216515326,1.000000
115,1.1252446184,0.0874280109,0.0786357336,-0.0000756458,0.2196802491,0.998779
116,1.1350293542,0.0886495788,0.0813407719,-0.0000278342,0.2243464627,0.999268
117,1.1448140900,0.0936380106,0.0817262947,-0.0000608642,0.2174243581,0.999023
118,1.1545988258,0.0981648798,0.0835929920,-0.0001319797,0.2274431727,0.999756
119,1.1643835616,0.0985322275,0.0846281737,-0.0000350190,0.2193786574,0.999023
120,1.1741682975,0.1008518265,0.0863275231,-0.0000931086,0.2294947503,0.999268
121,1.1839530333,0.1042176755,0.0885220846,-0.0001440738,0.2432869045,0.998779
122,1.1937377691,0.1071287982,0.0906379878,-0.0000440123,0.2315014353,0.999268
123,1.2035225049,0.1093244326,0.0927809914,-0.0000920684,0.2363170998,0.999512
124,1.2133072407,0.1108414382,0.0952157715,-0.0000593296,0.2362817372,0.999268
125,1.2230919765,0.1175039424,0.0962487675,0.0000177700,0.2430184139,1.000000
126,1.2328767123,0.1177420502,0.0985863208,-0.0000716062,0.2495537180,0.999268
127,1.2426614481,0.1214218007,0.1002123981,-0.0000665850,0.2477720850,0.999756
128,1.2524461840,0.1255722382,0.1006736704,-0.0000836700,0.2610227701,0.999268
129,1.2622309198,0.1286162505,0.1013684328,-0.0001804298,0.2573471089,0.998779
130,1.2720156556,0.1311216095,0.1036348958,-0.0000732541,0.2525598624,0.999268
131,1.2818003914,0.1335610971,0.1058995713,-0.0000125365,0.2636148258,0.999023
132,1.2915851272,0.1368728774,0.1081033457,-0.0000428893,0.2612068620,0.999512
133,1.3013698630,0.1407184739,0.1097478604,-0.0001446786,0.2697289443,0.999756
134,1.3111545988,0.1439209551,0.1109266244,-0.0000632026,0.2722909853,0.999756
135,1.3209393346,0.1436150699,0.1129547017,-0.0000270637,0.2740723954,0.999756
136,1.3307240705,0.1485865067,0.1147750354,-0.0000927809,0.2752372334,0.999512
137,1.3405088063,0.1527855140,0.1165326422,-0.0000879578,0.2770482025,0.999512
138,1.3502935421,0.1531245362,0.1191782031,-0.0001332455,0.2783865556,0.999268
139,1.3600782779,0.1579806362,0.1205168112,0.0000167405,0.2842058759,1.000000
140,1.3698630137,0.1581227225,0.1221305599,-0.0000849720,0.2881948839,0.999023
141,1.3796477495,0.1633913184,0.1240623994,-0.0000082661,0.2922594874,0.999756
142,1.3894324853,0.1638011797,0.1252837760,-0.0000606374,0.2930298553,0.999023
143,1.3992172211,0.1669307732,0.1265608675,-0.0000230291,0.2985676243,0.999512
144,1.4090019569,0.1711450837,0.1272890739,0.0000478693,0.3008979033,1.000000
145,1.4187866928,0.1741644471,0.1289705652,-0.0000441777,0.3020739555,0.999268
146,1.4285714286,0.1750138934,0.1309065097,-0.0000337313,0.3118613423,0.999512
147,1.4383561644,0.1768191033,0.1323974056,-0.0000055576,0.3133899049,0.999756
148,1.4481409002,0.1810325611,0.1323772051,-0.0001331165,0.3134604441,0.998291
149,1.4579256360,0.1824074563,0.1335013200,0.0000423776,0.3214305139,1.000000
150,1.4677103718,0.1896055912,0.1335346308,0.0000031422,0.3231066590,1.000000
151,1.4774951076,0.1892358850,0.1350815154,-0.0000724535,0.3252982944,0.999268
152,1.4872798434,0.1893401152,0.1365497156,-0.0000165198,0.3326905455,0.999268
153,1.4970645793,0.1962953925,0.1342887952,-0.0000654798,0.3323587822,0.999756
154,1.5068493151,0.1980493071,0.1344874214,-0.0000794857,0.3368170692,0.999512
155,1.5166340509,0.2000998697,0.1337603669,-0.0000839945,0.3381821669,0.999268
156,1.5264187867,0.2054871120,0.1318092403,-0.0001427040,0.3431249539,0.998535
157,1.5362035225,0.2081384159,0.1321204153,-0.0000615161,0.3483647357,0.999268
158,1.5459882583,0.2071155686,0.1343009047,-0.0000349916,0.3489968852,0.999023
159,1.5557729941,0.2155915581,0.1329928021,-0.0000506397,0.3542796659,0.999756
160,1.5655577299,0.2203510721,0.1329482318,-0.0000061141,0.3573553640,0.999756
161,1.5753424658,0.2240074842,0.1354520637,-0.0000894740,0.3563458361,0.998779
162,1.5851272016,0.2236703193,0.1380820179,-0.0001511891,0.3617136404,0.999512
163,1.5949119374,0.2298625908,0.1386978662,-0.0000598173,0.3698090383,0.999512
164,1.6046966732,0.2322672235,0.1415799131,-0.0000251101,0.3672382476,0.999268
165,1.6144814090,0.2389739546,0.1414739454,-0.0000544209,0.3666316610,0.999512
166,1.6242661448,0.2390832114,0.1444104864,-0.0000255828,0.3754997402,0.999756
167,1.6340508806,0.2429982713,0.1470131965,0.0000139638,0.3784955831,1.000000
168,1.6438356164,0.2417781981,0.1504662217,-0.0001598857,0.3822947575,0.999512
169,1.6536203523,0.2466194934,0.1504039504,0.0000239195,0.3811085925,1.000000
170,1.6634050881,0.2517443335,0.1510431191,-0.0000441837,0.3821295723,0.999756
171,1.6731898239,0.2549087861,0.1536343734,-0.0000139991,0.3891849623,0.999268
172,1.6829745597,0.2552052385,0.1571304181,-0.0000246048,0.3849748971,0.999512
173,1.6927592955,0.2582016561,0.1582807815,0.0000020711,0.3888719201,1.000000
174,1.7025440313,0.2625525929,0.1595198233,-0.0000448151,0.3937445035,0.999756
175,1.7123287671,0.2622905154,0.1614947651,0.0000001608,0.3943607702,1.000000
176,1.7221135029,0.2645783840,0.1635313811,-0.0000773884,0.4036012622,0.999512
177,1.7318982387,0.2720642363,0.1636096823,-0.0000373126,0.4060282427,0.999756
178,1.7416829746,0.2745345897,0.1660404892,-0.0000455291,0.4128628785,0.999268
179,1.7514677104,0.2705147333,0.1709910877,-0.0000469009,0.4112031654,0.999756
180,1.7612524462,0.2770440847,0.1707211257,-0.0001832356,0.4141365063,0.999756
181,1.7710371820,0.2814437931,0.1712557076,-0.0001121044,0.4256061922,0.999512
182,1.7808219178,0.2831386264,0.1730295382,0.0000019886,0.4241685297,1.000000
183,1.7906066536,0.2854399484,0.1722887509,-0.0000211511,0.4272578334,0.999756
184,1.8003913894,0.2878990438,0.1727000662,-0.0000533115,0.4309876061,0.999512
185,1.8101761252,0.2929915225,0.1729229705,-0.0000458298,0.4323106489,0.999756
186,1.8199608611,0.2960050697,0.1750586175,-0.0000461817,0.4338868300,0.999512
187,1.8297455969,0.2941657039,0.1794703660,-0.0001520732,0.4343276191,0.999756
188,1.8395303327,0.2972985977,0.1809377399,-0.0001504831,0.4403306103,0.999756
189,1.8493150685,0.2993956369,0.1825286855,0.0000178844,0.4412910016,1.000000
190,1.8590998043,0.3036536478,0.1823931456,-0.0000513749,0.4493060062,0.999756
191,1.8688845401,0.3013682192,0.1854333945,-0.0001029250,0.4479388227,0.999756
192,1.8786692759,0.3072397974,0.1835380852,-0.0000212043,0.4528626111,0.999756
193,1.8884540117,0.3034572711,0.1864067482,-0.0000336195,0.4590981590,0.999756
194,1.8982387476,0.3100388855,0.1836919001,-0.0000109586,0.4648475771,0.999756
195,1.9080234834,0.3120681241,0.1848117772,-0.0000021530,0.4594847305,0.999756
196,1.9178082192,0.3087271557,0.1901611580,0.0000150819,0.4688166553,1.000000
197,1.9275929550,0.3123196120,0.1906310542,0.0000204935,0.4668884067,1.000000
198,1.9373776908,0.3201390449,0.1894254374,0.0000399911,0.4685309446,1.000000
199,1.9471624266,0.3174136942,0.1927877709,0.0000460678,0.4723454961,1.000000
200,1.9569471624,0.3174242133,0.1951009508,0.0000296124,0.4744058683,1.000000
201,1.9667318982,0.3254231210,0.1935572168,-0.0000011985,0.4781194595,0.999756
202,1.9765166341,0.3240634161,0.1947536583,0.0000207426,0.4835166867,1.000000
203,1.9863013699,0.3338868428,0.1893246944,0.0000248997,0.4803941882,1.000000
204,1.9960861057,0.3317855964,0.1923813414,-0.0000173395,0.4816333145,0.999756
205,2.0058708415,0.3336903410,0.1911584548,-0.0000333942,0.4852164031,0.999756
206,2.0156555773,0.3376616708,0.1903854436,-0.0000206948,0.4892069839,0.999756
207,2.0254403131,0.3364565284,0.1931718217,-0.0000753582,0.4943022039,0.999756
208,2.0352250489,0.3394789223,0.1939602178,0.0000285993,0.4960411772,1.000000
209,2.0450097847,0.3423702370,0.1948754421,0.0000228443,0.5007604450,1.000000
210,2.0547945205,0.3453035874,0.1957894979,-0.0000086084,0.4994749328,0.999756
211,2.0645792564,0.3453365438,0.1975072465,0.0000440797,0.5011762163,1.000000
212,2.0743639922,0.3484085399,0.1975917086,-0.0000357086,0.5074936183,0.999268
213,2.0841487280,0.3516850937,0.1980403877,0.0000293917,0.5075651022,1.000000
214,2.0939334638,0.3541742028,0.1975489394,-0.0000503206,0.5081800986,0.999756
215,2.1037181996,0.3539173764,0.1987202856,-0.0000143430,0.5128017484,0.999512
216,2.1135029354,0.3646042736,0.1963954194,-0.0000591846,0.5125365313,0.999268
217,2.1232876712,0.3637223065,0.1982381983,0.0000320102,0.5220649763,1.000000
218,2.1330724070,0.3634028296,0.2000033107,-0.0000352011,0.5198010140,0.999756
219,2.1428571429,0.3743824911,0.1947295114,0.0000701570,0.5192718540,1.000000
220,2.1526418787,0.3715985100,0.1998335655,-0.0001822725,0.5268325780,0.999512
221,2.1624266145,0.3765673954,0.1997256897,-0.0001578572,0.5272482766,0.999756
222,2.1722113503,0.3773414792,0.2011620370,-0.0000104870,0.5296005223,0.999756
223,2.1819960861,0.3803343990,0.2009079028,-0.0000850126,0.5310127748,0.999512
224,2.1917808219,0.3800804047,0.2018738980,-0.0000441216,0.5420758734,0.999023
225,2.2015655577,0.3821949836,0.2015300839,-0.0000286424,0.5365090696,0.999756
226,2.2113502935,0.3949792462,0.1972476359,-0.0000973341,0.5439265433,0.999268
227,2.2211350294,0.3942413795,0.2003551751,-0.0000171808,0.5409639772,0.999756
228,2.2309197652,0.3896116003,0.2055676270,-0.0000282773,0.5469076188,0.999756
229,2.2407045010,0.3978820969,0.2020098741,-0.0000040617,0.5455619946,0.999756
230,2.2504892368,0.4008879593,0.2005446817,0.0000242736,0.5492262817,1.000000
231,2.2602739726,0.3969052929,0.2033443545,-0.0001156671,0.5470333771,0.999756
232,2.2700587084,0.4012748479,0.2030833692,0.0000235854,0.5543313640,1.000000
233,2.2798434442,0.4061539414,0.2020105903,-0.0000965377,0.5581770504,0.999512
234,2.2896281800,0.4079397721,0.2020112013,-0.0001664170,0.5632177722,0.999268
235,2.2994129159,0.4126542597,0.1978602585,-0.0001851666,0.5633243398,0.999756
236,2.3091976517,0.4163597903,0.1959511018,0.0000191292,0.5630277985,1.000000
237,2.3189823875,0.4139603166,0.1979789400,-0.0000636093,0.5675849607,0.999756
238,2.3287671233,0.4184512418,0.1942395473,0.0000322683,0.5729225089,1.000000
239,2.3385518591,0.4295981933,0.1814478392,-0.0000239376,0.5695959325,0.999756
240,2.3483365949,0.4268686751,0.1838850066,-0.0001342839,0.5715166886,0.999268
241,2.3581213307,0.4336033530,0.1754190315,-0.0001027979,0.5718656534,0.999512
242,2.3679060665,0.4343076062,0.1763420193,-0.0000344868,0.5756013312,0.999756
243,2.3776908023,0.4351725643,0.1730334181,-0.0000044645,0.5751664826,0.999756
244,2.3874755382,0.4350589136,0.1773495603,-0.0000463826,0.5733266510,0.999756
245,2.3972602740,0.4455887336,0.1696936752,0.0000214468,0.5810027171,1.000000
246,2.4070450098,0.4463114057,0.1730254070,-0.0000393608,0.5975524947,0.999756
247,2.4168297456,0.4483283604,0.1752202704,0.0000405612,0.5917805660,1.000000
248,2.4266144814,0.4478139457,0.1780015827,-0.0000196462,0.5991522372,0.999512
249,2.4363992172,0.4563310029,0.1737389137,0.0000287686,0.6008119937,1.000000
250,2.4461839530,0.4597216260,0.1713092351,0.0000720406,0.6067304401,1.000000
251,2.4559686888,0.4624382196,0.1712246197,0.0000255706,0.6052760865,1.000000
252,2.4657534247,0.4638866482,0.1754049426,0.0000017173,0.6038774974,1.000000
253,2.4755381605,0.4687563661,0.1708798430,-0.0000570569,0.6035975932,0.999756
254,2.4853228963,0.4700242644,0.1739583317,-0.0001087413,0.6066241329,0.999512
255,2.4951076321,0.4782911801,0.1677920742,-0.0000513618,0.6025543853,0.999756
256,2.5048923679,0.4777341596,0.1724161874,-0.0000245917,0.6085330731,0.999756
257,2.5146771037,0.4817376614,0.1718153678,-0.0000635062,0.6033958632,0.999512
258,2.5244618395,0.4825649707,0.1718683841,-0.0000706200,0.6055988817,0.999756
259,2.5342465753,0.4861358158,0.1710512703,-0.0000255251,0.6113838746,0.999512
260,2.5440313112,0.4835091511,0.1801650040,-0.0000632076,0.6154639968,0.999756
261,2.5538160470,0.4884127852,0.1787116196,-0.0000042345,0.6179084453,0.999756
262,2.5636007828,0.4962510581,0.1729067224,-0.0000630230,0.6133835818,0.999756
263,2.5733855186,0.4940487898,0.1794024628,-0.0000401345,0.6126460155,0.999756
264,2.5831702544,0.4966866302,0.1777475605,-0.0000378763,0.6132930380,0.999756
265,2.5929549902,0.4944021492,0.1824412590,-0.0000603407,0.6189198297,0.999756
266,2.6027397260,0.5055456820,0.1744939661,-0.0000601584,0.6158276562,0.999756
267,2.6125244618,0.5060205717,0.1793082678,-0.0000286905,0.6224751798,0.999756
268,2.6223091977,0.5068335886,0.1836615427,0.0000825871,0.6230710502,1.000000
269,2.6320939335,0.5079142223,0.1864404582,0.0000208053,0.6240544576,1.000000
270,2.6418786693,0.5167463531,0.1790596670,-0.0000183072,0.6239040901,0.999023
271,2.6516634051,0.5149029825,0.1859565298,-0.0001394341,0.6320941115,0.999756
272,2.6614481409,0.5165433017,0.1863062335,0.0000189189,0.6333477650,1.000000
273,2.6712328767,0.5184957748,0.1836078304,0.0000018587,0.6342509433,1.000000
274,2.6810176125,0.5196022383,0.1850966735,-0.0000816578,0.6299699682,0.999512
275,2.6908023483,0.5225864372,0.1849795489,-0.0000088618,0.6352791862,0.999756
276,2.7005870841,0.5214292273,0.1925036843,0.0000019027,0.6415022987,1.000000
277,2.7103718200,0.5310031654,0.1867823875,0.0000247618,0.6377226702,1.000000
278,2.7201565558,0.5299037524,0.1939681276,0.0000214671,0.6428162076,1.000000
279,2.7299412916,0.5338765466,0.1926850943,0.0000072558,0.6445238833,1.000000
280,2.7397260274,0.5345989668,0.1950965594,-0.0000549823,0.6451487532,0.999512
281,2.7495107632,0.5354521738,0.1980008435,0.0000291883,0.6493986129,1.000000
282,2.7592954990,0.5295105552,0.2078300724,0.0000277966,0.6472305764,1.000000
283,2.7690802348,0.5419776701,0.1964131339,-0.0000120310,0.6533658790,0.999756
284,2.7788649706,0.5339319147,0.2074548581,0.0000532632,0.6555664817,1.000000
285,2.7886497065,0.5462505702,0.1899062607,0.0000036574,0.6654360875,1.000000
286,2.7984344423,0.5489725837,0.1894969374,-0.0000338202,0.6632419043,0.999512
287,2.8082191781,0.5449830137,0.1997784579,0.0000565491,0.6647246181,1.000000
288,2.8180039139,0.5565653018,0.1900887906,0.0000822305,0.6616704952,1.000000
289,2.8277886497,0.5581087693,0.1938418048,0.0000197813,0.6667567226,1.000000
290,2.8375733855,0.5525883761,0.2061681207,0.0000705246,0.6691057790,1.000000
291,2.8473581213,0.5555918542,0.2070753933,-0.0000140821,0.6678626944,0.999756
292,2.8571428571,0.5614781012,0.2045782267,-0.0001971574,0.6673527069,0.999756
293,2.8669275930,0.5644345187,0.2049261546,0.0000014098,0.6691594337,1.000000
294,2.8767123288,0.5576311107,0.2161725265,-0.0000356366,0.6707912684,0.999756
295,2.8864970646,0.5689263370,0.2062607181,-0.0000178600,0.6739657266,0.999756
296,2.8962818004,0.5686955237,0.2088195823,-0.0000159752,0.6807040206,0.999756
297,2.9060665362,0.5683566285,0.2132405234,-0.0000178268,0.6833046433,0.999756
298,2.9158512720,0.5730161723,0.2104924245,0.0000652422,0.6813434929,1.000000
299,2.9256360078,0.5753469844,0.2109337331,0.0000081822,0.6845871619,1.000000
300,2.9354207436,0.5757702815,0.2128278835,-0.0000885926,0.6850268868,0.999756
301,2.9452054795,0.5750481225,0.2143605469,0.0000683246,0.6863706586,1.000000
302,2.9549902153,0.5815529086,0.2069564599,-0.0001442541,0.6890119521,0.999756
303,2.9647749511,0.5839020731,0.2078719913,0.0001137433,0.6950921363,1.000000
304,2.9745596869,0.5812594594,0.2153541397,0.0000773622,0.6942889389,1.000000
305,2.9843444227,0.5813631835,0.2192016991,-0.0000539897,0.6997175091,0.999756
306,2.9941291585,0.5895965838,0.2116645597,0.0000248559,0.6971646116,1.000000
307,3.0039138943,0.5888070439,0.2177520207,0.0000519269,0.7020941290,1.000000
308,3.0136986301,0.5919624256,0.2169773676,0.0000179368,0.7038728992,1.000000
309,3.0234833659,0.5936850443,0.2186150859,-0.0001142696,0.7031508611,0.999756
310,3.0332681018,0.5925600074,0.2232203085,0.0001103327,0.7077660287,1.000000
311,3.0430528376,0.5932066844,0.2270720283,0.0000832060,0.7096497102,1.000000
312,3.0528375734,0.6002548154,0.2232619281,0.0000621562,0.7126905351,1.000000
313,3.0626223092,0.5906708925,0.2372459142,0.0000545389,0.7144350350,1.000000
314,3.0724070450,0.6041057614,0.2262089677,-0.0000659736,0.7221976641,0.999756
315,3.0821917808,0.6010644315,0.2318361716,0.0000327521,0.7217512540,1.000000
316,3.0919765166,0.6039828902,0.2305833119,0.0000864720,0.7239490280,1.000000
317,3.1017612524,0.6079871020,0.2280879302,-0.0000359546,0.7241603121,0.999756
318,3.1115459883,0.6111595265,0.2283080307,0.0000471948,0.7284371399,1.000000
319,3.1213307241,0.6105542652,0.2294854148,0.0000877852,0.7295847730,1.000000
320,3.1311154599,0.6127329072,0.2302959967,-0.0000142259,0.7302331238,0.999756
321,3.1409001957,0.6090106777,0.2366322308,0.0000736666,0.7314016695,1.000000
322,3.1506849315,0.6151779306,0.2323980845,0.0000165131,0.7367883717,1.000000
323,3.1604696673,0.6153600745,0.2337301432,0.0000580372,0.7358795530,1.000000
324,3.1702544031,0.6148589958,0.2371707774,0.0000599725,0.7387395519,1.000000
