subset_mask,subset_digits,cardinality,spectral_radius_s1,lyapunov_exponent
1,{1},1,0.381966011250105,0.962423649442101
2,{2},1,0.171572875253810,1.762747174227641
3,{1,2},2,0.561326919954468,1.200855543226353
4,{3},1,0.091673086804016,2.389526434498634
5,{1,3},2,0.485950466053096,1.234858766907543
6,{2,3},2,0.264559503899203,1.977009227882576
7,{1,2,3},3,0.661843202052408,1.362019541595316
8,{4},1,0.055728090000841,2.887270948992438
9,{1,4},2,0.450133004131671,1.217726179447709
10,{2,4},2,0.229716284028011,2.033932337441868
11,{1,2,4},3,0.626507983187282,1.354892337768199
12,{3,4},2,0.147688565177817,2.576001999710087
13,{1,3,4},3,0.551230322326670,1.402830801078281
14,{2,3,4},3,0.321941420534984,2.132143207767001
15,{1,2,3,4},4,0.725397932620431,1.478392481990554
16,{5},1,0.037087982163740,3.294462292746658
17,{1,5},2,0.430186940010187,1.189937206325098
18,{2,5},2,0.211418920343684,2.034618565405211
19,{1,2,5},3,0.607072985695453,1.338549917129228
20,{3,5},2,0.129364710228206,2.647309124359509
21,{1,3,5},3,0.531826614318613,1.386652855206449
22,{2,3,5},3,0.303687160229951,2.137701794024949
23,{1,2,3,5},4,0.706264624489732,1.467350756068075
24,{4,5},2,0.092896563127350,3.049183792569465
25,{1,4,5},3,0.496448039823298,1.381539707190349
26,{2,4,5},3,0.268719796103611,2.205653560682919
27,{1,2,4,5},4,0.671163553390216,1.465856226789963
28,{3,4,5},3,0.185183824265831,2.718555460079486
29,{1,3,4,5},4,0.595864594976252,1.521988684527464
30,{2,3,4,5},4,0.360623599787898,2.250125915148615
31,{1,2,3,4,5},5,0.769020343332783,1.566832782351479
