q,tau_q,alpha_q,f_alpha
-10.0000,4.605837731812091,0.000000000000000,-4.605837731812091
-9.9900,4.605837731812091,0.000000000000000,-4.605837731812091
-9.9800,4.605837731812091,0.000000000000000,-4.605837731812091
-9.9700,4.605837731812091,0.000000000000000,-4.605837731812091
-9.9600,4.605837731812091,0.000000000000000,-4.605837731812091
-9.9500,4.605837731812091,0.000000000000000,-4.605837731812091
-9.9400,4.605837731812091,0.000000000000000,-4.605837731812091
-9.9300,4.605837731812091,0.000000000000000,-4.605837731812091
-9.9200,4.605837731812091,0.000000000000000,-4.605837731812091
-9.9100,4.605837731812091,0.000000000000000,-4.605837731812091
-9.9000,4.605837731812091,0.000000000000000,-4.605837731812091
-9.8900,4.605837731812091,0.000000000000000,-4.605837731812091
-9.8800,4.605837731812091,0.000000000000000,-4.605837731812091
-9.8700,4.605837731812091,0.000000000000000,-4.605837731812091
-9.8600,4.605837731812091,0.000000000000000,-4.605837731812091
-9.8500,4.605837731812091,0.000000000000000,-4.605837731812091
-9.8400,4.605837731812091,0.000000000000000,-4.605837731812091
-9.8300,4.605837731812091,0.000000000000000,-4.605837731812091
-9.8200,4.605837731812091,0.000000000000000,-4.605837731812091
-9.8100,4.605837731812091,0.000000000000000,-4.605837731812091
-9.8000,4.605837731812091,0.000000000000000,-4.605837731812091
-9.7900,4.605837731812091,0.000000000000000,-4.605837731812091
-9.7800,4.605837731812091,0.000000000000000,-4.605837731812091
-9.7700,4.605837731812091,0.000000000000000,-4.605837731812091
-9.7600,4.605837731812091,0.000000000000000,-4.605837731812091
-9.7500,4.605837731812091,0.000000000000000,-4.605837731812091
-9.7400,4.605837731812091,0.000000000000000,-4.605837731812091
-9.7300,4.605837731812091,0.000000000000000,-4.605837731812091
-9.7200,4.605837731812091,0.000000000000000,-4.605837731812091
-9.7100,4.605837731812091,0.000000000000000,-4.605837731812091
-9.7000,4.605837731812091,0.000000000000000,-4.605837731812091
-9.6900,4.605837731812091,-0.000000217663043,-4.605835622657203
-9.6800,4.605837727458830,-0.000000217663043,-4.605835620480573
-9.6700,4.605837727458830,0.000000000000000,-4.605837727458830
-9.6600,4.605837727458830,0.000000000000000,-4.605837727458830
-9.6500,4.605837727458830,0.000000000000000,-4.605837727458830
-9.6400,4.605837727458830,0.000000000000000,-4.605837727458830
-9.6300,4.605837727458830,0.000000000000000,-4.605837727458830
-9.6200,4.605837727458830,0.000000000000000,-4.605837727458830
-9.6100,4.605837727458830,0.000000000000000,-4.605837727458830
-9.6000,4.605837727458830,0.000000000000000,-4.605837727458830
-9.5900,4.605837727458830,0.000000000000000,-4.605837727458830
-9.5800,4.605837727458830,0.000000000000000,-4.605837727458830
-9.5700,4.605837727458830,0.000000000000000,-4.605837727458830
-9.5600,4.605837727458830,0.000000000000000,-4.605837727458830
-9.5500,4.605837727458830,0.000000000000000,-4.605837727458830
-9.5400,4.605837727458830,0.000000000000000,-4.605837727458830
-9.5300,4.605837727458830,0.000000000000000,-4.605837727458830
-9.5200,4.605837727458830,0.000000000000000,-4.605837727458830
-9.5100,4.605837727458830,0.000000000000000,-4.605837727458830
-9.5000,4.605837727458830,0.000000000000000,-4.605837727458830
-9.4900,4.605837727458830,0.000000000000000,-4.605837727458830
-9.4800,4.605837727458830,0.000000000000000,-4.605837727458830
-9.4700,4.605837727458830,0.000000000000000,-4.605837727458830
-9.4600,4.605837727458830,0.000000000000000,-4.605837727458830
-9.4500,4.605837727458830,0.000000000000000,-4.605837727458830
-9.4400,4.605837727458830,-0.000000000002576,-4.605837727434515
-9.4300,4.605837727458779,-0.000000000002576,-4.605837727434490
-9.4200,4.605837727458779,0.000000000000000,-4.605837727458779
-9.4100,4.605837727458779,0.000000000000000,-4.605837727458779
-9.4000,4.605837727458779,0.000000000000000,-4.605837727458779
-9.3900,4.605837727458779,0.000000000000000,-4.605837727458779
-9.3800,4.605837727458779,0.000000000000000,-4.605837727458779
-9.3700,4.605837727458779,0.000000000000000,-4.605837727458779
-9.3600,4.605837727458779,-0.000000001320544,-4.605837715098490
-9.3500,4.605837727432368,-0.000000001320544,-4.605837715085285
-9.3400,4.605837727432368,0.000000000000000,-4.605837727432368
-9.3300,4.605837727432368,0.000000000000000,-4.605837727432368
-9.3200,4.605837727432368,0.000000000000000,-4.605837727432368
-9.3100,4.605837727432368,0.000000000000000,-4.605837727432368
-9.3000,4.605837727432368,0.000000000000000,-4.605837727432368
-9.2900,4.605837727432368,0.000000000000000,-4.605837727432368
-9.2800,4.605837727432368,0.000000000000000,-4.605837727432368
-9.2700,4.605837727432368,0.000000000000000,-4.605837727432368
-9.2600,4.605837727432368,0.000000000000000,-4.605837727432368
-9.2500,4.605837727432368,0.000000000000000,-4.605837727432368
-9.2400,4.605837727432368,0.000000000000000,-4.605837727432368
-9.2300,4.605837727432368,0.000000000000000,-4.605837727432368
-9.2200,4.605837727432368,0.000000000000000,-4.605837727432368
-9.2100,4.605837727432368,0.000000000000000,-4.605837727432368
-9.2000,4.605837727432368,0.000000000000000,-4.605837727432368
-9.1900,4.605837727432368,0.000000000000000,-4.605837727432368
-9.1800,4.605837727432368,0.000000000000000,-4.605837727432368
-9.1700,4.605837727432368,0.000000000000000,-4.605837727432368
-9.1600,4.605837727432368,0.000000000000000,-4.605837727432368
-9.1500,4.605837727432368,-0.000007279447090,-4.605771120491498
-9.1400,4.605837581843426,-0.000007279447090,-4.605771047697027
-9.1300,4.605837581843426,0.000000000000000,-4.605837581843426
-9.1200,4.605837581843426,0.000000000000000,-4.605837581843426
-9.1100,4.605837581843426,0.000000000000000,-4.605837581843426
-9.1000,4.605837581843426,0.000000000000000,-4.605837581843426
-9.0900,4.605837581843426,0.000000000000000,-4.605837581843426
-9.0800,4.605837581843426,0.000000000000000,-4.605837581843426
-9.0700,4.605837581843426,0.000000000000000,-4.605837581843426
-9.0600,4.605837581843426,0.000000000000000,-4.605837581843426
-9.0500,4.605837581843426,0.000000000000000,-4.605837581843426
-9.0400,4.605837581843426,0.000000000000000,-4.605837581843426
-9.0300,4.605837581843426,0.000000000000000,-4.605837581843426
-9.0200,4.605837581843426,0.000000000000000,-4.605837581843426
-9.0100,4.605837581843426,0.000000000000000,-4.605837581843426
-9.0000,4.605837581843426,0.000000000000000,-4.605837581843426
-8.9900,4.605837581843426,0.000000000000000,-4.605837581843426
-8.9800,4.605837581843426,0.000000000000000,-4.605837581843426
-8.9700,4.605837581843426,0.000000000000000,-4.605837581843426
-8.9600,4.605837581843426,0.000000000000000,-4.605837581843426
-8.9500,4.605837581843426,0.000000000000000,-4.605837581843426
-8.9400,4.605837581843426,0.000000000000000,-4.605837581843426
-8.9300,4.605837581843426,0.000000000000000,-4.605837581843426
-8.9200,4.605837581843426,0.000000000000000,-4.605837581843426
-8.9100,4.605837581843426,0.000000000000000,-4.605837581843426
-8.9000,4.605837581843426,0.000000000000000,-4.605837581843426
-8.8900,4.605837581843426,0.000000000000000,-4.605837581843426
-8.8800,4.605837581843426,0.000000000000000,-4.605837581843426
-8.8700,4.605837581843426,0.000000000000000,-4.605837581843426
-8.8600,4.605837581843426,0.000000000000000,-4.605837581843426
-8.8500,4.605837581843426,0.000000000000000,-4.605837581843426
-8.8400,4.605837581843426,0.000000000000000,-4.605837581843426
-8.8300,4.605837581843426,0.000000000000000,-4.605837581843426
-8.8200,4.605837581843426,0.000000000000000,-4.605837581843426
-8.8100,4.605837581843426,0.000000000000000,-4.605837581843426
-8.8000,4.605837581843426,0.000000000000000,-4.605837581843426
